"ZONE","county","A_ESRI_NEW","A_LODES_NEW","A_LODES_SELF_NEW","A_NETS_NEW","A_NETS_NOSOLE_NEW","F_ESRI_NEW","F_LODES_NEW","F_LODES_SELF_NEW","F_NETS_NEW","F_NETS_NOSOLE_NEW","H_ESRI_NEW","H_LODES_NEW","H_LODES_SELF_NEW","H_NETS_NEW","H_NETS_NOSOLE_NEW","M_ESRI_NEW","M_LODES_NEW","M_LODES_SELF_NEW","M_NETS_NEW","M_NETS_NOSOLE_NEW","O_ESRI_NEW","O_LODES_NEW","O_LODES_SELF_NEW","O_NETS_NEW","O_NETS_NOSOLE_NEW","R_ESRI_NEW","R_LODES_NEW","R_LODES_SELF_NEW","R_NETS_NEW","R_NETS_NOSOLE_NEW","T_ESRI_NEW","T_LODES_NEW","T_LODES_SELF_NEW","T_NETS_NEW","T_NETS_NOSOLE_NEW"
1,"San Francisco",10,3.1843742584768,3.21804614448847,10.476276793681,9.85781985363244,12779.3259149671,15302.490247166,15305.5077765801,19303.7067694043,19192.6479463758,1274.33808887209,1718.61970962804,1721.4358221765,2408.63273621575,2380.31891606266,302.148130850132,492.811492437171,493.643655004018,284.22610830089,273.641640371943,1240.34218065978,994.428144779004,995.741680136712,2246.45777246318,2229.02157609328,634.660957591087,194.141826731127,194.844930120276,390.396892313588,386.076555191975,16240.8152729402,18705.6757949999,18714.3919101621,24643.8965554914,24471.5644539493
2,"San Francisco",0,17.550507548198,17.5951161146928,42.521358750823,38.2715359023377,17144.3814574274,27028.0782537659,27032.0758813853,28673.8261198112,28425.6761828133,3221.18895962198,2774.17222490773,2777.90301515307,3408.79441437543,3365.41380135817,906.444392550396,986.562371369089,987.664821620458,1616.25755629409,1600.09283866841,1165.37123018379,3493.76302934291,3495.50320300966,3946.32271331754,3924.27918502993,2814.41330654414,403.090791639439,404.022264093244,545.591706295039,529.53143480196,25251.7993463277,34703.2171785733,34714.7643013764,38233.3138688441,37883.2649785741
3,"San Francisco",0,0,0.0208674119962389,1.23250315219777,1.15974351219205,698.174206388134,1119.56673381965,1121.43678141579,3055.73067966382,3036.32534454822,885.556977012809,1012.73215105507,1014.47737497143,1373.13659248812,1368.73243524625,59.3663482902019,5.27191385564941,5.78762833402014,108.700894083726,106.613626118939,375.803751753077,431.678721284429,432.492755980063,572.759509717748,570.575275236394,135.928926202097,92.5399118743127,92.9756447611563,168.690015197229,159.822214867501,2154.83020964632,2661.78943188911,2667.19105287446,5280.25019430283,5243.2286395295
4,"San Francisco",1,9.3332170441009,9.36746056334657,29.5800756527464,26.0942290243212,10877.4367953244,16190.595098574,16193.6638552967,11894.8897346681,11750.5003200983,1722.02542980096,2103.60421434426,2106.46813483323,2600.02775804219,2569.68476552684,1625.04302633179,831.566750275019,832.413040110507,1943.25122948038,1925.26439833117,2567.04330427291,1631.52829735171,1632.86413203843,3113.83469496298,3093.11859733413,813.617745324783,579.340812592631,580.055852267857,760.550982803508,750.009068564958,17606.1663010548,21345.9683901817,21354.8324751101,20342.1344756099,20114.6713788797
5,"San Francisco",0,0,0.0989085003912407,3.6975094565933,3.47923053657616,3444.9127858619,7552.87928337064,7561.74303721937,5565.72480338509,5431.71430800017,5944.62028360594,6037.37358103242,6045.64568877846,5713.38677975219,5616.21825042979,2355.16050381129,950.70001325537,953.144424938759,685.172029101519,667.223610127692,526.694652078177,1048.25239312583,1052.11079928689,3560.60649526735,3547.44763652916,5693.36840538568,6146.99841215412,6149.06372271667,2773.26384984245,2733.34498800503,17964.756630743,21736.2036829384,21761.8065814405,18301.8514668052,17999.4280236284
6,"San Francisco",0,0,0.815897763648133,1.23250315219777,1.15974351219205,311.929372321869,394.270202273533,467.387446131279,780.18655650991,752.189547093009,2898.18647022374,2728.93446579176,2797.17121171305,2393.9100422291,2361.67668217759,53.1638939912256,24.701034763435,44.8650248959668,63.2603563929881,57.7490474810919,69.2769542373097,60.7105757344259,92.53862838511,263.60505354184,260.585312459406,249.366015694495,321.918049551674,338.954828620764,122.420753885989,114.571346802606,3581.92270646864,3530.53432811483,3741.73303750981,3624.61526571203,3547.93167952589
7,"San Francisco",0,0,0.329912006684717,3.08125788049442,2.3194870243841,508.474211935336,2141.79571920578,2171.36101245589,1271.74349047259,1219.84666079612,8163.42157856042,5864.49071459908,5892.08255610121,7292.64108805339,7248.88547068052,33.6704661944429,1079.30304909073,1087.45645107782,201.363951335427,196.346761435712,104.389931042521,41.527476930485,54.397296148892,293.648276555799,280.928403766645,437.123956923291,519.671051481935,526.559951317861,324.848772122664,313.867723173525,9247.08014465602,9646.78801130801,9732.18717910837,9387.32683642037,9262.19450687691
8,"San Francisco",0,0,1.69374948423106,9.24377364148326,8.11820458534437,540.742767692771,858.345320330662,1010.13185485763,773.290968257929,749.23592321699,2209.96536059405,2866.36808344752,3008.02302890662,3065.26488802029,3036.72178285818,54.9360237909331,40.2460768910176,82.1051791078301,62.3693654578756,61.3028350183898,590.277610076803,184.500278415325,250.573198532341,615.401503673045,603.511708781449,548.605234527889,441.924130925672,477.291350995262,173.50972991715,170.41284356354,3944.52699668244,4391.3838900102,4829.81836188392,4699.08022896777,4629.30329802389
9,"San Francisco",5,0.886133895612231,1.7513154065227,0,0,1029.66027916906,719.222758742831,796.756599786346,3837.88740424572,3771.77768967712,3922.17308555008,3658.91859224218,3731.27713220412,8481.25324924218,8434.13907768946,171.896590571629,71.7848944093965,93.1668765965314,400.054929865516,392.693522871425,9999.60639450044,2602.55417681575,2636.30478125242,17418.2853945128,17393.3430676901,209.271871994596,351.590930398094,369.656804472973,221.706877116358,209.887005066959,15337.6082217858,7404.95748650386,7628.91350971891,30359.1878549826,30201.840362995
10,"San Francisco",0,0,1.15286327391801,1.23250315219777,1.15974351219205,745.110287489857,2270.91837391977,2374.23301564252,1455.9542052041,1402.97134110934,1799.58529807592,11318.4955141932,11414.9140139236,1424.17526497516,1400.12988178954,540.499588910793,256.111471972119,284.603183452611,206.709896946102,196.346761435712,1956.83670736072,10339.5908757008,10384.5639037151,3568.3595850774,3559.07226013329,336.399644701593,293.565846886418,317.638810154251,517.637360919498,515.08966839827,5378.43152653888,24478.6820826723,24777.1057901619,7174.06881627447,7074.76965637835
