"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,77063,136159,142846,83878,3115,86091,32330,13420,12278,19035,343718,3785,9395,68601,37840,23225,41877,138287,84632,87,24870,53965,4065,8946,6013,6687
2,104116,217984,221682,141418,20494,92764,24776,20103,21127,38110,92781,10073,19388,108414,50524,33283,11333,12418,54726,69,2928,11307,6931,6281,1076,3698
3,125956,344238,348292,200014,64959,68768,32278,26536,25727,41415,139346,19031,41329,150286,92135,45511,14465,16454,67176,93,18313,22845,8650,11572,20879,4054
4,51639,145575,147732,80018,36299,17885,11635,12219,11354,16431,24508,6316,19790,56403,39445,25778,4514,4293,12323,10,1002,2366,7098,24504,5982,2157
5,99139,303330,304914,166464,69339,34086,21801,25779,24709,26850,126260,15936,47795,107879,84807,48497,20265,18983,47170,74,25986,13782,11622,1741,5446,1584
6,83332,220204,222025,118085,53867,34376,15086,17619,18347,32280,111063,13748,38216,74424,59980,35657,17296,30913,31548,143,10895,20268,11026,3359,7684,1821
7,79329,229894,232397,120643,58060,25390,16984,16810,14272,31263,134233,15642,45426,77715,62698,30916,14148,32749,33281,302,16739,37014,9655,1312,3892,2503
8,71216,179965,188879,94321,45157,30107,13486,11484,12365,33881,122273,9007,37846,65560,47024,29442,17170,23037,49376,77,12415,20198,11199,15778,16461,8914
9,104658,279613,280542,154251,53602,56624,19295,21439,24558,39366,321589,22060,41330,127460,60220,29472,33435,56119,46750,47,137770,47468,9733,2587,7908,929
10,119088,328778,329509,162490,86131,40024,20677,23773,24109,50529,120282,18098,64948,102522,96798,47143,24039,23196,48593,195,12237,12022,17405,9969,23996,731
11,108427,316842,328554,171937,63713,49524,32887,27562,21471,26507,172319,21893,60320,135854,76017,34470,16096,43929,64504,82,15081,32627,14119,32746,16181,11712
12,114561,419928,422246,208783,96268,21228,26328,27925,27067,33241,112025,25294,81671,150233,111140,53908,16665,15674,36028,85,28258,15315,22021,1882,7166,2318
13,74974,231097,232058,116566,60904,16310,13578,17169,17505,26722,59117,15549,46325,76209,63773,30202,10558,9169,27248,32,8751,3359,12742,0,0,961
14,37384,119501,120755,59364,31828,6801,8907,8770,8736,10971,50368,7970,27064,37751,32894,15076,9652,5681,13914,2240,13154,5727,6774,1106,2599,1254
15,79828,225900,226693,117512,64827,17937,12622,15620,18951,32635,141335,13974,46947,70215,67431,28126,29004,24531,38255,119,30133,19293,12209,1106,4893,793
16,107675,346768,348269,175298,85148,26746,18084,24880,27836,36875,152656,21509,63205,128423,91259,43873,25722,21417,40791,230,49462,15034,16425,4435,7507,1501
17,127965,386084,389089,195311,92995,39507,37740,38850,29238,22137,155345,24484,70235,138187,105607,50576,21978,17975,57755,193,37946,19498,17953,16558,13355,3005
18,181443,469766,475610,242239,95293,97171,64777,48259,33520,34887,210604,29365,77333,186649,119941,62322,18847,34960,92747,65,28532,35453,20573,6954,19592,5844
19,72113,168195,181353,97382,35056,42184,22836,16245,13890,19142,112118,8419,28732,82282,38165,23755,11964,32648,44822,45,12093,10546,5751,36767,6608,13158
20,90265,262584,263583,130117,69753,26343,29170,26926,19310,14859,70321,15128,46694,93646,71322,36793,12542,8589,23822,645,13988,10735,10359,1909,5143,999
21,89414,240199,241232,123722,67176,25600,22361,24934,22641,19478,111517,15207,40584,82463,68481,34497,15222,23164,38716,839,12453,21123,9353,6846,13678,1033
22,60928,147190,149052,69718,42198,21435,12425,13364,11850,23289,77514,6842,26740,39113,41282,35075,11497,21961,33015,97,3627,7317,11116,3490,2162,1862
23,52226,152109,152366,71985,45637,8605,5854,8472,11358,26542,68583,8393,37069,39172,46559,21173,6446,20020,18091,114,18767,5145,10369,0,0,257
24,96764,311421,312345,140673,87636,14735,29019,28884,22277,16584,64302,20007,71023,103661,81514,36140,11133,8094,26583,988,6461,11043,17541,1409,5314,924
25,53207,147992,149000,69503,42363,14917,18454,16016,11073,7664,47151,9398,25467,49262,42274,22599,6681,6046,19989,458,6567,7410,6278,504,66,1008
26,94124,276480,277601,131037,79463,19208,26512,29337,22748,15527,107192,17163,57172,95720,68834,38712,15850,13509,44013,972,13456,19392,14119,2641,7434,1121
27,34478,101576,102399,52877,29275,7742,9417,10269,7982,6810,50606,6232,20616,34385,26629,14537,6876,8000,18138,494,8174,8924,7029,1613,4630,823
28,14587,35344,36857,18300,16136,2323,4297,3789,2733,3768,30006,1279,5795,9357,10927,9499,1761,1979,12417,1568,9998,2283,803,1497,170,1513
29,65297,168306,171368,88006,56300,13601,18920,20248,14063,12066,75503,9013,29867,55039,48424,29025,10417,12356,25710,1120,13701,12199,7332,8264,1144,3062
30,92638,242963,244957,121250,75947,21492,29416,29806,19088,14328,118396,13819,44452,79385,66204,41097,18952,19611,41040,659,15839,22295,11609,6225,15613,1994
31,32123,81246,81942,40754,37105,3463,9688,9337,6779,6319,30199,3353,13931,22267,25608,16783,3834,3537,10637,1385,7160,3646,3671,0,0,696
32,24586,61970,62423,31936,20296,5388,6232,5969,5144,7241,25641,3126,10581,16805,19913,11998,3358,8416,7944,23,1774,4126,2517,0,0,453
33,42423,105292,106982,55465,33004,12346,10644,9575,8906,13298,57274,5618,19038,29376,31620,21330,8927,11244,20465,149,4882,11607,4782,757,813,1690
34,37839,86046,86654,43345,29411,12162,7352,7081,7236,16170,44284,3810,15911,19056,28167,19710,7607,9742,19314,76,3025,4520,4105,1489,5370,608
