"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
1,34,65,15,14,4,1,6,21,7,0,32,2,16,7,5,6,2,3,30,15,15,6,1,0,4
2,170,324,77,68,21,4,32,101,35,2,158,12,79,35,27,29,12,15,142,78,77,30,8,0,23
3,268,510,122,107,33,6,50,159,55,4,249,19,125,55,43,45,19,23,225,122,121,47,12,0,35
4,52,87,37,11,2,2,10,30,11,1,48,4,18,22,7,5,2,4,44,31,6,10,2,0,7
5,497,823,358,106,15,18,97,286,106,8,461,36,168,215,65,49,19,37,413,295,59,91,23,0,68
6,2139,4040,1153,915,31,40,258,1214,633,34,2064,75,554,811,514,260,85,454,2673,562,266,616,616,0,0
7,3203,5076,2274,721,142,66,977,1755,375,96,2997,206,2072,594,394,143,110,240,2770,1398,558,445,196,0,249
8,4477,8923,3116,811,363,187,2527,1330,475,145,4099,378,3623,531,222,101,149,564,2100,4229,1881,2015,69,0,1946
9,5197,9144,3370,1276,243,308,1270,2704,1100,123,4724,473,3103,953,594,547,480,582,4681,2540,861,639,359,0,280
10,2416,4342,1391,535,425,65,521,1323,429,143,2167,249,1062,237,518,599,0,277,2593,833,639,113,0,0,113
11,2370,4175,1646,355,80,289,635,1038,523,174,2067,303,1386,473,268,243,34,552,1329,1954,306,137,0,0,137
12,858,1246,612,214,32,0,96,474,264,24,755,103,85,0,272,501,0,0,728,416,102,64,15,0,49
13,10,14,8,2,0,0,1,6,3,0,9,1,1,0,3,6,0,0,8,5,1,1,0,0,1
14,188,273,134,47,7,0,21,104,58,5,165,23,19,0,60,109,0,0,160,91,22,14,3,0,11
15,260,378,185,65,10,0,29,144,80,7,229,31,26,0,82,152,0,0,221,126,31,19,4,0,15
16,2166,4475,694,990,364,118,256,1140,706,64,1891,275,187,115,430,1434,402,138,2717,1070,148,170,39,0,131
