"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
1,1,1,1,48,97,108,45,3,45,30,7,3,8,20.3,1,15,0.231481481481481,21194,4,8,48,24,24,397,16960,1464,6,589,1778,218,716,0,0,0,0,5.59951,3,0,48,11
2,1,1,1,150,305,338,143,11,139,96,22,8,24,31.1,1,24,0.234421364985163,31306,13,25,150,76,74,372,21297,3002,23,1568,5044,218,716,0,0,0,0,5.59116,1,0,150,33
3,1,1,1,265,362,401,262,0,378,123,35,71,36,14.7,1,2,0.205,1972,11,14,191,120,65,34,1065,400,0,3,470,218.08298,716.27252,0,0,0,0,5.60296,1,0,265,39
4,1,1,1,157,237,261,163,3,179,50,15,57,35,19.3,1,18,0.207692307692308,24466,1,12,125,80,43,523,16088,3222,2,852,3779,191,314,0,0,0,0,5.54465,2,0,157,24
5,1,1,1,479,721,802,419,8,612,170,51,139,119,52.7,1,15,0.22875,18294,5,42,362,254,139,3391,7384,4398,0,1242,1879,191.0087,314.01431,0,0,66,0,5.68261,1,0,479,81
6,1,1,1,2128,3089,3465,2649,0,2612,560,598,434,536,29,7,8,0.104486251808973,4203,45,236,2298,597,289,82,587,3306,0,36,192,151.16429,550.23803,0,0,0,0,5.01837,1,0,2128,376
7,1,1,1,3346,4990,5981,2448,45,3901,1965,731,458,192,45,13,14,0.188495723629046,9181,103,290,2963,1723,902,389,1999,5370,0,1344,79,284.91191,833.88851,0,13,0,0,5.27951,1,0,3346,991
8,1,1,1,5008,8088,11031,3845,81,5101,3480,839,571,118,51,8.33042,15,0.287324968176032,5038,239,772,3773,3557,2690,118,1011,3288,0,92,529,143.46231,547.87762,0,0,0,0,4.669,2,0,5008,2943
9,1,1,1,6071,10822,12106,6057,67,6849,3038,1391,781,861,112,9.27507,47,0.138536747037866,9007,410,1026,6357,3010,1303,118,1162,5556,0,7,2164,99.1196,163.80818,0,0,1863,19,4.82516,2,0,6071,1284
10,1,1,1,4034,7139,8265,4464,67,4255,1168,865,879,1122,73.5,9.34244,35,0.10752427184466,35277,226,709,4880,1757,693,297,5566,15457,0,1543,12414,89,273,0,0,632,0,4.32252,3,0,4034,1126
