county,empsix,year,emp
Alameda,AGREMPN,2020,784
Alameda,AGREMPN,2023,926
Alameda,FPSEMPN,2020,173351
Alameda,FPSEMPN,2023,184645
Alameda,HEREMPN,2020,250785
Alameda,HEREMPN,2023,282760
Alameda,MWTEMPN,2020,164984
Alameda,MWTEMPN,2023,184519
Alameda,OTHEMPN,2020,98366
Alameda,OTHEMPN,2023,104692
Alameda,RETEMPN,2020,64152
Alameda,RETEMPN,2023,65848
Contra Costa,AGREMPN,2020,1724
Contra Costa,AGREMPN,2023,2357
Contra Costa,FPSEMPN,2020,90113
Contra Costa,FPSEMPN,2023,91160
Contra Costa,HEREMPN,2020,145344
Contra Costa,HEREMPN,2023,202535
Contra Costa,MWTEMPN,2020,33875
Contra Costa,MWTEMPN,2023,49198
Contra Costa,OTHEMPN,2020,47631
Contra Costa,OTHEMPN,2023,52033
Contra Costa,RETEMPN,2020,40173
Contra Costa,RETEMPN,2023,43927
Marin,AGREMPN,2020,552
Marin,AGREMPN,2023,552
Marin,FPSEMPN,2020,22472
Marin,FPSEMPN,2023,23151
Marin,HEREMPN,2020,42344
Marin,HEREMPN,2023,55460
Marin,MWTEMPN,2020,9493
Marin,MWTEMPN,2023,9815
Marin,OTHEMPN,2020,16052
Marin,OTHEMPN,2023,17026
Marin,RETEMPN,2020,13165
Marin,RETEMPN,2023,13349
Napa,AGREMPN,2020,4880
Napa,AGREMPN,2023,4880
Napa,FPSEMPN,2020,9079
Napa,FPSEMPN,2023,8827
Napa,HEREMPN,2020,26519
Napa,HEREMPN,2023,35133
Napa,MWTEMPN,2020,15962
Napa,MWTEMPN,2023,16726
Napa,OTHEMPN,2020,7744
Napa,OTHEMPN,2023,8206
Napa,RETEMPN,2020,5584
Napa,RETEMPN,2023,5448
San Francisco,AGREMPN,2020,234
San Francisco,AGREMPN,2023,234
San Francisco,FPSEMPN,2020,265156
San Francisco,FPSEMPN,2023,283107
San Francisco,HEREMPN,2020,233454
San Francisco,HEREMPN,2023,343300
San Francisco,MWTEMPN,2020,65781
San Francisco,MWTEMPN,2023,77967
San Francisco,OTHEMPN,2020,109374
San Francisco,OTHEMPN,2023,130063
San Francisco,RETEMPN,2020,39108
San Francisco,RETEMPN,2023,38104
San Mateo,AGREMPN,2020,1366
San Mateo,AGREMPN,2023,1581
San Mateo,FPSEMPN,2020,110588
San Mateo,FPSEMPN,2023,123407
San Mateo,HEREMPN,2020,111000
San Mateo,HEREMPN,2023,143947
San Mateo,MWTEMPN,2020,63100
San Mateo,MWTEMPN,2023,65970
San Mateo,OTHEMPN,2020,86189
San Mateo,OTHEMPN,2023,93827
San Mateo,RETEMPN,2020,29896
San Mateo,RETEMPN,2023,30141
Santa Clara,AGREMPN,2020,2608
Santa Clara,AGREMPN,2023,2544
Santa Clara,FPSEMPN,2020,277902
Santa Clara,FPSEMPN,2023,291421
Santa Clara,HEREMPN,2020,313276
Santa Clara,HEREMPN,2023,414852
Santa Clara,MWTEMPN,2020,214315
Santa Clara,MWTEMPN,2023,226069
Santa Clara,OTHEMPN,2020,178661
Santa Clara,OTHEMPN,2023,179515
Santa Clara,RETEMPN,2020,73099
Santa Clara,RETEMPN,2023,73250
Solano,AGREMPN,2020,1826
Solano,AGREMPN,2023,1898
Solano,FPSEMPN,2020,15053
Solano,FPSEMPN,2023,16219
Solano,HEREMPN,2020,58872
Solano,HEREMPN,2023,63398
Solano,MWTEMPN,2020,19257
Solano,MWTEMPN,2023,18722
Solano,OTHEMPN,2020,22056
Solano,OTHEMPN,2023,23194
Solano,RETEMPN,2020,16157
Solano,RETEMPN,2023,16972
Sonoma,AGREMPN,2020,5708
Sonoma,AGREMPN,2023,5581
Sonoma,FPSEMPN,2020,31766
Sonoma,FPSEMPN,2023,34233
Sonoma,HEREMPN,2020,73339
Sonoma,HEREMPN,2023,96755
Sonoma,MWTEMPN,2020,34663
Sonoma,MWTEMPN,2023,36473
Sonoma,OTHEMPN,2020,26017
Sonoma,OTHEMPN,2023,27632
Sonoma,RETEMPN,2020,19974
Sonoma,RETEMPN,2023,20403
