vcratio,2lanes,3lanes,4lanes
0.00,0.000000042,0.000000002,0.000000000
0.01,0.000000042,0.000000002,0.000000000
0.02,0.000000042,0.000000002,0.000000000
0.03,0.000000042,0.000000002,0.000000000
0.04,0.000000042,0.000000002,0.000000000
0.05,0.000000042,0.000000002,0.000000000
0.06,0.000000162,0.000000014,0.000000000
0.07,0.000000283,0.000000026,0.000000000
0.08,0.000000403,0.000000038,0.000000001
0.09,0.000000523,0.000000051,0.000000001
0.10,0.000000643,0.000000063,0.000000001
0.11,0.000001146,0.000000146,0.000000004
0.12,0.000001650,0.000000229,0.000000007
0.13,0.000002153,0.000000313,0.000000011
0.14,0.000002657,0.000000396,0.000000014
0.15,0.000003160,0.000000479,0.000000017
0.16,0.000004488,0.000000787,0.000000040
0.17,0.000005816,0.000001095,0.000000063
0.18,0.000007144,0.000001404,0.000000085
0.19,0.000008472,0.000001712,0.000000108
0.20,0.000009800,0.000002020,0.000000131
0.21,0.000012560,0.000002854,0.000000231
0.22,0.000015320,0.000003688,0.000000331
0.23,0.000018080,0.000004522,0.000000430
0.24,0.000020840,0.000005356,0.000000530
0.25,0.000023600,0.000006190,0.000000630
0.26,0.000028520,0.000008032,0.000000960
0.27,0.000033440,0.000009874,0.000001290
0.28,0.000038360,0.000011720,0.000001620
0.29,0.000043280,0.000013560,0.000001950
0.30,0.000048200,0.000015400,0.000002280
0.31,0.000056240,0.000019000,0.000003174
0.32,0.000064280,0.000022600,0.000004068
0.33,0.000072320,0.000026200,0.000004962
0.34,0.000080360,0.000029800,0.000005856
0.35,0.000088400,0.000033400,0.000006750
0.36,0.000100500,0.000039760,0.000008860
0.37,0.000112600,0.000046120,0.000010970
0.38,0.000124800,0.000052480,0.000013080
0.39,0.000136900,0.000058840,0.000015190
0.40,0.000149000,0.000065200,0.000017300
0.41,0.000166600,0.000075760,0.000021780
0.42,0.000184200,0.000086320,0.000026260
0.43,0.000201800,0.000096880,0.000030740
0.44,0.000219400,0.000107400,0.000035220
0.45,0.000237000,0.000118000,0.000039700
0.46,0.000261400,0.000134200,0.000048460
0.47,0.000285800,0.000150400,0.000057220
0.48,0.000310200,0.000166600,0.000065980
0.49,0.000334600,0.000182800,0.000074740
0.50,0.000359000,0.000199000,0.000083500
0.51,0.000392000,0.000223600,0.000099400
0.52,0.000425000,0.000248200,0.000115300
0.53,0.000458000,0.000272800,0.000131200
0.54,0.000491000,0.000297400,0.000147100
0.55,0.000524000,0.000322000,0.000163000
0.56,0.000568200,0.000357400,0.000190800
0.57,0.000612400,0.000392800,0.000218600
0.58,0.000656600,0.000428200,0.000246400
0.59,0.000700800,0.000463600,0.000274200
0.60,0.000745000,0.000499000,0.000302000
0.61,0.000806400,0.000550600,0.000347800
0.62,0.000867800,0.000602200,0.000393600
0.63,0.000929200,0.000653800,0.000439400
0.64,0.000990600,0.000705400,0.000485200
0.65,0.001052000,0.000757000,0.000531000
0.66,0.001148000,0.000836000,0.000605200
0.67,0.001243000,0.000915000,0.000679400
0.68,0.001339000,0.000994000,0.000753600
0.69,0.001434000,0.001073000,0.000827800
0.70,0.001530000,0.001152000,0.000902000
0.71,0.001710000,0.001296000,0.001025000
0.72,0.001890000,0.001440000,0.001149000
0.73,0.002071000,0.001585000,0.001272000
0.74,0.002251000,0.001729000,0.001396000
0.75,0.002431000,0.001873000,0.001519000
0.76,0.002844000,0.002216000,0.001775000
0.77,0.003258000,0.002560000,0.002031000
0.78,0.003671000,0.002903000,0.002286000
0.79,0.004085000,0.003247000,0.002542000
0.80,0.004498000,0.003590000,0.002798000
0.81,0.005301000,0.004317000,0.003376000
0.82,0.006104000,0.005044000,0.003954000
0.83,0.006906000,0.005770000,0.004531000
0.84,0.007709000,0.006497000,0.005109000
0.85,0.008512000,0.007224000,0.005687000
0.86,0.009319000,0.007952000,0.006260000
0.87,0.010130000,0.008680000,0.006833000
0.88,0.010930000,0.009407000,0.007406000
0.89,0.011740000,0.010140000,0.007979000
0.90,0.012550000,0.010860000,0.008552000
0.91,0.013260000,0.011510000,0.009059000
0.92,0.013980000,0.012160000,0.009566000
0.93,0.014690000,0.012810000,0.010070000
0.94,0.015410000,0.013460000,0.010580000
0.95,0.016120000,0.014110000,0.011090000
0.96,0.016870000,0.014780000,0.011600000
0.97,0.017620000,0.015440000,0.012120000
0.98,0.018360000,0.016110000,0.012640000
0.99,0.019110000,0.016770000,0.013160000
1.00,0.019860000,0.017440000,0.013680000
