coefficient_name,value,constrain
coef_one,1,T
coef_nest_root,1.00,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,F
coef_topology_bike_multiplier_atwork,10,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,-0.172,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,-0.0384,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,2.0941971,F
walk_ASC_no_auto_escort,1.5773259,F
walk_ASC_no_auto_othdiscr,2.0941971,F
walk_ASC_no_auto_othmaint,1.5773259,F
walk_ASC_no_auto_school,6.3993796,F
walk_ASC_no_auto_shopping,1.5773259,F
walk_ASC_no_auto_social,2.0941971,F
walk_ASC_no_auto_univ,1.2608881,F
walk_ASC_no_auto_work,6.2729698,F
walk_ASC_no_auto_atwork,7.1197466,F
walk_ASC_auto_deficient_eatout,3.204675,F
walk_ASC_auto_deficient_escort,2.550071,F
walk_ASC_auto_deficient_othdiscr,3.204675,F
walk_ASC_auto_deficient_othmaint,2.550071,F
walk_ASC_auto_deficient_school,2.105164,F
walk_ASC_auto_deficient_shopping,2.550071,F
walk_ASC_auto_deficient_social,3.204675,F
walk_ASC_auto_deficient_univ,2.504528,F
walk_ASC_auto_deficient_work,3.137932,F
walk_ASC_auto_deficient_atwork,1.210837,F
walk_ASC_auto_sufficient_eatout,3.423214,F
walk_ASC_auto_sufficient_escort,1.943176,F
walk_ASC_auto_sufficient_othdiscr,3.423214,F
walk_ASC_auto_sufficient_othmaint,1.943176,F
walk_ASC_auto_sufficient_school,0.441924,F
walk_ASC_auto_sufficient_shopping,1.943176,F
walk_ASC_auto_sufficient_social,3.423214,F
walk_ASC_auto_sufficient_univ,0.7884134,F
walk_ASC_auto_sufficient_work,-0.2194449,F
walk_ASC_auto_sufficient_atwork,1.361243,F
bike_ASC_no_auto_eatout,0.5433096,F
bike_ASC_no_auto_escort,-0.0173665,F
bike_ASC_no_auto_othdiscr,0.5433096,F
bike_ASC_no_auto_othmaint,-0.0173665,F
bike_ASC_no_auto_school,0.0987344,F
bike_ASC_no_auto_shopping,-0.0173665,F
bike_ASC_no_auto_social,0.5433096,F
bike_ASC_no_auto_univ,-31.40542,F
bike_ASC_no_auto_work,5.118975,F
bike_ASC_no_auto_atwork,8.51081,F
bike_ASC_auto_deficient_eatout,1.253711,F
bike_ASC_auto_deficient_escort,0.0621828,F
bike_ASC_auto_deficient_othdiscr,1.253711,F
bike_ASC_auto_deficient_othmaint,0.0621828,F
bike_ASC_auto_deficient_school,0.5012921,F
bike_ASC_auto_deficient_shopping,0.0621828,F
bike_ASC_auto_deficient_social,1.253711,F
bike_ASC_auto_deficient_univ,4.05905,F
bike_ASC_auto_deficient_work,1.42486,F
bike_ASC_auto_deficient_atwork,1.88527,F
bike_ASC_auto_sufficient_eatout,0.1300914,F
bike_ASC_auto_sufficient_escort,-1.483929,F
bike_ASC_auto_sufficient_othdiscr,0.1300914,F
bike_ASC_auto_sufficient_othmaint,-1.483929,F
bike_ASC_auto_sufficient_school,-1.2214,F
bike_ASC_auto_sufficient_shopping,-1.483929,F
bike_ASC_auto_sufficient_social,0.1300914,F
bike_ASC_auto_sufficient_univ,-0.1052588,F
bike_ASC_auto_sufficient_work,-0.9349233,F
bike_ASC_auto_sufficient_atwork,17.31666,F
sr2_ASC_no_auto_eatout,0.8728382,F
sr2_ASC_no_auto_escort,-1.4319946,F
sr2_ASC_no_auto_othdiscr,0.8728382,F
sr2_ASC_no_auto_othmaint,-1.4319946,F
sr2_ASC_no_auto_school,1.8134281,F
sr2_ASC_no_auto_shopping,-1.4319946,F
sr2_ASC_no_auto_social,0.8728382,F
sr2_ASC_no_auto_univ,-43.7405345,F
sr2_ASC_no_auto_work,-1.9169924,F
sr2_ASC_no_auto_atwork,0,F
sr2_ASC_auto_deficient_eatout,0.1309765,F
sr2_ASC_auto_deficient_escort,0.8870071,F
sr2_ASC_auto_deficient_othdiscr,0.1309765,F
sr2_ASC_auto_deficient_othmaint,0.8870071,F
