coefficient_name,value,constrain
coef_dist_0_1,-1.655091993781231,F
coef_dist_1_2,-0.7624107514698568,F
coef_dist_2_5,-0.3932200029312569,F
coef_dist_5_15,-0.10670760093342135,F
coef_dist_15_up,-0.1359862978450046,F
coef_dist_0_5_high,0.15,F
coef_dist_5_up_high,0.02,F
coef_mode_logsum,0.3,F
coef_sf_to_sf,-0.34875869105912977,F
coef_sf_to_san_mateo,0.4712265473671632,F
coef_sf_to_santa_clara,3.5190869103354117,F
coef_san_mateo_to_santa_clara,0.6589158513361901,F
coef_san_mateo_to_alameda,-0.3524141001102599,F
coef_santa_clara_to_sf,1.6514452307105207,F
coef_santa_clara_to_santa_clara,-0.029750544960447423,F
coef_alameda_to_santa_clara,0.35005619948267147,F
coef_contra_costa_to_san_mateo,0.6878285605178306,F
coef_contra_costa_to_santa_clara,1.0848982597148278,F
