at,ft,lanes,Motor Vehicle Fatality,Motor Vehicle Injury,Motor Vehicle Property,Walk Fatality,Walk Injury,Bike Fatality,Bike Injury
4,1,1,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,1,2,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,1,3,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,1,4,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,2,1,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,2,2,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,2,3,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,2,4,0.00625,0.48975,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,3,1,0.0037929,0.2972071,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,3,2,0.0037929,0.2972071,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,3,3,0.0037929,0.2972071,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,3,4,0.0069179,0.5420821,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,4,1,0.0133821,1.0486179,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,4,2,0.0133821,1.0486179,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,4,3,0.0133821,1.0486179,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
4,4,4,0.0174018,1.3635982,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,1,1,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,1,2,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,1,3,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,1,4,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,2,1,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,2,2,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,2,3,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,2,4,0.003566,0.279434,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,3,1,0.0089214,0.6990786,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,3,2,0.0089214,0.6990786,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,3,3,0.0089214,0.6990786,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,3,4,0.0060232,0.4719768,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,4,1,0.0111518,0.8738482,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,4,2,0.0111518,0.8738482,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,4,3,0.0111518,0.8738482,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
5,4,4,0.0122732,0.9617268,1.1623146,0.0020408,0.0537215,0.000359,0.0487973
