ZONE,SD,COUNTY,telecommuteConstant,CALIB_ITER
1,1,1,0,1
2,1,1,0,1
3,1,1,0,1
4,1,1,0,1
5,1,1,0,1
6,1,1,0,1
7,1,1,0,1
8,1,1,0,1
9,1,1,0,1
10,1,1,0,1
11,1,1,0,1
12,1,1,0,1
13,1,1,0,1
14,1,1,0,1
15,1,1,0,1
16,1,1,0,1
17,1,1,0,1
18,1,1,0,1
19,1,1,0,1
20,1,1,0,1
21,1,1,0,1
22,1,1,0,1
23,1,1,0,1
24,1,1,0,1
25,1,1,0,1
26,1,1,0,1
27,1,1,0,1
28,1,1,0,1
29,1,1,0,1
30,1,1,0,1
31,1,1,0,1
32,1,1,0,1
33,1,1,0,1
34,1,1,0,1
35,1,1,0,1
36,1,1,0,1
37,1,1,0,1
38,1,1,0,1
39,1,1,0,1
40,1,1,0,1
41,1,1,0,1
42,1,1,0,1
43,2,1,0,1
44,2,1,0,1
45,2,1,0,1
46,2,1,0,1
47,2,1,0,1
48,2,1,0,1
49,2,1,0,1
50,2,1,0,1
51,2,1,0,1
52,2,1,0,1
53,2,1,0,1
54,2,1,0,1
55,2,1,0,1
56,2,1,0,1
57,2,1,0,1
58,2,1,0,1
59,2,1,0,1
60,2,1,0,1
61,2,1,0,1
62,2,1,0,1
63,2,1,0,1
64,2,1,0,1
65,2,1,0,1
66,2,1,0,1
67,2,1,0,1
68,2,1,0,1
69,2,1,0,1
70,2,1,0,1
71,2,1,0,1
72,2,1,0,1
73,2,1,0,1
74,2,1,0,1
75,2,1,0,1
76,2,1,0,1
77,2,1,0,1
78,2,1,0,1
79,2,1,0,1
80,2,1,0,1
81,2,1,0,1
82,2,1,0,1
83,2,1,0,1
84,2,1,0,1
85,2,1,0,1
86,2,1,0,1
87,2,1,0,1
88,2,1,0,1
89,2,1,0,1
90,3,1,0,1
91,3,1,0,1
92,3,1,0,1
93,3,1,0,1
94,3,1,0,1
95,3,1,0,1
96,3,1,0,1
97,3,1,0,1
98,3,1,0,1
99,3,1,0,1
100,3,1,0,1
101,3,1,0,1
102,3,1,0,1
103,3,1,0,1
104,3,1,0,1
105,3,1,0,1
106,3,1,0,1
107,3,1,0,1
108,3,1,0,1
109,3,1,0,1
110,3,1,0,1
111,3,1,0,1
112,3,1,0,1
113,3,1,0,1
114,3,1,0,1
115,3,1,0,1
116,3,1,0,1
117,3,1,0,1
