zone,totpop,tothh,hhinc1,hhinc2,hhinc3,hhinc4,hhage1,hhage2,hhage3,hhage4,hhchild,hhnochild,hhsize1,hhsize2,hhsize3,hhsize4,hhsize5,description
25,249,83,13,36,31,3,0,41,200.1,13,44,39,10,23,15,27,8,downtown zone
26,238,136,113,23,0,0,3,61,22,50,18,118,80,28,16,6,6,rural zone
27,17,7,1,3,3,0,0,4,1,2,2,5,1,4,0,2,0,downtown zone
28,318,138,43,50,41,4,1,44,54,39,24,114,36,62,12,18,10,rural zone
29,1572,553,79,180,257,37,4,327,148,74,243,310,82,162,134,111,64,downtown zone
30,2335,799,181,304,297,17,64,479,176,80,432,367,117,253,139,155,135,rural zone
31,124,40,12,13,15,0,0,30,7,3,25,15,5,8,11,10,6,downtown zone
32,2716,928,295,410,214,9,111,542,188,87,465,463,124,278,196,202,128,rural zone
33,2259,1012,304,557,148,3,97,344,232,339,231,781,284,425,136,118,49,downtown zone
34,146,56,7,19,29,1,0,26,20,10,15,41,9,21,13,9,4,rural zone
35,29,12,2,9,1,0,0,5,2,5,3,9,1,8,1,1,1,downtown zone
36,1324,564,173,257,132,2,16,213,139,196,151,413,127,238,106,62,31,rural zone
37,613,298,91,109,81,17,38,56,87,117,33,265,100,110,66,15,7,downtown zone
38,14,6,1,2,3,0,0,1,3,2,1,5,1,3,1,1,0,rural zone
39,1464,520,106,169,203,42,0,271,177,72,209,311,78,159,118,111,54,downtown zone
40,1492,575,185,242,138,10,41,236,186,112,215,360,141,170,115,79,70,rural zone
41,627,211,60,102,30,19,19,92,78,22,117,94,38,34,60,54,25,downtown zone
42,1022,371,99,107,155,10,14,160,96,101,137,234,33,169,72,50,47,rural zone
43,591,208,25,86,77,20,3,94,83,28,84,124,21,86,31,45,25,downtown zone
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
45,569,219,138,59,22,0,2,114,61,42,97,122,76,26,46,52,19,downtown zone
46,1663,732,247,371,114,0,45,295,206,186,157,575,252,257,73,72,78,rural zone
47,544,307,187,82,38,0,39,100,43,125,48,259,163,91,24,18,11,downtown zone
48,5,4,4,0,0,0,1,2,0,1,0,4,3,1,0,0,0,rural zone
49,923,440,184,161,79,16,42,222,108,68,112,328,180,127,56,64,13,downtown zone
50,570,235,81,87,67,0,7,121,32,75,66,169,36,121,28,42,8,rural zone
51,1631,661,200,342,117,2,12,307,154,188,197,464,207,178,117,78,81,downtown zone
52,1721,695,108,308,257,22,18,217,250,210,182,513,115,326,105,106,43,rural zone
53,2278,852,143,421,264,24,40,430,217,165,303,549,114,330,205,126,77,downtown zone
54,45,18,1,9,8,0,0,7,5,6,5,13,3,9,2,2,2,rural zone
55,268,104,7,46,43,8,0,33,40,31,30,74,16,46,18,14,10,downtown zone
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
57,1248,648,244,302,102,0,128,263,139,118,123,525,270,233,89,35,21,downtown zone
58,1358,476,27,181,233,35,6,257,134,79,220,256,68,166,85,82,75,rural zone
59,1549,689,272,257,137,23,70,345,158,116,158,531,243,244,68,56,78,downtown zone
60,684,391,193,154,30,14,25,106,122,138,45,346,186,149,29,22,5,rural zone
61,21,15,8,7,0,0,0,3,5,7,0,15,9,6,0,0,0,downtown zone
62,908,384,122,127,106,29,47,182,79,76,116,268,76,158,93,48,9,rural zone
63,60,27,7,8,10,2,0,15,6,6,6,21,5,14,5,3,0,downtown zone
64,50,15,0,0,7,8,0,9,6,0,9,6,0,5,3,4,3,rural zone
65,125,66,53,13,0,0,5,22,21,18,8,58,31,24,3,3,5,downtown zone
66,36,31,31,0,0,0,2,6,13,10,0,31,27,3,1,0,0,rural zone
67,261,107,12,33,57,5,0,69,27,11,35,72,26,37,20,19,5,downtown zone
68,1861,743,94,209,388,52,10,419,216,98,258,485,176,240,149,132,46,rural zone
69,345,157,18,58,55,26,0,86,41,30,47,110,42,72,21,14,8,downtown zone
70,672,213,12,16,96,89,0,113,76,24,105,108,15,65,44,50,39,rural zone
71,1163,435,69,82,210,74,18,240,106,71,169,266,75,149,90,85,36,downtown zone
72,624,262,35,44,114,69,8,96,91,67,61,201,46,137,31,29,19,rural zone
73,654,263,97,115,47,4,31,198,16,18,107,156,75,84,32,45,27,downtown zone
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
75,367,141,23,45,51,22,0,72,49,20,69,72,31,40,34,26,10,downtown zone
76,237,140,34,49,48,9,6,59,39,36,21,119,73,49,8,8,2,rural zone
77,2233,822,87,308,362,65,35,405,237,145,323,499,135,301,133,168,85,downtown zone
78,1288,495,85,165,214,31,0,223,151,121,194,301,103,176,78,91,47,rural zone
79,241,82,18,50,14,0,6,32,10,34,31,51,6,39,14,0,23,downtown zone
80,345,131,21,35,56,19,0,59,46,26,58,73,24,50,17,30,10,rural zone
81,513,194,30,48,86,30,0,87,68,39,84,110,34,75,25,46,14,downtown zone
