run,period,comp,cube,aeq,pct,corr,n
wlk_loc_wlk,EA,TOTIVT,37.9604,36.8368,-2.9601,0.9838,154481
wlk_loc_wlk,EA,IWAIT,29.5810,30.5630,3.3197,0.8834,154481
wlk_loc_wlk,EA,XWAIT,26.1531,27.6446,5.7027,0.7902,89794
wlk_loc_wlk,EA,WAUX,2.8938,3.1755,9.7357,0.2988,30194
wlk_loc_wlk,EA,BOARDS,1.5914,1.5911,-0.0156,0.9688,154481
wlk_loc_wlk,EA,FARE,171.2485,170.5266,-0.4216,0.8776,154481
wlk_loc_wlk,AM,TOTIVT,54.3215,52.9166,-2.5861,0.9920,377578
wlk_loc_wlk,AM,IWAIT,10.0072,10.2406,2.3326,0.9239,377578
wlk_loc_wlk,AM,XWAIT,15.5574,15.8021,1.5728,0.9730,305120
wlk_loc_wlk,AM,WAUX,5.1659,5.1621,-0.0738,0.8694,81311
wlk_loc_wlk,AM,BOARDS,2.1820,2.1761,-0.2707,0.9895,377578
wlk_loc_wlk,AM,FARE,189.1049,189.6367,0.2812,0.9607,377578
wlk_loc_wlk,MD,TOTIVT,53.9826,52.4117,-2.9101,0.9921,359334
wlk_loc_wlk,MD,IWAIT,9.9289,10.0278,0.9957,0.9436,359334
wlk_loc_wlk,MD,XWAIT,15.3283,15.5377,1.3656,0.9784,287433
wlk_loc_wlk,MD,WAUX,4.4577,4.5466,1.9950,0.8520,65291
wlk_loc_wlk,MD,BOARDS,2.1469,2.1437,-0.1506,0.9907,359334
wlk_loc_wlk,MD,FARE,185.0493,184.9308,-0.0640,0.9672,359334
wlk_loc_wlk,PM,TOTIVT,55.0598,53.8319,-2.2301,0.9915,397414
wlk_loc_wlk,PM,IWAIT,8.8797,9.1798,3.3797,0.9169,397414
wlk_loc_wlk,PM,XWAIT,15.2614,15.4732,1.3882,0.9695,325419
wlk_loc_wlk,PM,WAUX,5.6441,5.4791,-2.9234,0.8618,99180
wlk_loc_wlk,PM,BOARDS,2.2568,2.2499,-0.3061,0.9911,397414
wlk_loc_wlk,PM,FARE,194.3202,194.8213,0.2579,0.9671,397414
wlk_loc_wlk,EV,TOTIVT,52.5815,50.9765,-3.0524,0.9914,352174
wlk_loc_wlk,EV,IWAIT,12.3009,12.4308,1.0559,0.9382,352174
wlk_loc_wlk,EV,XWAIT,18.8248,19.2238,2.1194,0.9739,278355
wlk_loc_wlk,EV,WAUX,4.7541,5.0841,6.9399,0.8091,77231
wlk_loc_wlk,EV,BOARDS,2.0998,2.0975,-0.1071,0.9835,352174
wlk_loc_wlk,EV,FARE,187.9399,187.5793,-0.1919,0.9655,352174
wlk_lrf_wlk,EA,TOTIVT,29.4689,29.8650,1.3443,0.9633,12843
wlk_lrf_wlk,EA,IWAIT,33.6507,34.3335,2.0292,0.8321,12843
wlk_lrf_wlk,EA,XWAIT,29.9442,32.9122,9.9117,0.7488,8485
wlk_lrf_wlk,EA,WAUX,2.0522,2.1284,3.7150,0.8107,7339
wlk_lrf_wlk,EA,BOARDS,1.6665,1.6651,-0.0871,0.9885,12843
wlk_lrf_wlk,EA,FARE,164.8300,164.4371,-0.2384,0.9506,12843
wlk_lrf_wlk,EA,KEYIVT,18.3905,18.1331,-1.3999,0.9179,12843
wlk_lrf_wlk,AM,TOTIVT,50.7392,52.9419,4.3413,0.9700,83261
wlk_lrf_wlk,AM,IWAIT,9.6009,9.9412,3.5442,0.9335,83261
wlk_lrf_wlk,AM,XWAIT,21.4507,20.5982,-3.9744,0.9649,74661
wlk_lrf_wlk,AM,WAUX,7.3742,7.1092,-3.5930,0.9542,69863
wlk_lrf_wlk,AM,BOARDS,2.3689,2.3681,-0.0355,0.9950,83261
wlk_lrf_wlk,AM,FARE,274.4360,277.8611,1.2481,0.9731,83261
wlk_lrf_wlk,AM,KEYIVT,28.4993,30.2974,6.3091,0.9291,83261
wlk_lrf_wlk,MD,TOTIVT,53.3130,54.8534,2.8892,0.9795,88984
wlk_lrf_wlk,MD,IWAIT,9.0113,8.1087,-10.0167,0.8789,88984
wlk_lrf_wlk,MD,XWAIT,21.3897,21.8391,2.1011,0.9357,80456
wlk_lrf_wlk,MD,WAUX,7.5308,7.3835,-1.9557,0.9624,75860
wlk_lrf_wlk,MD,BOARDS,2.4059,2.4043,-0.0690,0.9914,88984
wlk_lrf_wlk,MD,FARE,282.4466,270.1200,-4.3642,0.8994,88963
wlk_lrf_wlk,MD,KEYIVT,30.3156,31.7787,4.8263,0.9512,88984
wlk_lrf_wlk,PM,TOTIVT,51.0220,52.0782,2.0701,0.9795,83150
wlk_lrf_wlk,PM,IWAIT,9.3537,8.9269,-4.5624,0.9075,83150
wlk_lrf_wlk,PM,XWAIT,21.1774,20.7011,-2.2494,0.9670,74594
wlk_lrf_wlk,PM,WAUX,6.8742,6.6814,-2.8046,0.9507,69687
wlk_lrf_wlk,PM,BOARDS,2.3801,2.3765,-0.1510,0.9914,83150
wlk_lrf_wlk,PM,FARE,281.1171,279.9284,-0.4229,0.9858,83128
