a,escort,shopping,othmaint,othdiscr,eatout,social
1,0,0,0,0,0,0
2,0,0,0,1,0,0
3,0,0,0,0,0,1
4,0,0,0,1,0,1
5,0,0,0,0,1,0
6,0,0,0,1,1,0
7,0,0,0,0,1,1
8,0,0,0,1,1,1
9,0,0,1,0,0,0
10,0,0,1,1,0,0
11,0,0,1,0,0,1
12,0,0,1,1,0,1
13,0,0,1,0,1,0
14,0,0,1,1,1,0
15,0,0,1,0,1,1
16,0,0,1,1,1,1
17,0,1,0,0,0,0
18,0,1,0,1,0,0
19,0,1,0,0,0,1
20,0,1,0,1,0,1
21,0,1,0,0,1,0
22,0,1,0,1,1,0
23,0,1,0,0,1,1
24,0,1,0,1,1,1
25,0,1,1,0,0,0
26,0,1,1,1,0,0
27,0,1,1,0,0,1
28,0,1,1,1,0,1
29,0,1,1,0,1,0
30,0,1,1,1,1,0
31,0,1,1,0,1,1
32,0,1,1,1,1,1
33,1,0,0,0,0,0
34,1,0,0,1,0,0
35,1,0,0,0,0,1
36,1,0,0,1,0,1
37,1,0,0,0,1,0
38,1,0,0,1,1,0
39,1,0,0,0,1,1
40,1,0,0,1,1,1
41,1,0,1,0,0,0
42,1,0,1,1,0,0
43,1,0,1,0,0,1
44,1,0,1,1,0,1
45,1,0,1,0,1,0
46,1,0,1,1,1,0
47,1,0,1,0,1,1
48,1,0,1,1,1,1
49,1,1,0,0,0,0
50,1,1,0,1,0,0
51,1,1,0,0,0,1
52,1,1,0,1,0,1
53,1,1,0,0,1,0
54,1,1,0,1,1,0
55,1,1,0,0,1,1
56,1,1,0,1,1,1
57,1,1,1,0,0,0
58,1,1,1,1,0,0
59,1,1,1,0,0,1
60,1,1,1,1,0,1
61,1,1,1,0,1,0
62,1,1,1,1,1,0
63,1,1,1,0,1,1
64,1,1,1,1,1,1
65,2,0,0,0,0,0
66,2,0,0,1,0,0
67,2,0,0,0,0,1
68,2,0,0,1,0,1
69,2,0,0,0,1,0
70,2,0,0,1,1,0
71,2,0,0,0,1,1
72,2,0,0,1,1,1
73,2,0,1,0,0,0
74,2,0,1,1,0,0
75,2,0,1,0,0,1
76,2,0,1,1,0,1
77,2,0,1,0,1,0
78,2,0,1,1,1,0
79,2,0,1,0,1,1
80,2,0,1,1,1,1
81,2,1,0,0,0,0
82,2,1,0,1,0,0
83,2,1,0,0,0,1
84,2,1,0,1,0,1
85,2,1,0,0,1,0
86,2,1,0,1,1,0
87,2,1,0,0,1,1
88,2,1,0,1,1,1
89,2,1,1,0,0,0
90,2,1,1,1,0,0
91,2,1,1,0,0,1
92,2,1,1,1,0,1
93,2,1,1,0,1,0
94,2,1,1,1,1,0
95,2,1,1,0,1,1
96,2,1,1,1,1,1
