Description,Expression,WFH,DoesNotWFH
Estimated constant,1,coef_wfh_constant,
HH income 75-100k (2023$),(income_2023d >= 75000) & (income_2023d < 100000),coef_wfh_income_75_100k,
HH income 100-200k (2023$),(income_2023d >= 100000) & (income_2023d < 200000),coef_wfh_income_100_200k,
HH income 200k+ (2023$),income_2023d >= 200000,coef_wfh_income_200k_plus,
Industry: Agriculture/natural resources,ind_AGREMP,coef_wfh_ind_agr,
Industry: Health/education/recreation,ind_HEREMP,coef_wfh_ind_her,
Industry: Manufacturing/wholesale/transport,ind_MWTEMP,coef_wfh_ind_mwt,
Industry: Retail trade,ind_RETEMP,coef_wfh_ind_ret,
Home county is North Bay,home_county >= 6,coef_wfh_north_bay,
Work county is San Francisco,work_county == 1,coef_wfh_work_sf,
East Bay to/from SF commute,@(df.eastbay_sf * eastbay_sf_calibration),coef_wfh_eastbay_sf,
Distance home to work,distance_to_work,coef_wfh_distance,
Calibration constant,1,coef_wfh_calibration,
#,,,,
# EN7 scenario superdistrict-level calibration boosts (all 0.0 in base).
# Uncomment and set coefficient values for EN7 scenario runs.
EN7 Boost for Superdistrict 01,work_sd == 1,1,
EN7 Boost for Superdistrict 02,work_sd == 2,1,
EN7 Boost for Superdistrict 03,work_sd == 3,1,
EN7 Boost for Superdistrict 04,work_sd == 4,1,
EN7 Boost for Superdistrict 05,work_sd == 5,1,
EN7 Boost for Superdistrict 06,work_sd == 6,1,
EN7 Boost for Superdistrict 07,work_sd == 7,1,
EN7 Boost for Superdistrict 08,work_sd == 8,1,
EN7 Boost for Superdistrict 09,work_sd == 9,1,
EN7 Boost for Superdistrict 10,work_sd == 10,1,
EN7 Boost for Superdistrict 11,work_sd == 11,1,
EN7 Boost for Superdistrict 12,work_sd == 12,1,
EN7 Boost for Superdistrict 13,work_sd == 13,1,
EN7 Boost for Superdistrict 14,work_sd == 14,1,
EN7 Boost for Superdistrict 15,work_sd == 15,1,
EN7 Boost for Superdistrict 16,work_sd == 16,1,
EN7 Boost for Superdistrict 17,work_sd == 17,1,
EN7 Boost for Superdistrict 18,work_sd == 18,1,
EN7 Boost for Superdistrict 19,work_sd == 19,1,
EN7 Boost for Superdistrict 20,work_sd == 20,1,
EN7 Boost for Superdistrict 21,work_sd == 21,1,
EN7 Boost for Superdistrict 22,work_sd == 22,1,
EN7 Boost for Superdistrict 23,work_sd == 23,1,
EN7 Boost for Superdistrict 24,work_sd == 24,1,
EN7 Boost for Superdistrict 25,work_sd == 25,1,
EN7 Boost for Superdistrict 26,work_sd == 26,1,
EN7 Boost for Superdistrict 27,work_sd == 27,1,
EN7 Boost for Superdistrict 28,work_sd == 28,1,
EN7 Boost for Superdistrict 29,work_sd == 29,1,
EN7 Boost for Superdistrict 30,work_sd == 30,1,
EN7 Boost for Superdistrict 31,work_sd == 31,1,
EN7 Boost for Superdistrict 32,work_sd == 32,1,
EN7 Boost for Superdistrict 33,work_sd == 33,1,
EN7 Boost for Superdistrict 34,work_sd == 34,1,
