grouping,congested/other
SF,Congested
SFOSanMateo_101,Congested
SFOSanMateo_280380,Congested
SanMateo_101,Congested
SanMateo_28092,Other
SouthBay_Inner,Congested
SouthBay_Outer10187,Congested
SouthBay_Outer280680,Congested
SCL_85,Congested
Periphery_101SouthBay,Other
AL_680,Congested
CC_Southern_680,Other
Periphery_580,Other
EastBay_Outer580,Congested
EastBay_Inner580,Congested
EastBay_880680,Congested
EastBay_InnerBBApproach80580880,Congested
EastBay_68024980,Congested
EastBay_Outer80,Congested
Periphery_SR4,Congested
Periphery_80Solano,Other
Periphery_101NorthBay,Other
