A,B,Parallel_Corridor,Shape_Leng
1608,1616,Periphery_SR4_AM,1265.39383442000
1608,8015,Periphery_SR4_PM,1325.26550816000
1609,1610,Periphery_SR4_PM,792.98486744700
1609,8015,Periphery_SR4_AM,679.21804420800
1610,1609,Periphery_SR4_AM,792.98486744700
1610,1639,Periphery_SR4_PM,540.68300699700
1616,1608,Periphery_SR4_PM,1265.39383442000
1616,15953,Periphery_SR4_AM,1974.28158728000
1633,1639,EastBay_68024980_AM,212.65643431400
1638,1801,EastBay_68024980_PM,806.66619063000
1638,3535,EastBay_68024980_AM,2108.90841154000
1639,1610,Periphery_SR4_AM,540.68300699700
1639,1633,EastBay_68024980_PM,212.65643431400
1639,1801,EastBay_68024980_AM,861.00765883800
1639,1811,Periphery_SR4_PM,441.07467785800
1801,1638,EastBay_68024980_AM,806.66619063000
1801,1639,EastBay_68024980_PM,861.00765883800
1811,1639,Periphery_SR4_AM,441.07467785800
1811,1812,Periphery_SR4_PM,1349.95310301000
1812,1811,Periphery_SR4_AM,1349.95310301000
1812,1814,Periphery_SR4_PM,529.16153254700
1814,1812,Periphery_SR4_AM,529.16153254700
1814,1815,Periphery_SR4_PM,1792.04045713000
1815,1814,Periphery_SR4_AM,1792.04045713000
1815,1816,Periphery_SR4_PM,530.70590279100
1816,1815,Periphery_SR4_AM,530.70590279100
1931,11535,EastBay_Outer80_AM,447.62595992600
1953,1956,EastBay_68024980_PM,90.82559173390
1956,1953,EastBay_68024980_AM,90.82559173390
1956,8149,EastBay_68024980_PM,174.62919373600
1957,1970,EastBay_68024980_PM,395.68295389100
1957,8149,EastBay_68024980_AM,461.29058087100
1970,1957,EastBay_68024980_AM,395.68295389100
1970,1975,EastBay_68024980_PM,559.52926643700
1975,1970,EastBay_68024980_AM,559.52926643700
1975,8141,EastBay_68024980_PM,1246.64549893000
1976,1981,EastBay_68024980_PM,1029.47462329000
1976,8141,EastBay_68024980_AM,522.65954502000
1981,1976,EastBay_68024980_AM,1029.47462329000
1981,1987,EastBay_68024980_PM,858.17072893500
1985,8056,EastBay_68024980_PM,1277.69455893000
1985,10329,EastBay_68024980_AM,637.52756442300
1987,1981,EastBay_68024980_AM,858.17072893500
1987,10331,EastBay_68024980_PM,1000.23247298000
1998,8050,EastBay_68024980_PM,519.60930854000
1998,8056,EastBay_68024980_AM,759.30791195700
2004,2005,EastBay_68024980_PM,708.97944284400
2004,8050,EastBay_68024980_AM,761.99689480500
2005,2004,EastBay_68024980_AM,708.97944284400
2005,8051,EastBay_68024980_PM,586.74175640000
2272,2311,EastBay_Outer80_AM,328.35346808000
2305,2395,EastBay_Outer80_AM,461.90408866300
2310,2305,EastBay_Outer80_AM,381.39104070800
2311,1931,EastBay_Outer80_AM,251.28668886400
2334,2407,EastBay_Outer80_AM,828.91732857800
2395,2401,EastBay_Outer80_AM,110.92377909800
2401,2334,EastBay_Outer80_AM,351.06840151200
2407,2334,EastBay_Outer80_PM,828.91732857800
2407,2412,EastBay_Outer80_AM,244.86079599900
2408,2412,EastBay_Outer80_PM,351.02706448400
2408,11544,EastBay_Outer80_AM,833.40566352800
2412,2407,EastBay_Outer80_PM,244.86079599900
2412,2408,EastBay_Outer80_AM,351.02706448400
2414,2427,EastBay_Outer80_AM,438.36970698300
2414,11544,EastBay_Outer80_PM,372.49026832900
2427,2414,EastBay_Outer80_PM,438.36970698300
2427,2430,EastBay_Outer80_AM,677.04061916500
2429,2430,EastBay_Outer80_PM,195.38679586900
2429,2492,EastBay_Outer80_AM,1187.82532386000
2430,2427,EastBay_Outer80_PM,677.04061916500
2430,2429,EastBay_Outer80_AM,195.38679586900
2492,2429,EastBay_Outer80_PM,1187.82532386000
2492,2493,EastBay_Outer80_AM,390.03717771500
2493,2492,EastBay_Outer80_PM,390.03717771500
2493,2536,EastBay_Outer80_AM,716.54234127100
2535,2536,EastBay_Outer80_PM,607.48250463400
2535,2619,EastBay_Outer80_AM,711.23187083400
2536,2493,EastBay_Outer80_PM,716.54234127100
2536,2535,EastBay_Outer80_AM,607.48250463400
