"","a","b","tollclass","project","facility_name","s2toll_mandatory","THRESHOLD_SPEED","MAX_TOLL","MIN_TOLL","Grouping major","Grouping minor"
"1",1601,8838,770091,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_80Solano_PM"
"2",1601,8844,770092,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_AM","Periphery_80Solano_AM"
"3",1602,11993,990092,"NextGenFwy","I-80 SOL - SR12/I-680 Interchange (Red Top Road) to I-505 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"Periphery_AM","Periphery_80Solano_AM"
"4",1603,11944,990091,"NextGenFwy","I-80 SOL - SR12/I-680 Interchange (Red Top Road) to I-505 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"Periphery_PM","Periphery_80Solano_PM"
"5",1604,8849,770091,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_80Solano_PM"
"6",1604,11966,770092,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_AM","Periphery_80Solano_AM"
"7",1605,8838,770092,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_AM","Periphery_80Solano_AM"
"8",1605,11790,770091,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_80Solano_PM"
"9",1608,1616,770402,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_AM","Periphery_SR4_AM"
"10",1608,8015,770401,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_SR4_PM"
"11",1609,1610,770401,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_SR4_PM"
"12",1609,8015,770402,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_AM","Periphery_SR4_AM"
"13",1610,1609,770402,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_AM","Periphery_SR4_AM"
"14",1610,1639,770401,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_SR4_PM"
"15",1613,1629,770401,"NextGenFwy","na",NA,NA,NA,NA,"Periphery_PM","Periphery_SR4_PM"
