a_b,Grouping minor,Grouping minor_AMPM,TOLLCLASS (network links 100plusSeg.shp)
1_7487,Other,Other ,0.00000
1_7489,Other,Other ,0.00000
2_7496,Other,Other ,0.00000
2_7500,Other,Other ,0.00000
3_7483,Other,Other ,0.00000
3_7494,Other,Other ,0.00000
4_7508,Other,Other ,0.00000
4_7527,Other,Other ,0.00000
4_7528,Other,Other ,0.00000
5_7513,Other,Other ,0.00000
5_7514,Other,Other ,0.00000
5_7523,Other,Other ,0.00000
6_7479,Other,Other ,0.00000
6_7480,Other,Other ,0.00000
7_7535,Other,Other ,0.00000
7_7542,Other,Other ,0.00000
8_7536,Other,Other ,0.00000
8_7538,Other,Other ,0.00000
9_7547,Other,Other ,0.00000
9_7551,Other,Other ,0.00000
9_7559,Other,Other ,0.00000
9_7627,Other,Other ,0.00000
10_7574,Other,Other ,0.00000
10_7580,Other,Other ,0.00000
10_7581,Other,Other ,0.00000
11_7589,Other,Other ,0.00000
11_7594,Other,Other ,0.00000
12_7585,Other,Other ,0.00000
12_7600,Other,Other ,0.00000
13_7524,Other,Other ,0.00000
13_7599,Other,Other ,0.00000
13_7602,Other,Other ,0.00000
14_7609,Other,Other ,0.00000
14_7612,Other,Other ,0.00000
15_7614,Other,Other ,0.00000
15_7616,Other,Other ,0.00000
16_6978,Other,Other ,0.00000
16_6980,Other,Other ,0.00000
16_6983,Other,Other ,0.00000
16_7401,Other,Other ,0.00000
17_7408,Other,Other ,0.00000
17_7433,Other,Other ,0.00000
17_7435,Other,Other ,0.00000
17_10541,Other,Other ,0.00000
18_7049,Other,Other ,0.00000
18_7050,Other,Other ,0.00000
19_7047,Other,Other ,0.00000
19_7048,Other,Other ,0.00000
20_7061,Other,Other ,0.00000
20_7063,Other,Other ,0.00000
20_7613,Other,Other ,0.00000
21_7054,Other,Other ,0.00000
21_7064,Other,Other ,0.00000
22_7621,Other,Other ,0.00000
22_7622,Other,Other ,0.00000
23_7467,Other,Other ,0.00000
23_7647,Other,Other ,0.00000
23_7648,Other,Other ,0.00000
24_7169,Other,Other ,0.00000
24_7638,Other,Other ,0.00000
24_7640,Other,Other ,0.00000
25_7484,Other,Other ,0.00000
25_7502,Other,Other ,0.00000
25_7579,Other,Other ,0.00000
26_13639,Other,Other ,0.00000
26_13640,Other,Other ,0.00000
27_7596,Other,Other ,0.00000
27_7597,Other,Other ,0.00000
28_7795,Other,Other ,0.00000
28_13642,Other,Other ,0.00000
29_7474,Other,Other ,0.00000
29_7476,Other,Other ,0.00000
29_7583,Other,Other ,0.00000
30_7450,Other,Other ,0.00000
30_7452,Other,Other ,0.00000
30_7460,Other,Other ,0.00000
31_7444,Other,Other ,0.00000
31_7457,Other,Other ,0.00000
32_7000,Other,Other ,0.00000
32_7438,Other,Other ,0.00000
32_7445,Other,Other ,0.00000
33_7069,Other,Other ,0.00000
33_7529,Other,Other ,0.00000
34_7687,Other,Other ,0.00000
34_7688,Other,Other ,0.00000
34_7692,Other,Other ,0.00000
35_7104,Other,Other ,0.00000
35_7617,Other,Other ,0.00000
35_7630,Other,Other ,0.00000
36_7666,Other,Other ,0.00000
36_7672,Other,Other ,0.00000
36_7674,Other,Other ,0.00000
37_7418,Other,Other ,0.00000
37_7785,Other,Other ,0.00000
38_5053,Other,Other ,0.00000
38_7647,Other,Other ,0.00000
38_13620,Other,Other ,0.00000
39_7631,Other,Other ,0.00000
39_7641,Other,Other ,0.00000
40_6991,Other,Other ,0.00000
40_6997,Other,Other ,0.00000
40_7683,Other,Other ,0.00000
41_6995,Other,Other ,0.00000
41_7649,Other,Other ,0.00000
41_7656,Other,Other ,0.00000
42_13621,Other,Other ,0.00000
43_6800,Other,Other ,0.00000
43_7719,Other,Other ,0.00000
43_7722,Other,Other ,0.00000
44_6819,Other,Other ,0.00000
44_7709,Other,Other ,0.00000
45_7106,Other,Other ,0.00000
45_7190,Other,Other ,0.00000
46_7562,Other,Other ,0.00000
46_7694,Other,Other ,0.00000
46_7739,Other,Other ,0.00000
47_7532,Other,Other ,0.00000
47_13645,Other,Other ,0.00000
48_7363,Other,Other ,0.00000
48_13646,Other,Other ,0.00000
49_7702,Other,Other ,0.00000
49_7703,Other,Other ,0.00000
50_7711,Other,Other ,0.00000
50_7713,Other,Other ,0.00000
51_6944,Other,Other ,0.00000
51_7334,Other,Other ,0.00000
51_7718,Other,Other ,0.00000
52_6786,Other,Other ,0.00000
52_7117,Other,Other ,0.00000
53_7286,Other,Other ,0.00000
53_7288,Other,Other ,0.00000
53_7289,Other,Other ,0.00000
54_6880,Other,Other ,0.00000
54_7177,Other,Other ,0.00000
55_7173,Other,Other ,0.00000
56_6836,Other,Other ,0.00000
57_7307,Other,Other ,0.00000
58_7306,Other,Other ,0.00000
59_7179,Other,Other ,0.00000
59_7299,Other,Other ,0.00000
60_7303,Other,Other ,0.00000
61_7305,Other,Other ,0.00000
62_6777,Other,Other ,0.00000
62_7311,Other,Other ,0.00000
63_7205,Other,Other ,0.00000
63_7620,Other,Other ,0.00000
64_7343,Other,Other ,0.00000
64_7346,Other,Other ,0.00000
64_7353,Other,Other ,0.00000
65_7351,Other,Other ,0.00000
65_7388,Other,Other ,0.00000
65_7391,Other,Other ,0.00000
66_7352,Other,Other ,0.00000
66_13630,Other,Other ,0.00000
67_7354,Other,Other ,0.00000
67_7355,Other,Other ,0.00000
68_7366,Other,Other ,0.00000
68_7368,Other,Other ,0.00000
69_7371,Other,Other ,0.00000
