Corridor,Category,Short Name,Model Run ID,Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID"
EastBay_880680,No Project,NoProject v10,2035_TM152_NGF_NP10,474.00,104.00,0.00,0.00,,0.00,8073.75,-776.50,,0.00,8547.75,-672.50
EastBay_880680,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,590.00,220.00,0.00,0.00,,0.00,9706.68,856.43,,0.00,10296.68,1076.43
EastBay_880680,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,500.16,130.16,1988.15,1988.15,,0.00,7749.73,-1100.52,,0.00,10238.04,1017.79
EastBay_880680,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,430.00,60.00,0.00,0.00,,0.00,9932.60,1082.35,,0.00,10362.60,1142.35
EastBay_880680,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,520.46,150.46,2142.17,2142.17,,0.00,7709.71,-1140.54,,0.00,10372.34,1152.09
EastBay_880680,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,527.47,157.47,2120.17,2120.17,,0.00,7773.92,-1076.33,,0.00,10421.56,1201.31
EastBay_880680,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,468.00,98.00,0.00,0.00,,0.00,10034.02,1183.77,,0.00,10502.02,1281.77
EastBay_880680,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,502.00,132.00,0.00,0.00,,0.00,10173.95,1323.70,,0.00,10675.95,1455.70
EastBay_880680,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,519.24,149.24,1681.90,1681.90,,0.00,7668.50,-1181.75,,0.00,9869.64,649.39
EastBay_880680,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,534.04,164.04,0.00,0.00,,0.00,9360.58,510.33,,0.00,9894.62,674.37
EastBay_880680,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,370.00,0.00,0.00,0.00,,0.00,8850.25,0.00,,0.00,9220.25,0.00
EastBay_68024980,No Project,NoProject v10,2035_TM152_NGF_NP10,58.11,31.40,304.00,-486.00,,0.00,19378.97,-229.02,,0.00,19741.08,-683.62
EastBay_68024980,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,51.37,24.66,354.04,-435.96,,0.00,20630.37,1022.38,,0.00,21035.78,611.08
EastBay_68024980,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,134.70,107.99,1414.90,624.90,,0.00,20370.04,762.05,,0.00,21919.64,1494.94
EastBay_68024980,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,24.04,-2.67,894.00,104.00,,0.00,20572.34,964.35,,0.00,21490.38,1065.68
EastBay_68024980,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,152.69,125.98,1422.88,632.88,,0.00,20798.04,1190.05,,0.00,22373.61,1948.91
