A,B,Parallel_Corridor
1601,8838,Periphery_80Solano_PM
1601,8844,Periphery_80Solano_AM
1604,8849,Periphery_80Solano_PM
1604,11966,Periphery_80Solano_AM
1605,8838,Periphery_80Solano_AM
1605,11790,Periphery_80Solano_PM
1608,1616,Periphery_SR4_AM
1608,8015,Periphery_SR4_PM
1609,1610,Periphery_SR4_PM
1609,8015,Periphery_SR4_AM
1610,1609,Periphery_SR4_AM
1610,1639,Periphery_SR4_PM
1613,1629,Periphery_SR4_PM
1613,8023,Periphery_SR4_AM
1614,8028,Periphery_SR4_AM
1614,11570,Periphery_SR4_PM
1616,1608,Periphery_SR4_PM
1616,15953,Periphery_SR4_AM
1629,1613,Periphery_SR4_AM
1632,1649,Periphery_SR4_AM
1632,7780,Periphery_SR4_PM
1638,1801,Periphery_SR4_PM
1638,1809,Periphery_SR4_PM
1638,3535,Periphery_SR4_AM
1639,1610,Periphery_SR4_AM
1639,1801,Periphery_SR4_AM
1639,1811,Periphery_SR4_PM
1644,1647,Periphery_SR4_PM
1644,7780,Periphery_SR4_AM
1645,1646,Periphery_SR4_AM
1645,1669,Periphery_SR4_PM
1646,1645,Periphery_SR4_PM
1646,1647,Periphery_SR4_AM
1647,1644,Periphery_SR4_AM
1647,1646,Periphery_SR4_PM
1648,1663,Periphery_SR4_PM
1648,1809,Periphery_SR4_AM
1649,1632,Periphery_SR4_PM
1649,11572,Periphery_SR4_AM
1657,1686,Periphery_SR4_AM
1657,2392,Periphery_SR4_PM
1663,1648,Periphery_SR4_AM
1663,1818,Periphery_SR4_PM
1669,1645,Periphery_SR4_AM
1669,1876,Periphery_SR4_PM
1672,2417,EastBay_Outer80_PM
1672,2484,EastBay_Outer80_AM
1686,1657,Periphery_SR4_PM
1686,1818,Periphery_SR4_AM
1689,1691,Periphery_SR4_AM
1689,2392,Periphery_SR4_AM
1689,2439,Periphery_SR4_PM
1691,1689,Periphery_SR4_PM
1691,1842,Periphery_SR4_PM
1701,1860,Periphery_SR4_PM
1701,2439,Periphery_SR4_AM
1709,1859,Periphery_SR4_AM
1709,7777,Periphery_SR4_AM
1709,10690,Periphery_SR4_PM
1709,15956,Periphery_SR4_PM
1728,1729,Periphery_SR4_AM
1728,2108,Periphery_SR4_PM
1729,1728,Periphery_SR4_PM
