mph,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
1,1543.3582329662243,1542.875294124905,1536.1970158445447,1516.3063181294578,1524.664341077456,1635.9661535524126,1535.9406826244035,1538.7447717981076,1509.9706009094934
2,1478.1283650486678,1477.6748934552406,1471.3834139063601,1452.180822835067,1460.4140941373107,1567.1058956333227,1471.1222186105601,1473.7165751568737,1446.1138652673794
3,1412.8984971311113,1412.4744927855766,1406.5698119681756,1388.055327540676,1396.1638471971658,1498.245637714233,1406.3037545967165,1408.6883785156394,1382.2571296252654
4,1347.6686292135548,1347.2740921159125,1341.756210029991,1323.9298322462853,1331.9136002570208,1429.385379795143,1341.485290582873,1343.6601818744052,1318.4003939831514
5,1282.4387612959983,1282.0736914462484,1276.9426080918065,1259.8043369518944,1267.6633533168758,1360.5251218760532,1276.6668265690294,1278.6319852331712,1254.5436583410374
6,1217.2088933784419,1216.8732907765843,1212.129006153622,1195.6788416575034,1203.4131063767309,1291.6648639569632,1211.8483625551858,1213.6037885919372,1190.6869226989234
7,1151.9790254608854,1151.6728901069202,1147.3154042154374,1131.5533463631127,1139.162859436586,1222.8046060378733,1147.0298985413422,1148.575591950703,1126.8301870568093
8,1086.749157543329,1086.4724894372562,1082.5018022772529,1067.4278510687218,1074.912612496441,1153.9443481187836,1082.2114345274986,1083.5473953094688,1062.9734514146953
9,1021.5192896257724,1021.272088767592,1017.6882003390682,1003.302355774331,1010.6623655562959,1085.0840901996937,1017.3929705136551,1018.5191986682348,999.1167157725812
10,956.289421708216,956.0716880979279,952.8745984008837,939.1768604799402,946.4121186161509,1016.2238322806038,952.5745064998115,953.4910020270007,935.2599801304672
11,913.0968558169543,912.8977718495677,909.9560895805772,896.7139136776228,903.8676168191706,970.6300378994862,909.6534417500145,910.431751490693,892.9754642598054
12,869.9042899256926,869.7238556012074,867.0375807602708,854.2509668753055,861.3231150221903,925.0362435183686,866.7323770002176,867.3725009543854,850.6909483891438
13,826.711724034431,826.5499393528471,824.1190719399643,811.788020072988,818.77861322521,879.4424491372511,823.8113122504207,824.3132504180776,808.4064325184821
14,783.5191581431692,783.3760231044869,781.2005631196579,769.3250732706707,776.2341114282298,833.8486547561334,780.8902475006237,781.2539998817699,766.1219166478204
15,740.3265922519075,740.2021068561266,738.2820542993514,726.8621264683534,733.6896096312495,788.2548603750158,737.9691827508268,738.1947493454622,723.8374007771588
16,711.2280027174982,711.1156278917939,709.3668788167909,698.2555699405245,705.0281493576186,757.5346040095295,709.053645340428,709.186924263003,695.3520984655163
17,682.1294131830889,682.0291489274613,680.4517033342302,669.6490134126958,676.3666890839877,726.8143476440431,680.1381079300293,680.1790991805437,666.8667961538737
18,653.0308236486795,652.9426699631285,651.5365278516696,641.042456884867,647.7052288103569,696.0940912785568,651.2225705196304,651.1712740980845,638.3814938422312
19,623.9322341142703,623.8561909987959,622.6213523691089,612.4359003570382,619.0437685367259,665.3738349130704,622.3070331092316,622.1634490156254,609.8961915305886
20,594.8336445798609,594.7697120344632,593.7061768865483,583.8293438292094,590.3823082630951,634.6535785475841,593.3914956988328,593.1556239331661,581.4108892189461
21,575.0685097271412,575.0126524549889,574.0652676289396,564.3984339793678,570.9141771050512,613.7862101997556,573.7506766725444,573.4523362514959,562.0625990320345
22,555.3033748744216,555.2555928755148,554.4243583713311,544.9675241295263,551.4460459470072,592.9188418519273,554.1098576462558,553.7490485698257,542.7143088451229
23,535.5382400217019,535.4985332960406,534.7834491137226,525.5366142796847,531.9779147889633,572.0514735040988,534.4690386199674,534.0457608881555,523.3660186582113
24,515.7731051689822,515.7414737165665,515.1425398561139,506.1057044298432,512.5097836309194,551.1841051562704,514.8282195936789,514.3424732064854,504.01772847129973
