A,B,_PROJECT,_PROJ_BRT_EA,_PROJ_BRT_AM,_PROJ_BRT_MD,_PROJ_BRT_PM,_PROJ_BRT_EV
9614,20228,US101_BOS,0,3,0,0,0
9618,9620,US101_BOS,0,3,0,0,0
9620,9622,US101_BOS,0,3,0,0,0
9622,9649,US101_BOS,0,3,0,0,0
9635,20050,US101_BOS,0,3,0,0,0
9645,9646,US101_BOS,0,3,0,0,0
9646,20053,US101_BOS,0,3,0,0,0
9647,9648,US101_BOS,0,3,0,0,0
9648,20227,US101_BOS,0,3,0,0,0
9655,9635,US101_BOS,0,3,0,0,0
9658,20048,US101_BOS,0,3,0,0,0
20047,20049,US101_BOS,0,3,0,0,0
20048,20047,US101_BOS,0,3,0,0,0
20049,9655,US101_BOS,0,3,0,0,0
20050,9645,US101_BOS,0,3,0,0,0
20053,9647,US101_BOS,0,3,0,0,0
20227,9614,US101_BOS,0,3,0,0,0
20228,9618,US101_BOS,0,3,0,0,0
