TAZ1454,Minority_Name,Majority_Name,Minority_percent,Majority_percent
1,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99999343,99.99999343
2,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99999579,99.99999579
3,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",100.0000211,100.0000211
4,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99998715,99.99998715
5,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99994441,99.99994441
6,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99998679,99.99998679
7,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",100.0000109,100.0000109
8,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99998089,99.99998089
9,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99996961,99.99996961
10,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",100.0000392,100.0000392
11,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99998371,99.99998371
12,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99990515,99.99990515
13,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99998013,99.99998013
14,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",100.0001185,100.0001185
15,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",90.59976095,90.59976095
16,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",95.58265026,95.58265026
17,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",95.77126317,95.77126317
18,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99999296,99.99999296
19,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99990942,99.99990942
20,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",99.99999962,99.99999962
21,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",100.0000402,100.0000402
22,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",87.79549462,87.79549462
23,"San Francisco--Oakland, CA","San Francisco--Oakland, CA",91.87852624,91.87852624
