name
' '
'Anza Street'
'29th Avenue'
'Augusta Street'
'Elmira Street'
'Lincoln Way'
'Highland Avenue'
'Patton Street'
'Guerrero Street'
'Cesar Chavez Street'
'Peralta Avenue'
'Montcalm Street'
'Mission Street'
'Florida Street'
'Cowles Street'
'Presidio Promenade'
'San Rafael Way'
'Balboa Street'
'15th Avenue'
'El Camino del Mar'
'Ellert Street'
'Bennington Street'
'State Drive'
'Steiner Street'
'Fell Street'
'1st Street'
'Beach Street'
'Polk Street'
'Chain of Lakes Drive East'
'Martin Luther King Junior Drive'
'Webster Street'
'Fulton Street'
'Hermann Street'
'Mallorca Way'
'Toledo Way'
'Philosopher s Way'
'Rutland Street'
'Raymond Avenue'
'West Clay Street'
'24th Avenue'
'Norton Street'
'Alemany Boulevard'
'Wawona Street'
'36th Avenue'
'28th Avenue'
Broadway
'Columbus Avenue'
'Niagara Avenue'
'Howth Street'
'Julian Avenue'
'14th Street'
'London Street'
'Geneva Avenue'
'Kirkham Street'
'O Farrell Street'
'Pershing Drive'
'McNair Court'
'14th Avenue'
'Quintara Street'
'Divisadero Street'
'Teresita Boulevard'
'Foerster Street'
'Southern Embarcadero Freeway'
'Harrison Street'
'Vicente Street'
'31st Avenue'
'Potrero Avenue'
'Newhall Street'
'18th Street'
'Pennsylvania Avenue'
'Fairfax Avenue'
'Anderson Street'
'Cortland Avenue'
'Ingalls Street'
'Quesada Avenue'
'Lawton Street'
'34th Avenue'
'Frederick Street'
'Masonic Avenue'
'Division Street'
'Thomas Mellon Circle'
'Stockton Street'
'Greenwich Street'
'Sunnydale Avenue'
'32nd Avenue'
'Beverly Street'
'6th Avenue'
'Ruckman Avenue'
'Appleton Street'
'13th Street'
'Folsom Street'
'37th Avenue'
'Ortega Street'
'Zoo Road'
'Bayshore Boulevard'
'Hollister Avenue'
'Jennings Street'
'Vallejo Street'
'Margrave Place'
'Francisco Street'
'Market Street'
'Cabrillo Street'
'Park Presidio Boulevard'
'Candlestick Cove Way'
'Seal Cove Terrace'
'Shore View Avenue'
'San Jose Avenue'
'Nantucket Avenue'
'Vista Access Road'
'Congo Street'
'Monterey Boulevard'
'Mesa Street'
'Presidio Boulevard'
'Taraval Street'
'San Bruno Avenue'
'Bernal Heights Boulevard'
'Ellsworth Street'
'Crossover Drive'
'19th Avenue'
'Van Ness Avenue'
'Larch Street'
'16th Avenue'
'Quint Street'
'Newcomb Avenue'
'Sargent Street'
'Head Street'
'Larkin Street'
'Hayes Street'
'Eucalyptus Drive'
'39th Avenue'
'Judson Avenue'
'Miguel Street'
'Chenery Street'
'Keith Street'
'Los Palmos Drive'
'Lulu Alley'
'Jackson Street'
'Scott Street'
'Palace Drive'
'Haight Street'
'16th Street'
'Sanchez Street'
'Arroyo Way'
'Rankin Street'
'Kirkwood Avenue'
'20th Avenue'
'Laguna Street'
'17th Street'
'3rd Street'
'Le Conte Avenue'
'Filbert Street'
'South Van Ness Avenue'
'20th Street'
'Mariposa Street'
'Commercial Street'
'San Carlos Street'
'Ivy Street'
'Leavenworth Street'
'Restani Way'
'West Road'
'Ocean Avenue'
'Clayton Street'
'Brotherhood Way'
'Octavia Street'
'California Street'
'Sunset Boulevard'
'Rome Street'
'Geary Street'
'Lower Great Highway Trail'
'24th Street'
'Irving Street'
'22nd Street'
'Quane Street'
'Rosie Lee Lane'
'Espanola Street'
'15th Street'
'San Juan Avenue'
'Cayuga Avenue'
'Washington Boulevard'
'Bucha Street'
'Chestnut Street'
'Post Street'
'Ortega Way'
'7th Avenue'
'Mission Bay Boulevard North'
'Terry A Francois Boulevard'
'Lincoln Boulevard'
'Lendrum Court'
'9th Avenue'
'Jessie Street'
'Annie Street'
'Grove Street'
'Banneker Way'
'Sansome Street'
'Lake Merced Boulevard'
'Winston Drive'
'26th Street'
'Silver Avenue'
'Palou Avenue'
'26th Avenue'
'Noriega Street'
'Bonview Street'
'Vienna Street'
'Peru Avenue'
'Tunnel Avenue'
'Douglass Street'
'John F Kennedy Drive'
'Visitacion Avenue'
'Pacific Avenue'
'Kate Street'
'Jerrold Avenue'
'Valencia Street'
'Hill Street'
'Marina Boulevard'
'Point Lobos Avenue'
'Ellis Street'
'Alert Alley'
'Landers Street'
'Bryant Street'
'Decatur Street'
'Broderick Street'
'King Street'
'Delmar Street'
'Piedmont Street'
'Ashbury Terrace'
'Thornton Avenue'
'Geary Boulevard'
'Main Street'
'Silliman Street'
'Dartmouth Street'
'Jauss Street'
'Balceta Avenue'
'Woodside Avenue'
'Dicha Alley'
'Wood Street'
'Wiese Street'
'Peabody Street'
'Lopez Avenue'
'Castenada Avenue'
'Judah Street'
'La Salle Avenue'
'Cashmere Street'
'8th Avenue'
'Connecticut Street'
'Flood Avenue'
'Ridgewood Avenue'
'38th Avenue'
'Tennessee Street'
'Hawkins Lane'
'Hudson Avenue'
'Ardath Court'
'Sacramento Street'
'Powell Street'
'Selby Street'
'Oakdale Avenue'
'Industrial Street'
'Waterville Street'
'Bosworth Street'
'Claremont Boulevard'
'Portal Path'
'Portola Drive'
'21st Avenue'
'Bay Area Ridge Trail'
'Marine Drive'
'5th Avenue'
'7th Street'
'Hubbell Street'
'Santa Ana Avenue'
'22nd Avenue'
'Western Shore Lane'
'Music Concourse Drive'
'Green Street'
'Hattie Street'
'25th Avenue'
'Sawyer Street'
'Lake Merced Bike Path'
'Elm Street'
'Spreckels Lake Drive'
'30th Avenue'
'Woolsey Street'
'Miraloma Drive'
'Marne Avenue'
'Taylor Street'
'Middle Drive West'
'Stevenson Street'
'Pond Street'
'Tacoma Street'
'Whitecliff Way'
'Vista View Court'
'Santa Ysabel Avenue'
'Toland Street'
'Herb Caen Way'
'Oak Street'
'The Esplanade'
6
'Hagiwara Tea Garden Drive'
'Grafton Avenue'
'Ashton Avenue'
'San Marcos Avenue'
'Revere Avenue'
'Cayuga Avenue Regent Street'
'Regent Street'
'Arguello Boulevard'
'Lombard Street'
'Stillings Avenue'
'Delano Avenue'
'Bush Street'
'23rd 1 2 Avenue'
'23rd Street'
'Kansas Street'
'Holladay Avenue'
'Pacheco Street'
'Union Street'
'Soule Lane'
'Beideman Street'
'Holloway Avenue'
'Shafter Road'
'Rawles Street'
'Bluxome Alley'
'Turk Boulevard'
'Beaumont Avenue'
'Laurel Street'
'Alameda Street'
'Franklin Street'
'Fratessa Court'
'University Street'
'Olmstead Street'
'North Point Street'
'Castro Street'
'Bemis Street'
'Sussex Street'
'Coastal Trail'
'San Anselmo Avenue'
'Santa Paula Avenue'
'Upper Terrace'
'Salmon Street'
'Lyon Street'
'Bowdoin Street'
'Mansell Street'
'Church Street'
'Fillmore Street'
'Lyell Street'
'Lakeshore Plaza'
'Sloat Boulevard'
'Southern Connector Street'
'33rd Avenue'
'Hamilton Street'
'Bacon Street'
'Brazil Avenue'
'Lisbon Street'
'West Portal Avenue'
'Key Avenue'
'Golden Gate Avenue'
'Central Avenue'
'19th Street'
'Dolores Street'
'12th Avenue'
'Cedro Avenue'
'Moncada Way'
'Ferry Plaza'
'Junipero Serra Boulevard'
'Farragut Avenue'
'Campbell Avenue'
'Morton Street'
'Stratford Drive'
'Banbury Drive'
'Rivera Street'
'10th Avenue'
'West Ridge Trail'
'Edna Street'
'York Street'
'Illinois Street'
'Laidley Street'
'Noe Street'
'Beaver Street'
'Armstrong Avenue'
'Hawes Street'
'Minna Street'
'Baltimore Way'
'Cordova Street'
'Clementina Street'
'The Embarcadero'
'Yosemite Avenue'
'Valerton Court'
'Boardman Place'
'Fargo Place'
'Washington Street'
'Page Street'
'Clearview Court'
'Navajo Avenue'
'Forest Hill Path'
'Dukes Court'
'Presidio Avenue'
'Ruger Street'
'Sherman Road'
'Funston Avenue'
'Harkness Avenue'
'Goettingen Street'
'Tompkins Avenue'
'45th Avenue'
'41st Avenue'
'Arlington Street'
'Channel Street'
'Liberty Street'
'Cambridge Street'
'Great Highway'
'Turk Street'
'Munich Street'
'Persia Avenue'
'Charles J Brenham Place'
'Arthur Avenue'
'Valley Street'
'James Lick Freeway'
'Via Ferlinghetti'
'Detroit Street'
'Mangels Avenue'
'Stanyan Street'
'Frida Kahlo Way'
'Sabin Place'
'Bran Street'
'Joice Street'
'Clay Street'
'Colby Street'
'Felton Street'
'47th Avenue'
'Laguna Honda Boulevard'
'Randall Street'
'Varela Avenue'
'Beulah Street'
'Shrader Street'
'Wyman Avenue'
'Brown Street'
'Fort Funston Road'
'Kelloch Avenue'
'Tingley Street'
'Seacliff Avenue'
'Everglade Drive'
'Evans Avenue'
'Vasquez Avenue'
'Garcia Avenue'
'18th Avenue'
'Fort Mason 13'
'Utah Street'
'South Stadium Drive'
'Lundys Lane'
'Esmeralda Avenue'
'Francisco Street Larkin Street'
'Naglee Avenue'
'Hyde Street'
'Lake Street'
'Girard Road'
'Edie Road'
'McAllister Street'
'Underwood Avenue'
'Fulton Trail'
'Willow Street'
'Brighton Avenue'
'Chabot Terrace'
'Stark Street'
'Harding Road'
'Concord Street'
'Cross Street'
'Science Circle'
'Cloud Circle'
'Argonaut Avenue'
'San Leandro Way'
'Ophir Alley'
'Cosmo Place'
'Jamestown Avenue'
'Amador Street'
'Alta Street'
'Stonecrest Drive'
'China Basin Landing'
'Corbett Avenue'
'Kaplan Lane'
'Mason Street'
'East Beach Road'
'Ulloa Street'
'Sydney Way'
'Ordway Street'
'Diamond Street'
'Hugo Street'
'3rd Avenue'
'Tioga Avenue'
'Girard Street'
'12th Street'
'Treat Way'
'Martha Avenue'
'Amethyst Way'
'Amber Drive'
'Vicksburg Street'
'Montgomery Street'
'Capistrano Avenue'
'Spear Street'
'Mississippi Street'
'Marin Street'
'Harlow Street'
'Park Trail'
'La Playa Street'
'South Hill Boulevard'
'Card Alley'
'Texas Street'
'Wayland Street'
'Kearny Street'
'2nd Street'
'Tehama Street'
'Dorcas Way'
'Bella Vista Way'
'Front Street'
'Yacht Road'
'Charlton Court'
'Fredela Lane'
'Farview Court'
'Morse Street'
'Garage Exit Ramp'
'Edinburgh Street'
'Excelsior Avenue'
'Simonds Loop'
'Treat Avenue'
'Cargo Way'
'Garlington Court'
'Sutter Street'
'Harris Place'
'Burrows Court'
'Winding Way'
'Bluxome Street'
'Parker Avenue'
'Kenwood Way'
'Pinehurst Way'
'35th Avenue'
'Galvez Avenue'
'Madrid Street'
'Wedemeyer Street'
'Pearl Street'
'Pink Alley'
'Cambon Drive'
'Castelo Avenue'
'Grant Avenue'
'Conservatory Drive East'
'Cole Street'
'Juan Bautista Circle'
'Gonzalez Drive'
'25th Street'
'Park Boulevard Trail'
'Font Boulevard'
'Minnesota Street'
'Jones Street'
'Howard Street'
'11th Street'
'Yellow Cab Access Road'
'Trocadero Drive'
'Paul Avenue'
'Crane Street'
'Ventura Avenue'
'Beale Street'
'Alta Mar Way'
'Arballo Drive'
'Higuera Avenue'
'Humboldt Street'
'Kendall Drive'
'Sunview Drive'
'Main Drive'
'Plymouth Avenue'
'Thrift Street'
'Daniel Burnham Court'
'Clipper Street'
'Diamond Heights Boulevard'
'Miguel Street Richland Avenue'
'Bernal Cut Path'
'Richland Avenue'
'Mandalay Lane'
'Austin Street'
