"A302100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 7/6/2022 1:55:44 PM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Output","Workers 16 and Over",
"Alameda County, California","Alameda County, California","Estimate","467,980"
"Alameda County, California","Alameda County, California","Margin of Error","3,995"
"Alameda County, California","Contra Costa County, California","Estimate","41,235"
"Alameda County, California","Contra Costa County, California","Margin of Error","1,316"
"Alameda County, California","Marin County, California","Estimate","4,615"
"Alameda County, California","Marin County, California","Margin of Error","471"
"Alameda County, California","Napa County, California","Estimate","305"
"Alameda County, California","Napa County, California","Margin of Error","92"
"Alameda County, California","San Francisco County, California","Estimate","99,355"
"Alameda County, California","San Francisco County, California","Margin of Error","1,904"
"Alameda County, California","San Joaquin County, California","Estimate","2,460"
"Alameda County, California","San Joaquin County, California","Margin of Error","358"
"Alameda County, California","San Mateo County, California","Estimate","37,275"
"Alameda County, California","San Mateo County, California","Margin of Error","1,301"
"Alameda County, California","Santa Clara County, California","Estimate","73,555"
"Alameda County, California","Santa Clara County, California","Margin of Error","1,955"
"Alameda County, California","Solano County, California","Estimate","1,780"
"Alameda County, California","Solano County, California","Margin of Error","295"
"Alameda County, California","Sonoma County, California","Estimate","985"
"Alameda County, California","Sonoma County, California","Margin of Error","168"
"Contra Costa County, California","Alameda County, California","Estimate","101,605"
"Contra Costa County, California","Alameda County, California","Margin of Error","2,363"
"Contra Costa County, California","Contra Costa County, California","Estimate","289,535"
"Contra Costa County, California","Contra Costa County, California","Margin of Error","3,097"
"Contra Costa County, California","Marin County, California","Estimate","8,570"
"Contra Costa County, California","Marin County, California","Margin of Error","776"
"Contra Costa County, California","Napa County, California","Estimate","1,670"
"Contra Costa County, California","Napa County, California","Margin of Error","295"
"Contra Costa County, California","San Francisco County, California","Estimate","61,090"
"Contra Costa County, California","San Francisco County, California","Margin of Error","1,830"
"Contra Costa County, California","San Joaquin County, California","Estimate","2,140"
"Contra Costa County, California","San Joaquin County, California","Margin of Error","326"
"Contra Costa County, California","San Mateo County, California","Estimate","11,870"
"Contra Costa County, California","San Mateo County, California","Margin of Error","958"
"Contra Costa County, California","Santa Clara County, California","Estimate","14,020"
