"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of households by  number of joint tours within household size","Household size category",2,"Number of joint tours",0,"Share of Households",0.839304022764003
"CHTS","Share of households by  number of joint tours within household size","Household size category",2,"Number of joint tours",1,"Share of Households",0.143136685440732
"CHTS","Share of households by  number of joint tours within household size","Household size category",2,"Number of joint tours",2,"Share of Households",0.0175592917952657
"CHTS","Share of households by  number of joint tours within household size","Household size category",3,"Number of joint tours",0,"Share of Households",0.797792210528476
"CHTS","Share of households by  number of joint tours within household size","Household size category",3,"Number of joint tours",1,"Share of Households",0.17317705682263
"CHTS","Share of households by  number of joint tours within household size","Household size category",3,"Number of joint tours",2,"Share of Households",0.0290307326488943
"CHTS","Share of households by  number of joint tours within household size","Household size category",4,"Number of joint tours",0,"Share of Households",0.721592198676272
"CHTS","Share of households by  number of joint tours within household size","Household size category",4,"Number of joint tours",1,"Share of Households",0.223029151685673
"CHTS","Share of households by  number of joint tours within household size","Household size category",4,"Number of joint tours",2,"Share of Households",0.0553786496380551
"CHTS","Share of households by  number of joint tours within household size","Household size category",5,"Number of joint tours",0,"Share of Households",0.73706563518166
"CHTS","Share of households by  number of joint tours within household size","Household size category",5,"Number of joint tours",1,"Share of Households",0.204666250546227
"CHTS","Share of households by  number of joint tours within household size","Household size category",5,"Number of joint tours",2,"Share of Households",0.0582681142721127
"CHTS","Share of households by  number of joint tours within household size","Household size category",6,"Number of joint tours",0,"Share of Households",0.754634553190806
"CHTS","Share of households by  number of joint tours within household size","Household size category",6,"Number of joint tours",1,"Share of Households",0.211299729104382
"CHTS","Share of households by  number of joint tours within household size","Household size category",6,"Number of joint tours",2,"Share of Households",0.0340657177048123
