"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","1","Number of Tours",206063.492474875
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","2","Number of Tours",150484.841994318
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","3","Number of Tours",34707.6003758001
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","4","Number of Tours",5013.54004902881
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","5","Number of Tours",4443.35426387578
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","6","Number of Tours",1054.83632071477
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","7","Number of Tours",1312.15841804341
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","8","Number of Tours",108.850089559423
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","9","Number of Tours",64.5958862483291
"CHTS","Number of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","11","Number of Tours",108.306412746474
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","1","Number of Tours",32199.3722314365
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","2","Number of Tours",22619.1785024945
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","3","Number of Tours",10166.3968073101
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","4","Number of Tours",658.898634029667
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","5","Number of Tours",149.344030088095
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","6","Number of Tours",182.46415318138
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","7","Number of Tours",1582.36197827592
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","9","Number of Tours",73.0528110453656
"CHTS","Number of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","10","Number of Tours",132.800286208525
"CHTS","Number of At-Work tours by person type and duration","Person Type","University student","Duration in Hours","1","Number of Tours",9719.92646641952
"CHTS","Number of At-Work tours by person type and duration","Person Type","University student","Duration in Hours","2","Number of Tours",7321.97437068909
"CHTS","Number of At-Work tours by person type and duration","Person Type","University student","Duration in Hours","3","Number of Tours",182.46415318138
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","1","Number of Tours",878.671191788752
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","2","Number of Tours",7571.43629165553
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","3","Number of Tours",8352.9007632706
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","4","Number of Tours",6769.24300791385
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","5","Number of Tours",2169.35899774182
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","6","Number of Tours",147.326490304426
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","7","Number of Tours",3676.4410925946
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","8","Number of Tours",636.999757280907
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","12","Number of Tours",71.2911323554804
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","1","Number of Tours",39249.3137343789
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","2","Number of Tours",72076.9834703936
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","3","Number of Tours",77002.9608080453
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","4","Number of Tours",36818.3368400899
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","5","Number of Tours",22222.810384406
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","6","Number of Tours",6828.05908084355
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","7","Number of Tours",6734.34651264834
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","8","Number of Tours",2139.11312979736
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","9","Number of Tours",993.266702332497
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","10","Number of Tours",1379.08366402036
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","11","Number of Tours",1706.92146241101
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","12","Number of Tours",522.973188642125
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","13","Number of Tours",1865.07846853438
"CHTS","Number of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","14","Number of Tours",398.621671982205
