"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Mean commute length","NA","NA","NA","NA","Mean commute length (miles)",12.7569801715156
"CHTS","Mean commute length (exclude intrazonal)","NA","NA","NA","NA","Mean commute length (miles)",12.9282666328657
"CHTS","Mean commute length by person type","Person Type","Driving age student","NA","NA","Mean commute length (miles)",2.87473098271292
"CHTS","Mean commute length by person type","Person Type","Full-time worker","NA","NA","Mean commute length (miles)",13.493251173629
"CHTS","Mean commute length by person type","Person Type","Part-time worker","NA","NA","Mean commute length (miles)",11.4260473494044
"CHTS","Mean commute length by person type","Person Type","University student","NA","NA","Mean commute length (miles)",8.21708461246868
"CHTS","Mean commute length by person type (exclude intrazonal)","Person Type","Driving age student","NA","NA","Mean commute length (miles)",3.13557139933816
"CHTS","Mean commute length by person type (exclude intrazonal)","Person Type","Full-time worker","NA","NA","Mean commute length (miles)",13.6314280342907
"CHTS","Mean commute length by person type (exclude intrazonal)","Person Type","Part-time worker","NA","NA","Mean commute length (miles)",11.6762178472749
"CHTS","Mean commute length by person type (exclude intrazonal)","Person Type","University student","NA","NA","Mean commute length (miles)",8.37989163403994
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Alameda","NA","NA","Mean commute length (miles)",13.2949729323391
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Contra Costa","NA","NA","Mean commute length (miles)",15.2642633327573
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Marin","NA","NA","Mean commute length (miles)",13.817311556746
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Napa","NA","NA","Mean commute length (miles)",13.7132524265227
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","San Francisco","NA","NA","Mean commute length (miles)",9.16982063886349
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","San Mateo","NA","NA","Mean commute length (miles)",11.0867466697518
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Santa Clara","NA","NA","Mean commute length (miles)",12.4203361816105
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Solano","NA","NA","Mean commute length (miles)",18.3481095829446
"CHTS","Mean commute length by residency (exclude intrazonal)","Residency","Sonoma","NA","NA","Mean commute length (miles)",15.1585275206339
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[0-1]","NA","NA","Share of Workers",0.0336458669142597
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[1-2]","NA","NA","Share of Workers",0.0690035534634288
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[2-3]","NA","NA","Share of Workers",0.073123716140393
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[3-4]","NA","NA","Share of Workers",0.0736978058294223
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[4-5]","NA","NA","Share of Workers",0.0510544200803207
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[5-6]","NA","NA","Share of Workers",0.0686108255457401
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[6-7]","NA","NA","Share of Workers",0.0419408739479419
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[7-8]","NA","NA","Share of Workers",0.0504841046318653
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[8-9]","NA","NA","Share of Workers",0.0389769382872242
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[9-10]","NA","NA","Share of Workers",0.0401103497585694
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[10-11]","NA","NA","Share of Workers",0.0354849536651019
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[11-12]","NA","NA","Share of Workers",0.0282558565593506
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[12-13]","NA","NA","Share of Workers",0.0352985608094981
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[13-14]","NA","NA","Share of Workers",0.0294432474082679
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[14-15]","NA","NA","Share of Workers",0.0263975273535834
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[15-16]","NA","NA","Share of Workers",0.0219749955361962
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[16-17]","NA","NA","Share of Workers",0.0182502524934133
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[17-18]","NA","NA","Share of Workers",0.0136611241049293
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[18-19]","NA","NA","Share of Workers",0.0195389792411157
"CHTS","Share of commute length by distance bin (exclude intrazonal)","Distance Bin (miles)","[19-20]","NA","NA","Share of Workers",0.0176117137158877
