N,ExtTAZ
1,1457
2,1457
3,1460
4,1460
5,1460
6,1460
7,1460
8,1460
9,1460
10,1460
11,1460
12,1462
13,1462
14,1462
15,1462
16,1462
17,1462
18,1462
19,1467
20,1467
21,1467
22,1468
23,1468
24,1468
25,1468
26,1468
27,1468
28,1468
29,1468
30,1468
31,1468
32,1468
33,1468
34,1468
35,1468
36,1468
37,1468
38,1468
39,1468
40,1468
41,1468
42,1468
43,1468
44,1468
45,1468
46,1468
47,1468
48,1468
123,1467
124,1467
126,1467
127,1467
128,1467
129,1467
130,1467
133,1460
134,1462
135,1462
136,1462
138,1467
139,1467
140,1467
141,1467
142,1467
144,1460
145,1460
146,1460
147,1460
187,1457
188,1457
189,1457
191,1462
192,1462
193,1462
194,1462
195,1462
196,1462
197,1462
198,1462
199,1462
200,1462
201,1462
244,1460
245,1460
246,1460
248,1457
249,1460
250,1457
251,1457
252,1457
253,1457
254,1457
255,1457
256,1457
257,1457
258,1457
259,1457
260,1457
261,1457
262,1457
264,1468
265,1468
266,1468
267,1468
268,1468
269,1468
270,1468
271,1468
272,1468
273,1468
274,1468
277,1468
278,1468
279,1468
280,1468
281,1468
323,1457
324,1457
325,1458
327,1460
328,1462
329,1462
330,1462
331,1462
337,1468
338,1468
339,1468
340,1468
341,1468
342,1468
343,1468
344,1468
346,1468
347,1468
348,1468
353,1468
354,1468
355,1468
356,1468
358,1468
359,1468
367,1468
368,1468
370,1468
371,1468
373,1468
375,1468
376,1468
378,1468
389,1468
391,1468
392,1468
393,1468
395,1468
396,1468
397,1468
398,1468
399,1468
400,1468
401,1468
402,1468
403,1468
404,1468
405,1468
406,1468
407,1468
408,1468
409,1468
410,1468
411,1468
412,1468
413,1468
414,1468
415,1468
418,1468
419,1468
420,1468
421,1468
422,1468
423,1468
424,1468
425,1468
426,1468
439,1468
440,1468
441,1468
442,1468
443,1468
444,1468
445,1468
446,1468
447,1468
448,1468
449,1468
450,1468
451,1468
452,1468
455,1468
456,1468
457,1468
458,1468
459,1468
460,1468
461,1468
462,1468
463,1468
464,1468
465,1468
466,1468
471,1468
472,1468
507,1468
508,1468
509,1468
510,1468
511,1468
512,1468
517,1468
518,1468
519,1468
520,1468
521,1468
522,1468
523,1468
524,1468
525,1468
526,1468
527,1468
528,1468
529,1468
530,1468
531,1468
532,1468
533,1468
534,1468
535,1468
536,1468
537,1468
538,1468
539,1468
540,1468
541,1468
542,1468
543,1468
544,1468
545,1468
546,1468
547,1468
548,1468
549,1468
550,1468
556,1468
557,1468
558,1468
559,1468
560,1468
565,1468
566,1468
567,1468
568,1468
569,1468
570,1468
571,1468
575,1468
576,1468
580,1468
581,1468
582,1468
583,1468
584,1468
585,1468
586,1468
587,1468
588,1468
589,1468
590,1468
591,1468
592,1468
593,1468
594,1468
595,1468
596,1468
597,1468
598,1468
599,1468
600,1468
601,1468
602,1468
603,1468
604,1468
605,1468
606,1468
607,1468
608,1468
610,1468
611,1468
612,1468
613,1468
614,1468
615,1468
616,1468
617,1468
618,1468
619,1468
620,1468
621,1468
622,1468
623,1468
624,1468
625,1468
632,1468
633,1468
634,1468
635,1468
636,1468
637,1468
638,1468
639,1468
640,1468
641,1468
642,1468
643,1468
644,1468
646,1468
649,1468
650,1468
652,1468
653,1468
654,1468
662,1468
670,1468
671,1468
672,1468
673,1468
674,1468
675,1468
676,1468
677,1468
678,1468
679,1468
680,1468
681,1468
682,1468
683,1468
684,1468
685,1468
686,1468
687,1468
688,1468
689,1468
690,1468
691,1468
692,1468
693,1468
694,1468
695,1468
696,1468
697,1468
698,1468
699,1468
700,1468
701,1468
702,1468
703,1468
704,1468
705,1468
706,1468
707,1468
708,1468
709,1468
710,1468
711,1468
712,1468
713,1468
714,1468
744,1468
745,1468
746,1468
748,1457
749,1456
750,1456
751,1455
752,1457
753,1457
754,1457
755,1457
756,1457
770,1460
771,1460
772,1460
773,1460
775,1467
776,1468
778,1471
779,1471
780,1471
781,1471
782,1471
783,1472
784,1471
785,1471
786,1471
787,1471
788,1471
789,1471
790,1471
791,1471
792,1471
793,1471
794,1471
795,1471
796,1471
797,1471
809,1462
810,1462
811,1468
812,1468
813,1468
814,1468
815,1468
816,1468
818,1468
819,1468
820,1468
821,1468
822,1468
823,1468
824,1468
825,1468
826,1468
829,1468
839,1468
841,1468
842,1468
843,1468
844,1468
845,1468
846,1468
847,1468
848,1468
849,1468
851,1468
854,1468
855,1468
857,1468
858,1468
859,1468
860,1468
861,1468
864,1468
865,1468
870,1468
871,1468
872,1468
873,1468
874,1468
875,1468
877,1468
879,1468
880,1462
881,1462
882,1462
883,1462
884,1462
885,1462
886,1462
887,1462
888,1462
889,1462
891,1462
892,1462
893,1462
894,1462
896,1468
897,1468
898,1468
899,1468
900,1468
901,1468
902,1468
903,1468
904,1468
906,1468
907,1468
908,1468
909,1468
910,1468
911,1468
912,1468
913,1468
914,1468
915,1468
916,1468
917,1468
918,1468
919,1468
920,1468
922,1468
923,1468
924,1468
925,1468
926,1468
927,1468
928,1468
929,1468
936,1468
941,1468
942,1468
944,1468
945,1468
946,1468
947,1468
948,1468
949,1468
950,1468
952,1468
953,1468
954,1468
955,1468
956,1468
957,1468
959,1468
960,1468
961,1468
962,1468
963,1468
964,1468
965,1468
966,1468
971,1468
972,1463
973,1461
974,1462
975,1462
976,1462
977,1462
978,1462
979,1462
980,1462
981,1462
982,1462
983,1462
984,1462
985,1462
986,1462
987,1462
988,1462
989,1462
990,1462
991,1462
992,1462
993,1462
994,1462
995,1462
996,1462
997,1462
998,1462
1000,1462
1001,1462
1004,1462
1005,1462
1006,1462
1007,1462
1008,1462
1009,1462
1010,1462
1011,1462
1012,1462
1013,1462
1014,1462
1015,1462
1016,1462
1017,1462
1018,1462
1019,1462
1020,1462
1021,1462
1022,1462
1023,1462
1024,1462
1025,1462
1026,1462
1027,1462
1028,1463
1029,1463
1030,1463
1034,1471
1035,1470
1036,1471
1040,1468
1041,1468
1042,1468
1043,1468
1044,1468
1047,1468
1048,1468
1049,1468
1051,1468
1052,1468
1053,1468
1054,1468
1055,1468
1056,1468
1057,1468
1058,1468
1061,1468
1062,1468
1063,1468
1064,1468
1065,1468
1066,1468
1067,1468
1068,1468
1069,1468
1070,1468
1076,1468
1077,1468
1078,1468
1079,1468
1080,1468
1081,1468
1082,1468
1083,1468
1084,1468
1085,1468
1086,1468
1095,1468
1096,1468
1097,1468
1098,1468
1099,1468
1100,1468
1101,1468
1102,1468
1103,1468
1104,1468
1105,1468
1106,1468
1107,1468
1108,1468
1109,1468
1114,1468
1115,1468
1116,1468
1117,1468
1119,1468
1122,1468
1123,1468
1124,1468
1126,1468
1127,1468
1128,1468
1129,1468
1132,1468
1133,1468
1135,1468
1136,1468
1137,1468
1138,1468
1139,1468
1140,1468
1142,1468
1143,1468
1144,1468
1145,1468
1146,1468
1147,1468
1148,1468
1149,1468
1150,1468
1151,1468
1152,1468
1153,1468
1154,1468
1155,1468
1156,1468
1157,1468
1158,1468
1159,1468
1160,1468
1161,1468
1162,1468
1163,1468
1164,1468
1166,1468
1167,1468
1168,1468
1169,1468
1170,1468
1171,1468
1172,1468
1174,1468
1175,1468
1176,1468
1178,1468
1179,1468
1180,1468
1181,1468
1182,1468
1183,1468
1184,1468
1185,1468
1186,1468
1187,1468
1188,1468
1189,1468
1190,1468
1191,1468
1192,1468
1193,1468
1194,1468
1195,1468
1196,1468
1197,1468
1198,1468
1199,1468
1200,1468
1201,1468
1202,1468
1204,1468
1205,1468
1206,1468
1207,1468
1208,1468
1209,1468
1210,1468
1211,1468
1212,1468
1214,1468
1215,1468
1216,1468
1217,1468
1218,1468
1219,1468
1220,1468
1222,1468
1223,1468
1224,1468
1225,1468
1226,1468
1227,1468
1228,1468
1229,1468
1230,1468
1231,1468
1232,1468
1233,1468
1234,1468
1317,1471
1318,1471
1319,1471
1320,1471
1321,1471
1322,1471
1323,1471
1324,1471
1362,1471
1363,1471
1364,1471
1365,1471
1366,1471
1367,1471
1368,1471
1369,1471
1370,1468
1371,1471
1372,1471
1373,1471
1374,1471
1375,1471
1376,1471
1377,1471
1378,1471
1379,1471
1446,1473
1447,1473
1448,1473
1449,1473
1450,1473
1451,1472
1454,1460
1455,1460
1456,1460
1457,1460
1458,1460
1459,1460
1460,1460
1462,1460
1463,1460
1464,1460
1465,1460
1466,1460
1467,1460
1468,1462
1469,1462
1471,1460
1472,1460
1473,1460
1474,1460
1475,1460
1476,1460
1477,1460
1478,1460
1479,1460
1480,1460
1481,1460
1527,1462
1528,1462
1529,1460
1530,1462
1531,1462
1532,1462
1533,1462
1534,1462
1536,1460
1537,1460
1538,1460
1539,1460
1540,1460
1542,1460
1543,1460
1544,1460
1545,1460
1546,1460
1565,1467
1566,1467
1567,1467
1568,1467
1569,1467
1573,1468
1574,1468
1575,1468
1576,1468
1577,1468
1578,1468
1579,1468
1580,1468
1581,1468
1582,1468
1583,1468
1584,1468
1585,1468
1586,1468
1587,1468
1588,1468
1589,1468
1590,1468
1591,1468
1592,1468
1594,1468
1595,1468
1596,1468
1597,1468
1598,1468
1599,1468
1600,1468
1601,1468
1602,1468
1603,1468
1604,1468
1605,1468
1606,1468
1607,1468
1608,1468
1609,1468
1610,1468
1611,1468
1612,1468
1614,1468
1615,1468
1616,1468
1617,1468
1618,1468
1619,1468
1620,1468
1621,1468
1622,1468
1623,1468
1624,1468
1625,1468
1626,1468
1627,1468
1629,1460
1630,1461
1631,1460
1632,1461
1633,1460
1634,1461
1635,1462
1636,1462
1637,1463
1639,1462
1640,1462
1641,1462
1642,1462
1643,1462
1644,1462
1645,1462
1646,1462
1650,1462
1651,1462
1652,1462
1654,1461
1655,1461
1656,1462
1657,1462
1658,1462
1659,1462
1660,1462
1661,1462
1662,1462
1663,1462
1664,1462
1665,1462
1666,1462
1667,1462
1668,1462
1669,1462
1670,1462
1671,1462
1672,1462
1673,1462
1674,1462
1675,1462
1676,1462
1677,1462
1678,1462
1679,1462
1680,1462
1681,1462
1682,1462
1683,1462
1685,1462
1686,1462
1687,1462
1688,1462
1689,1462
1690,1462
1691,1462
1692,1462
1694,1462
1695,1462
1696,1462
1697,1462
1698,1462
1699,1462
1700,1462
1701,1462
1702,1462
1703,1462
1704,1462
1705,1462
1706,1462
1707,1462
1708,1462
1709,1462
1710,1462
1711,1462
1712,1462
1713,1462
1714,1462
1715,1461
1716,1461
1717,1462
1718,1462
1719,1462
1721,1460
1722,1460
1723,1457
1724,1457
1725,1457
1726,1456
1727,1456
1728,1455
1729,1457
1730,1457
1731,1457
1732,1457
1733,1458
1735,1458
1736,1458
1737,1460
1738,1462
1739,1462
1740,1462
1741,1462
1742,1462
1743,1472
1744,1471
1745,1471
1746,1471
1747,1471
1748,1471
1749,1471
1750,1471
1751,1471
1752,1471
1753,1471
1754,1471
1755,1471
1756,1471
1757,1471
1758,1471
1759,1471
1760,1471
1761,1471
1762,1471
1852,1468
1853,1468
1856,1468
1857,1468
1858,1468
1859,1468
1861,1468
1862,1468
1863,1468
1864,1468
1866,1468
1867,1468
1868,1468
1869,1468
1870,1468
1871,1468
1872,1468
1873,1468
1874,1468
1875,1468
1876,1468
1877,1468
1878,1468
1879,1468
1880,1468
1881,1468
1882,1468
1883,1468
1884,1468
1885,1468
1886,1468
1887,1468
1888,1468
1889,1468
1890,1468
1891,1468
1892,1468
1893,1468
1894,1468
1895,1468
1896,1468
1897,1468
1898,1468
1899,1468
1900,1468
1901,1468
1902,1468
1903,1468
1904,1468
1905,1468
1906,1468
1907,1468
1908,1468
1909,1468
1910,1468
1911,1468
1912,1468
1913,1468
1914,1468
1915,1468
1916,1468
1917,1468
1918,1468
1919,1468
1920,1468
1921,1468
1922,1468
1923,1468
1924,1468
1925,1468
1926,1468
1927,1468
1928,1468
1929,1468
1930,1468
1931,1468
1932,1468
1933,1468
1934,1468
1935,1468
1937,1468
1938,1468
1939,1468
1940,1468
1941,1468
1942,1468
1943,1468
1944,1468
1945,1468
1946,1468
1947,1468
1948,1468
1949,1468
1950,1468
1951,1468
1953,1468
1954,1468
1955,1468
1956,1468
1957,1468
1958,1468
1963,1468
1964,1468
1965,1468
1966,1468
1967,1468
1968,1468
1969,1468
1970,1468
1971,1468
1972,1468
1973,1468
1974,1468
1975,1468
1976,1468
1977,1468
1978,1468
1979,1468
1981,1468
1982,1468
1983,1468
1986,1468
1987,1468
1988,1468
1989,1468
1990,1468
1991,1468
1992,1468
1993,1468
1994,1468
1995,1468
1996,1468
1997,1468
1998,1468
1999,1468
2000,1468
2001,1468
2002,1468
2003,1468
2004,1468
2005,1468
2006,1468
2007,1468
2013,1468
2015,1468
2016,1468
2017,1468
2018,1468
2019,1468
2020,1468
2021,1468
2022,1468
2023,1468
2024,1468
2025,1468
2026,1468
2027,1468
2028,1468
2029,1468
2030,1468
2031,1468
2032,1468
2033,1468
2034,1468
2035,1468
2036,1468
2037,1468
2038,1468
2039,1468
2040,1468
2041,1468
2042,1468
2043,1468
2044,1468
2045,1468
2046,1468
2047,1468
2048,1468
2049,1468
2051,1468
2052,1468
2053,1468
2054,1468
2055,1468
2056,1468
2057,1468
2058,1468
2060,1468
2062,1468
2064,1468
2065,1468
2066,1468
2067,1468
2069,1468
2070,1468
2071,1468
2072,1468
2073,1468
2074,1468
2075,1468
2076,1468
2077,1468
2078,1468
2079,1468
2081,1468
2082,1468
2083,1468
2085,1468
2086,1468
2087,1468
2088,1468
2089,1468
2090,1468
2091,1468
2092,1468
2093,1468
2094,1468
2096,1468
2101,1468
2102,1468
2103,1468
2104,1468
2105,1468
2107,1468
2109,1468
2110,1468
2113,1468
2114,1468
2115,1468
2116,1468
2117,1468
2118,1468
2119,1468
2121,1468
2122,1468
2123,1468
2124,1468
2125,1468
2126,1468
2127,1468
2128,1468
2129,1468
2130,1468
2131,1468
2132,1468
2133,1468
2134,1468
2136,1468
2137,1468
2138,1468
2139,1468
2140,1468
2141,1468
2142,1468
2144,1468
2145,1468
2146,1468
2147,1468
2150,1468
2151,1468
2152,1468
2153,1468
2154,1468
2155,1468
2156,1468
2157,1468
2158,1468
2159,1468
2160,1468
2161,1468
2162,1468
2163,1468
2164,1468
2165,1468
2166,1468
2167,1468
2168,1468
2170,1468
2171,1468
2172,1468
2173,1468
2175,1468
2176,1468
2177,1468
2178,1468
2179,1463
2180,1467
2181,1463
2182,1463
2183,1463
2184,1463
2185,1463
2186,1463
2187,1463
2188,1463
2189,1463
2190,1463
2191,1463
2192,1463
2194,1467
2195,1467
2196,1467
2197,1467
2198,1467
2199,1467
2200,1467
2201,1467
2202,1467
2203,1467
2204,1467
2205,1467
2206,1467
2207,1467
2208,1467
2209,1467
2211,1467
2212,1467
2213,1467
2214,1467
2216,1467
2217,1467
2219,1467
2222,1468
2223,1467
2224,1467
2225,1467
2226,1468
2227,1467
2228,1467
2229,1467
2230,1467
2231,1467
2232,1463
2233,1463
2235,1465
2236,1467
2237,1467
2238,1467
2239,1467
2240,1467
2241,1467
2242,1467
2243,1467
2244,1467
2245,1467
2246,1467
2247,1467
2248,1467
2249,1467
2250,1467
2251,1467
2252,1467
2253,1467
2254,1467
2255,1467
2256,1467
2257,1467
2258,1467
2259,1467
2260,1467
2261,1467
2262,1467
2263,1467
2264,1467
2265,1467
2266,1467
2267,1467
2268,1467
2269,1467
2270,1467
2271,1467
2272,1467
2273,1467
2274,1467
2275,1467
2276,1467
2277,1467
2278,1467
2279,1467
2280,1467
2281,1467
2283,1467
2284,1468
2285,1467
2286,1468
2287,1468
2288,1468
2289,1468
2290,1468
2291,1468
2292,1468
2293,1468
2294,1468
2295,1468
2296,1468
2297,1468
2298,1468
2299,1468
2300,1468
2301,1468
2302,1468
2303,1468
2304,1467
2305,1468
2306,1468
2307,1468
2308,1468
2309,1468
2310,1468
2311,1468
2312,1468
2313,1468
2314,1468
2315,1468
2316,1468
2317,1468
2318,1467
2319,1468
2320,1468
2321,1468
2322,1468
2323,1468
2324,1468
2325,1468
2326,1468
2327,1468
2328,1468
2329,1468
2330,1468
2331,1468
2332,1468
2333,1468
2334,1468
2335,1468
2336,1468
2337,1468
2338,1468
2339,1468
2340,1468
2341,1468
2342,1468
2343,1468
2344,1468
2345,1468
2346,1468
2347,1468
2348,1468
2349,1468
2350,1468
2351,1468
2352,1468
2353,1468
2354,1468
2355,1468
2356,1468
2358,1468
2359,1468
2360,1468
2361,1468
2362,1468
2363,1468
2364,1468
2365,1468
2366,1468
2367,1468
2368,1468
2369,1468
2370,1468
2371,1468
2372,1468
2373,1468
2374,1468
2375,1468
2376,1468
2377,1468
2378,1468
2379,1468
2380,1468
2381,1468
2382,1468
2383,1468
2384,1468
2385,1468
2386,1468
2387,1468
2388,1468
2389,1468
2391,1468
2392,1468
2393,1468
2394,1468
2395,1468
2396,1468
2397,1468
2398,1468
2399,1468
2400,1468
2401,1468
2402,1468
2403,1468
2404,1468
2405,1468
2406,1468
2407,1468
2408,1468
2409,1468
2410,1468
2411,1468
2412,1468
2413,1468
2414,1468
3001,
3002,
3003,
3004,
3005,
3006,
3007,
3008,
3009,
3010,
3011,
3012,
3013,
3014,
3015,
3016,
3017,
3018,
3019,
3020,
3021,
3022,
3023,
3024,
3025,
3026,
3027,
3028,
3029,
3030,
3031,
3032,
3033,
3034,
3035,
3036,
3037,
3038,
3039,
3040,
3041,
3042,
3043,
3044,
3045,
3046,
3047,
3048,
3049,
3050,
3051,
3052,
3053,
3054,
3055,
3056,
3057,
3058,
3059,
3060,
3061,
3062,
3063,
3064,
3065,
3066,
3067,
3068,
3069,
3070,
3071,
3072,
3073,
3074,
3075,
3076,
3077,
3078,
3079,
3080,
3081,
3082,
3083,
3084,
3085,
3086,
3087,
3088,
3089,
3090,
3091,
3092,
3093,
3094,
3095,
3096,
3097,
3098,
3099,
3100,
3101,
3102,
3103,
3104,
3105,
3106,
3107,
3108,
3109,
3110,
3111,
3112,
3113,
3114,
3115,
3116,
3117,
3118,
3119,
3120,
3121,
3122,
3123,
3124,
3125,
3126,
3127,
3128,
3129,
3130,
3131,
3132,
3133,
3134,
3135,
3136,
3137,
3138,
3139,
3140,
3141,
3142,
3143,
3144,
3145,
3146,
3147,
3148,
3149,
3150,
3151,
3152,
3153,
3154,
3155,
3156,
3157,
3158,
3159,
3160,
3161,
3162,
3163,
3164,
3165,
3166,
3167,
3168,
3169,
3170,
3171,
3172,
3173,
3174,
3175,
3176,
3177,
3178,
3179,
3180,
3181,
3182,
3183,
3184,
3185,
3186,
3187,
3188,
3189,
3190,
3191,
3192,
3193,
3194,
3195,
3196,
3197,
3198,
3199,
3200,
3201,
3202,
3203,
3204,
3205,
3206,
3207,
3208,
3209,
3210,
3211,
3212,
3213,
3214,
3215,
3216,
3217,
3218,
3219,
3220,
3221,
3222,
3223,
3224,
3225,
3226,
3227,
3228,
3229,
3230,
3231,
3232,
3233,
3234,
3235,
3236,
3237,
3238,
3239,
3240,
3241,
3242,
3243,
3244,
3245,
3246,
3247,
3248,
3249,
3250,
3251,
3252,
3253,
3254,
3255,
3256,
3257,
3258,
3259,
3260,
3261,
3262,
3263,
3264,
3265,
3266,
3267,
3268,
3269,
3270,
3271,
3272,
3273,
3274,
3275,
3276,
3277,
3278,
3279,
3280,
3281,
3282,
3283,
3284,
3285,
3286,
3287,
3288,
3289,
3290,
3291,
3292,
3293,
3294,
3295,
3296,
3297,
3298,
3299,
3300,
3301,
3302,
3303,
3304,
3305,
3306,
3307,
3308,
3309,
3310,
3311,
3312,
3313,
3314,
3315,
3316,
3317,
3318,
3319,
3320,
3321,
3322,
3323,
3324,
3325,
3326,
3327,
3328,
3329,
3330,
3331,
3332,
3333,
3334,
3335,
3336,
3337,
3338,
3339,
3340,
3341,
3342,
3343,
3344,
3345,
3346,
3347,
3348,
3349,
3350,
3351,
3352,
3353,
3354,
3355,
3356,
3357,
3358,
3359,
3360,
3361,
3362,
3363,
3364,
3365,
3366,
3367,
3368,
3369,
3370,
3371,
3372,
3373,
3374,
3375,
3376,
3377,
3378,
3379,
3380,
3381,
3382,
3383,
3384,
3385,
3386,
3387,
3388,
3389,
3390,
3391,
3392,
3393,
3394,
3395,
3396,
3397,
3398,
3399,
3400,
3401,
3402,
3403,
3404,
3405,
3406,
3407,
3408,
3409,
3410,
3411,
3412,
3413,
3414,
3415,
3416,
3417,
3418,
3419,
3420,
3421,
3422,
3423,
3424,
3425,
3426,
3427,
3428,
3429,
3430,
3431,
3432,
3433,
3434,
3435,
3436,
3437,
3438,
3439,
3440,
3441,
3442,
3443,
3444,
3445,
3446,
3447,
3448,
3449,
3450,
3451,
3452,
3453,
3454,
3455,
3456,
3457,
3458,
3459,
3460,
3461,
3462,
3463,
3464,
3465,
3466,
3467,
3468,
3469,
3470,
3471,
3472,
3473,
3474,
3475,
3476,
3477,
3478,
3479,
3480,
3481,
3482,
3483,
3484,
3485,
3486,
3487,
3488,
3489,
3490,
3491,
3492,
3493,
3494,
3495,
3496,
3497,
3498,
3499,
3500,
3501,
3502,
3503,
3504,
3505,
3506,
3507,
3508,
3509,
3510,
3511,
3512,
3513,
3514,
3515,
3516,
3517,
3518,
3519,
3520,
3521,
3522,
3523,
3524,
3525,
3526,
3527,
3528,
3529,
3530,
3531,
3532,
3533,
3534,
3535,
3536,
3537,
3538,
3539,
3540,
3541,
3542,
3543,
3544,
3545,
3546,
3547,
3548,
3549,
3550,
3551,
3552,
3553,
3554,
3555,
3556,
3557,
3558,
3559,
3560,
3561,
3562,
3563,
3564,
3565,
3566,
3567,
3568,
3569,
3570,
3571,
3572,
3573,
3574,
3575,
3576,
3577,
3578,
3579,
3580,
3581,
3582,
3583,
3584,
3585,
3586,
3587,
3588,
3589,
3590,
3591,
3592,
3593,
3594,
3595,
3596,
3597,
3598,
3599,
3600,
3601,
3602,
3603,
3604,
3605,
3606,
3607,
3608,
3609,
3610,
3611,
3612,
3613,
3614,
3615,
3616,
3617,
3618,
3619,
3620,
3621,
3622,
3623,
3624,
3625,
3626,
3627,
3628,
3629,
3630,
3631,
3632,
3633,
3634,
3635,
3636,
3637,
3638,
3639,
3640,
3641,
3642,
3643,
3644,
3645,
3646,
3647,
3648,
3649,
3650,
3651,
3652,
3653,
3654,
3655,
3656,
3657,
3658,
3659,
3660,
3661,
3662,
3663,
3664,
3665,
3666,
3667,
3668,
3669,
3670,
3671,
3672,
3673,
3674,
3675,
3676,
3677,
3678,
3679,
3680,
3681,
3682,
3683,
3684,
3685,
3686,
3687,
3688,
3689,
3690,
3691,
3692,
3693,
3694,
3695,
3696,
3697,
3698,
3699,
3700,
3701,
3702,
3703,
3704,
3705,
3706,
3707,
3708,
3709,
3710,
3711,
3712,
3713,
3714,
3715,
3716,
3717,
3718,
3719,
3720,
3721,
3722,
3723,
3724,
3725,
3726,
3727,
3728,
3729,
3730,
3731,
3732,
3733,
3734,
3735,
3736,
3737,
3738,
3739,
3740,
3741,
3742,
3743,
3744,
3745,
3746,
3747,
3748,
3749,
3750,
3751,
3752,
3753,
3754,
3755,
3756,
3757,
3758,
3759,
3760,
3761,
3762,
3763,
3764,
3765,
3766,
3767,
3768,
3769,
3770,
3771,
3772,
3773,
3774,
3775,
3776,
3777,
3778,
3779,
3780,
3781,
3782,
3783,
3784,
3785,
3786,
3787,
3788,
3789,
3790,
3791,
3792,
3793,
3794,
3795,
3796,
3797,
3798,
3799,
3800,
3801,
3802,
3803,
3804,
3805,
3806,
3807,
3808,
3809,
3810,
3811,
3812,
3813,
3814,
3815,
3816,
3817,
3818,
3819,
3820,
3821,
3822,
3823,
3824,
3825,
3826,
3827,
3828,
3829,
3830,
3831,
3832,
3833,
3834,
3835,
3836,
3837,
3838,
3839,
3840,
3841,
3842,
3843,
3844,
3845,
3846,
3847,
3848,
3849,
3850,
3851,
3852,
3853,
3854,
3855,
3856,
3857,
3858,
3859,
3860,
3861,
3862,
3863,
3864,
3865,
3866,
3867,
3868,
3869,
3870,
3871,
3872,
3873,
3874,
3875,
3876,
3877,
3878,
3879,
3880,
3881,
3882,
3883,
3884,
3885,
3886,
3887,
3888,
3889,
3890,
3891,
3892,
3893,
3894,
3895,
3896,
3897,
3898,
3899,
3900,
3901,
3902,
3903,
3904,
3905,
3906,
3907,
3908,
3909,
3910,
3911,
3912,
3913,
3914,
3915,
3916,
3917,
3918,
3919,
3920,
3921,
3922,
3923,
3924,
3925,
3926,
3927,
3928,
3929,
3930,
3931,
3932,
3933,
3934,
3935,
3936,
3937,
3938,
3939,
3940,
3941,
3942,
3943,
3944,
3945,
3946,
3947,
3948,
3949,
3950,
3951,
3952,
3953,
3954,
3955,
3956,
3957,
3958,
3959,
3960,
3961,
3962,
3963,
3964,
3965,
3966,
3967,
3968,
3969,
3970,
3971,
3972,
3973,
3974,
3975,
3976,
3977,
3978,
3979,
3980,
3981,
3982,
3983,
3984,
3985,
3986,
3987,
3988,
3989,
3990,
3991,
3992,
3993,
3994,
3995,
3996,
3997,
3998,
3999,
4000,
4001,
4002,
4003,
4004,
4005,
4006,
4007,
4008,
4009,
4010,
4011,
4012,
4013,
4014,
4015,
4016,
4017,
4018,
4019,
4020,
4021,
4022,
4023,
4024,
4025,
4026,
4027,
4028,
4029,
4030,
4031,
4032,
4033,
4034,
4035,
4036,
4037,
4038,
4039,
4040,
4041,
4042,
4043,
4044,
4045,
4046,
4047,
4048,
4049,
4050,
4051,
4052,
4053,
4054,
4055,
4056,
4057,
4058,
4059,
4060,
4061,
4062,
4063,
4064,
4065,
4066,
4067,
4068,
4069,
4070,
4071,
4072,
4073,
4074,
4075,
4076,
4077,
4078,
4079,
4080,
4081,
4082,
4083,
4084,
4085,
4086,
4087,
4088,
4089,
4090,
4091,
4092,
4093,
4094,
4095,
4096,
4097,
4098,
4099,
4100,
4101,
4102,
4103,
4104,
4105,
4106,
4107,
4108,
4109,
4110,
4111,
4112,
4113,
4114,
4115,
4116,
4117,
4118,
4119,
4120,
4121,
4122,
4123,
4124,
4125,
4126,
4127,
4128,
4129,
4130,
4131,
4132,
4133,
4134,
4135,
4136,
4137,
4138,
4139,
4140,
4141,
4142,
4143,
4144,
4145,
4146,
4147,
4148,
4149,
4150,
4151,
4152,
4153,
4154,
4155,
4156,
4157,
4158,
4159,
4160,
4161,
4162,
4163,
4164,
4165,
4166,
4167,
4168,
4169,
4170,
4171,
4172,
4173,
4174,
4175,
4176,
4177,
4178,
4179,
4180,
4181,
4182,
4183,
4184,
4185,
4186,
4187,
4188,
