ZONE,RES_UNITS,TOTHH,TOTEMP
1,61,25,14412
2,152,135,23181
3,294,270,2095
4,174,58,16507
5,735,524,16588
6,2406,2194,3015
7,4174,3657,9670
8,4855,4261,3313
9,5451,4952,8927
10,2506,1791,7241
11,2762,2508,10068
12,984,810,12714
13,8,6,14565
14,422,133,21127
15,319,269,10374
16,2392,1933,18704
17,4130,3634,7243
18,1124,1048,4919
19,471,451,5800
20,1761,1619,4337
21,3143,2793,11261
22,1389,1172,10747
23,596,510,7270
24,668,618,14720
25,1683,1517,1935
26,800,695,4073
27,1675,1527,1604
28,2331,1858,1171
29,3692,3095,1283
30,4539,4181,1377
31,2796,2546,1747
32,3388,3073,3609
33,2714,2475,1034
34,2857,2595,991
35,2719,2338,359
36,3193,2937,4838
37,2137,1874,2244
38,2865,2461,928
39,2341,2026,1052
40,2957,2533,2219
41,2267,2090,8917
42,786,656,952
43,3564,3220,1216
44,3923,3596,2056
45,2712,2442,2100
46,4391,3971,1536
47,1857,1622,6303
48,2180,1979,702
49,2590,2260,1000
50,2629,2363,2563
51,2278,2098,805
52,1160,1110,4352
53,53,49,1393
54,2893,2670,991
55,1631,1508,194
56,68,62,2763
57,1008,934,293
58,2576,2352,644
59,3387,3131,945
60,1667,1554,164
61,2017,1867,544
62,3405,3092,1231
63,2338,2173,520
64,2980,2735,504
65,2559,2352,1509
66,2022,1863,1429
67,2290,2150,921
68,1400,1272,282
69,2846,2657,9077
70,3063,2818,2287
71,2090,1887,4710
72,1051,957,1088
73,2624,2430,2137
74,2441,2176,3085
75,1904,1655,3927
76,1847,1633,2791
77,2413,2285,2521
78,2873,2756,1072
79,1742,1594,11321
80,2185,2047,273
81,3634,3438,1554
82,1756,1618,2519
83,2332,2125,258
84,2448,2277,513
85,1951,1811,1183
86,3278,3065,721
87,2483,2344,2161
88,2668,2480,1592
89,3703,3415,1012
90,2157,1996,20516
91,2338,2203,427
92,1056,1006,159
93,4346,4000,1089
94,1397,1325,955
95,1505,1396,419
96,1258,1171,183
97,1770,1619,577
98,2039,1863,364
99,2140,2005,651
100,1899,1742,2378
101,2718,2543,2464
102,2884,2718,1197
103,2807,2594,835
104,1750,1632,1127
105,3390,3228,1560
106,3303,2948,39214
107,801,744,8591
108,452,437,3652
109,3653,3326,8381
110,646,618,1568
111,944,815,3288
112,1052,981,1018
113,2532,2338,537
114,1737,1627,1025
115,630,593,371
116,1971,1850,3099
117,1606,1531,302
118,1500,1410,505
119,839,802,287
120,1168,1119,451
121,1356,1268,544
122,2264,2132,487
