"NAME","C24010_005E","C24010_006E","C24010_007E","C24010_012E","C24010_013E","C24010_014E","C24010_015E","C24010_016E","C24010_020E","C24010_022E","C24010_023E","C24010_024E","C24010_025E","C24010_026E","C24010_028E","C24010_029E","C24010_030E","C24010_034E","C24010_041E","C24010_042E","C24010_043E","C24010_048E","C24010_049E","C24010_050E","C24010_051E","C24010_052E","C24010_056E","C24010_058E","C24010_059E","C24010_060E","C24010_061E","C24010_062E","C24010_064E","C24010_065E","C24010_066E","C24010_070E","B03002_003E","B03002_004E","B03002_006E","B03002_002E","B03002_012E","state","county","tract","block group"
"Block Group 1, Census Tract 4431.03, Alameda County, California",47,20,130,3,15,0,0,12,0,0,0,0,0,0,2,0,13,12,38,35,52,0,0,28,0,48,0,0,0,12,0,0,0,0,0,12,195,0,747,1052,45,"06","001","443103","1"
"Block Group 2, Census Tract 4431.03, Alameda County, California",219,14,321,0,0,28,14,13,0,0,0,8,0,0,48,25,6,25,162,90,99,0,0,8,0,25,13,0,0,0,0,31,93,89,0,0,158,83,2628,2892,14,"06","001","443103","2"
"Block Group 3, Census Tract 4504, Alameda County, California",109,17,61,0,24,16,4,0,23,2,17,24,3,19,132,43,231,72,22,139,40,0,13,17,5,30,0,0,0,7,96,36,0,187,0,13,1688,4,698,2523,284,"06","001","450400","3"
"Block Group 2, Census Tract 4504, Alameda County, California",53,0,5,0,0,0,0,11,0,0,0,0,44,0,43,21,53,74,0,57,35,17,0,12,20,47,0,0,0,0,0,21,94,43,23,0,1001,48,169,1238,225,"06","001","450400","2"
"Block Group 1, Census Tract 4504, Alameda County, California",34,18,81,0,41,28,80,0,0,0,39,0,71,0,35,25,8,101,44,21,24,0,0,8,0,0,0,0,0,53,0,0,83,68,0,0,1520,51,188,1800,27,"06","001","450400","1"
"Block Group 4, Census Tract 4506.03, Alameda County, California",93,0,140,0,14,0,11,30,0,20,36,12,0,11,93,23,29,41,31,36,69,16,13,51,0,53,10,0,0,15,0,39,53,81,0,16,1175,7,473,1693,232,"06","001","450603","4"
"Block Group 1, Census Tract 4506.03, Alameda County, California",48,22,69,0,0,15,39,0,0,0,14,0,0,0,26,22,68,0,22,20,18,0,0,40,23,42,0,0,0,0,0,0,40,65,0,0,650,11,218,879,251,"06","001","450603","1"
"Block Group 3, Census Tract 4506.03, Alameda County, California",37,8,84,0,22,23,0,9,0,0,0,56,44,9,81,48,25,16,39,41,31,11,48,21,0,51,0,0,0,8,0,0,34,67,0,0,885,2,514,1513,77,"06","001","450603","3"
"Block Group 2, Census Tract 4506.03, Alameda County, California",87,0,43,0,0,0,20,0,0,29,0,0,0,0,34,9,16,0,30,20,9,8,0,18,0,7,0,0,0,0,0,0,0,31,0,0,391,38,235,664,9,"06","001","450603","2"
"Block Group 3, Census Tract 4506.06, Alameda County, California",107,8,221,0,0,35,40,9,0,0,0,20,14,32,58,8,32,43,70,25,51,27,7,45,14,82,0,0,0,0,0,7,57,82,0,0,1581,19,353,2028,173,"06","001","450606","3"
"Block Group 1, Census Tract 4506.06, Alameda County, California",160,48,179,0,0,9,12,0,0,35,31,19,11,15,71,100,10,68,53,69,42,9,0,53,0,101,0,0,0,21,0,63,35,82,0,37,1222,12,564,2176,178,"06","001","450606","1"
"Block Group 2, Census Tract 4506.06, Alameda County, California",81,17,126,0,6,0,10,31,0,0,8,0,0,0,23,60,10,0,83,19,102,0,0,39,18,28,0,15,0,23,0,3,21,45,0,6,984,9,451,1575,79,"06","001","450606","2"
