TAZ1454,HS
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,13.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,16.0
16,0.0
17,0.0
18,2087.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,37.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,1890.0
41,0.0
42,22.0
43,0.0
44,5.0
45,0.0
46,0.0
47,0.0
48,150.0
49,275.0
50,0.0
51,0.0
52,353.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,10.0
59,2054.0
60,0.0
61,0.0
62,0.0
63,19.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,636.0
70,0.0
71,0.0
72,280.0
73,204.0
74,0.0
75,0.0
76,1410.0
77,0.0
78,0.0
79,363.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,128.0
86,639.0
87,0.0
88,405.0
89,0.0
90,0.0
91,0.0
92,19.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,324.0
100,0.0
101,0.0
102,0.0
103,1058.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,167.0
115,0.0
116,327.0
117,302.0
118,0.0
119,56.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,932.0
131,0.0
132,858.0
133,494.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,444.0
140,0.0
141,0.0
142,27.0
143,0.0
144,312.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,1095.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,598.0
161,0.0
162,0.0
163,101.0
164,8.0
165,1528.0
166,0.0
167,0.0
168,0.0
169,11.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,201.0
176,51.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,1522.0
184,0.0
185,2228.0
186,0.0
187,2685.0
188,400.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,1669.0
196,0.0
197,0.0
198,325.0
199,0.0
200,0.0
201,121.0
202,0.0
203,1162.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,1370.0
213,96.0
214,0.0
215,0.0
216,1387.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,622.0
224,0.0
225,148.0
226,0.0
227,1047.0
228,382.0
229,0.0
230,0.0
231,0.0
232,0.0
233,203.0
234,0.0
235,0.0
236,1127.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
