ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
1,1,1,1,43,69,77,30,1,60,16,14,5,8,20.3,1,15,0.238,21786,3,6,29,26,13,238,16486,1942,2285,16,819,226.50458,743.9325,0,0,0,0,3,5.74509,0,43,1,8
2,1,1,1,131,209,234,94,5,147,64,40,15,12,31.1,1,24,0.238,33564,8,18,88,78,42,485,25260,4008,2945,57,809,222.1904,729.76294,0,0,0,0,1,5.71993,0,131,2,25
3,1,1,1,254,406,452,183,9,285,117,76,38,23,14.7,1,2,0.238,2042,15,36,169,152,80,116,730,993,172,1,30,218.08298,716.27252,0,0,0,0,1,5.51065,0,254,3,46
4,1,1,1,131,207,220,88,6,210,47,43,21,20,19.3,1,18,0.238,17969,7,18,83,73,39,437,10879,3094,1935,124,1500,191,314,0,0,0,0,2,5.49568,0,131,4,13
5,1,1,1,560,891,981,391,22,671,246,153,90,71,52.7,1,15,0.238,13383,33,79,365,330,174,2371,3952,5496,1116,2,446,191.0087,314.01431,0,0,66.0414,0,1,5.42097,0,560,5,90
6,1,1,1,2162,3192,3808,1760,0,2406,880,771,321,190,29,7,8,0.142,3429,74,216,2229,904,385,157,531,2073,622,1,45,150,546,0,0,0,0,1,4.93372,0,2162,6,616
7,1,1,1,3651,5390,5835,2938,0,4174,1817,1097,470,267,45,13,14,0.191,10971,167,410,2612,1843,803,242,5366,4728,520,2,113,309.57401,906.07025,0,0,0,0,1,5.3347,0,3651,7,445
8,1,1,1,4463,7359,9573,3060,19,4898,2936,958,373,196,51,8.33042,15,0.25,3944,376,846,3068,3496,1787,372,1225,1698,576,7,66,131.12753,500.77151,0,0,0,0,2,4.60936,0,4463,8,2214
9,1,1,1,4932,8434,9074,3795,35,5504,2582,1392,663,295,112,9.27507,47,0.163,25697,370,920,4345,2369,1070,122,4008,8808,12357,2,400,148.89088,246.06178,0,24.69709,1863.31995,18.86484,2,5.09543,0,4932,9,640
10,1,1,1,3207,5517,5614,2769,5,3578,2236,495,300,176,73.5,9.34244,35,0.148,9103,160,494,2447,1974,539,134,1580,2758,4392,3,236,89,273,0,0,632.11194,0,3,4.60214,0,3207,10,97
11,1,1,1,2682,4613,4769,2376,10,2923,1423,690,370,199,81,12.58862,38,0.148,8635,136,420,2079,1677,457,2492,1210,2404,2299,0,230,116,259,0,0,0,0,3,4.51262,0,2682,11,156
12,1,1,1,699,1054,1063,698,0,984,210,247,133,109,53.3,1,16,0.09,13026,9,13,628,363,50,588,3560,4822,3721,13,322,177,778,0,0,3143.59424,2175.60693,3,5.36008,0,699,12,9
13,1,1,1,6,9,18,6,0,8,0,1,2,3,26.5,1,19.37625,0.09,14782,0,0,11,6,1,886,10337,2184,1151,5,219,177,778,0,319.81601,1573.67676,3501.15845,3,5.31686,0,6,13,9
14,1,1,1,309,468,474,300,0,422,54,94,65,96,30.6,1,26,0.09,24773,5,5,280,162,22,243,15200,2631,3898,16,2785,217.92493,901.41675,0,0,779.29047,230.20505,3,5.46468,0,309,14,6
