"County_Name","worker_total_rc","total"
"Alameda","1_worker",226845
"Alameda","2_workers",416945
"Alameda","3p_workers",230751
"Contra Costa","1_worker",149747
"Contra Costa","2_workers",267149
"Contra Costa","3p_workers",152363
"Marin","1_worker",40340
"Marin","2_workers",65637
"Marin","3p_workers",23985
"Napa","1_worker",17759
"Napa","2_workers",31818
"Napa","3p_workers",19964
"San Francisco","1_worker",144059
"San Francisco","2_workers",234198
"San Francisco","3p_workers",132786
"San Mateo","1_worker",93945
"San Mateo","2_workers",199054
"San Mateo","3p_workers",118057
"Santa Clara","1_worker",250553
"Santa Clara","2_workers",464005
"Santa Clara","3p_workers",294289
"Solano","1_worker",58232
"Solano","2_workers",94868
"Solano","3p_workers",61332
"Sonoma","1_worker",66645
"Sonoma","2_workers",116468
"Sonoma","3p_workers",68189
