"County_Name","worker_total_rc","total_hhs","total_gq","total_total"
"Alameda","0_workers",134455,0,134455
"Alameda","1_worker",214110,0,214110
"Alameda","2_workers",181925,0,181925
"Alameda","3p_workers",51190,0,51190
"Contra Costa","0_workers",94430,0,94430
"Contra Costa","1_worker",148283,0,148283
"Contra Costa","2_workers",123694,0,123694
"Contra Costa","3p_workers",38703,0,38703
"Marin","0_workers",28663,0,28663
"Marin","1_worker",38705,0,38705
"Marin","2_workers",30095,0,30095
"Marin","3p_workers",6288,0,6288
"Napa","0_workers",12968,0,12968
"Napa","1_worker",16431,0,16431
"Napa","2_workers",14606,0,14606
"Napa","3p_workers",4740,0,4740
"San Francisco","0_workers",82993,0,82993
"San Francisco","1_worker",136683,0,136683
"San Francisco","2_workers",109529,0,109529
"San Francisco","3p_workers",32016,0,32016
"San Mateo","0_workers",52293,0,52293
"San Mateo","1_worker",91305,0,91305
"San Mateo","2_workers",92813,0,92813
"San Mateo","3p_workers",28484,0,28484
"Santa Clara","0_workers",116699,0,116699
"Santa Clara","1_worker",238830,0,238830
"Santa Clara","2_workers",218911,0,218911
"Santa Clara","3p_workers",72405,0,72405
"Solano","0_workers",36738,0,36738
"Solano","1_worker",56455,0,56455
"Solano","2_workers",44214,0,44214
"Solano","3p_workers",16227,0,16227
"Sonoma","0_workers",52915,0,52915
"Sonoma","1_worker",63794,0,63794
"Sonoma","2_workers",54904,0,54904
"Sonoma","3p_workers",17228,0,17228
