"County_Name","worker_total_rc","total_hhs"
"Alameda","0_workers",115464
"Alameda","1_worker",209577
"Alameda","2_workers",203189
"Alameda","3p_workers",57584
"Contra Costa","0_workers",90943
"Contra Costa","1_worker",143627
"Contra Costa","2_workers",131407
"Contra Costa","3p_workers",42560
"Marin","0_workers",28384
"Marin","1_worker",36969
"Marin","2_workers",31586
"Marin","3p_workers",6771
"Napa","0_workers",13070
"Napa","1_worker",16880
"Napa","2_workers",14478
"Napa","3p_workers",4790
"San Francisco","0_workers",80453
"San Francisco","1_worker",134938
"San Francisco","2_workers",113071
"San Francisco","3p_workers",32379
"San Mateo","0_workers",50761
"San Mateo","1_worker",89198
"San Mateo","2_workers",95451
"San Mateo","3p_workers",28914
"Santa Clara","0_workers",111009
"Santa Clara","1_worker",235469
"Santa Clara","2_workers",227465
"Santa Clara","3p_workers",76409
"Solano","0_workers",36080
"Solano","1_worker",56041
"Solano","2_workers",46575
"Solano","3p_workers",16291
"Sonoma","0_workers",50924
"Sonoma","1_worker",63038
"Sonoma","2_workers",57605
"Sonoma","3p_workers",18086
