COUNTY_NAME,TAZ1454,AGREMPN,FPSEMPN,HEREMPN,MWTEMPN,RETEMPN,OTHEMPN,TOTEMP
San Francisco,1,3,12759,1759,485,221,1593,16820
San Francisco,2,7,16414,2674,1027,79,4107,24308
San Francisco,3,0,1182,488,1,54,331,2056
San Francisco,4,0,13636,2643,397,512,4327,21515
San Francisco,5,0,5356,3226,587,2210,1474,12853
San Francisco,6,0,428,2631,29,66,100,3254
San Francisco,7,0,1214,4194,8,371,139,5926
San Francisco,8,0,582,2570,32,39,699,3922
San Francisco,9,0,685,3635,4,137,1789,6250
San Francisco,10,10,3946,10153,684,143,9558,24494
San Francisco,11,0,3154,4040,268,1853,1587,10902
San Francisco,12,0,7976,5017,584,1148,1419,16144
San Francisco,13,1,13665,1246,313,146,1932,17303
San Francisco,14,0,17093,462,4861,38,2864,25318
San Francisco,15,11,7661,993,2767,310,2377,14119
San Francisco,16,0,16815,1573,1006,484,11775,31653
San Francisco,17,0,4955,1295,2016,203,5311,13780
San Francisco,18,0,2873,2044,529,242,2459,8147
San Francisco,19,0,6739,966,321,895,2329,11250
San Francisco,20,0,2479,1593,662,315,1603,6652
San Francisco,21,21,4185,2430,1502,251,1943,10332
San Francisco,22,12,9319,2158,169,261,1653,13572
San Francisco,23,0,4069,804,453,118,1428,6872
San Francisco,24,10,6611,2544,235,546,5335,15281
San Francisco,25,0,234,1284,27,184,26,1755
San Francisco,26,0,2359,974,121,42,913,4409
San Francisco,27,0,50,1234,22,131,3,1440
San Francisco,28,0,164,590,32,10,25,821
San Francisco,29,0,529,863,23,11,0,1426
San Francisco,30,0,207,722,12,105,43,1089
San Francisco,31,0,369,1654,6,13,23,2065
San Francisco,32,0,246,1777,7,239,57,2326
San Francisco,33,0,306,942,21,78,64,1411
San Francisco,34,0,196,692,26,134,29,1077
San Francisco,35,2,277,239,0,21,0,539
San Francisco,36,12,217,1783,39,224,26,2301
San Francisco,37,0,713,1541,113,102,174,2643
San Francisco,38,0,452,575,140,211,108,1486
San Francisco,39,0,86,435,5,21,17,564
San Francisco,40,8,765,893,316,191,41,2214
San Francisco,41,0,2102,2315,244,803,83,5547
San Francisco,42,0,116,389,58,3,93,659
San Francisco,43,0,263,769,152,263,29,1476
San Francisco,44,0,393,667,25,73,84,1242
San Francisco,45,0,662,1711,120,225,229,2947
San Francisco,46,0,662,852,71,22,67,1674
San Francisco,47,0,768,1553,26,96,142,2585
San Francisco,48,0,168,528,65,73,36,870
San Francisco,49,0,117,819,7,0,22,965
San Francisco,50,0,326,1167,14,369,113,1989
San Francisco,51,0,67,347,43,7,77,541
San Francisco,52,1,1676,1890,324,298,1393,5582
San Francisco,53,0,33,961,0,3,22,1019
San Francisco,54,0,57,417,28,178,35,715
San Francisco,55,0,27,169,4,28,16,244
San Francisco,56,0,142,2785,0,23,2,2952
San Francisco,57,0,32,212,11,0,9,264
San Francisco,58,0,71,619,12,48,34,784
San Francisco,59,3,118,700,22,31,73,947
San Francisco,60,0,30,474,0,13,14,531
San Francisco,61,0,219,459,0,22,25,725
San Francisco,62,0,149,929,36,119,45,1278
San Francisco,63,0,139,344,6,66,95,650
San Francisco,64,0,62,394,0,117,48,621
San Francisco,65,3,254,857,18,181,113,1426
San Francisco,66,14,144,849,27,246,57,1337
San Francisco,67,0,52,573,10,64,31,730
San Francisco,68,0,206,453,0,38,41,738
San Francisco,69,0,244,7086,17,269,30,7646
San Francisco,70,0,491,921,13,414,141,1980
San Francisco,71,20,374,1532,18,124,37,2105
San Francisco,72,0,176,831,5,67,23,1102
San Francisco,73,0,169,1008,14,236,68,1495
San Francisco,74,0,363,2337,22,186,28,2936
San Francisco,75,0,685,2900,6,377,33,4001
San Francisco,76,0,293,730,8,44,1563,2638
San Francisco,77,0,92,1597,17,157,30,1893
San Francisco,78,0,69,1004,2,3,3,1081
San Francisco,79,0,407,4408,254,164,3339,8572
San Francisco,80,0,214,295,5,20,14,548
San Francisco,81,0,441,14021,9,57,91,14619
San Francisco,82,0,339,578,7,272,41,1237
San Francisco,83,1,467,230,1,9,6,714
San Francisco,84,0,168,1030,27,29,44,1298
San Francisco,85,0,166,692,23,180,206,1267
San Francisco,86,0,65,894,4,27,32,1022
San Francisco,87,0,122,1224,6,31,15,1398
San Francisco,88,31,171,576,34,426,138,1376
San Francisco,89,0,154,624,13,92,85,968
San Francisco,90,0,119,16406,1,55,28,16609
San Francisco,91,0,64,273,5,9,30,381
San Francisco,92,0,55,86,0,6,27,174
San Francisco,93,0,102,200,90,15,60,467
San Francisco,94,0,180,480,24,133,15,832
San Francisco,95,0,196,339,11,3,32,581
San Francisco,96,3,96,148,2,9,21,279
San Francisco,97,0,114,396,75,86,24,695
San Francisco,98,0,190,398,8,160,16,772
San Francisco,99,0,79,356,239,18,74,766
San Francisco,100,0,557,1193,46,200,132,2128
San Francisco,101,16,433,1761,330,233,284,3057
San Francisco,102,0,90,980,155,141,267,1633
San Francisco,103,0,191,595,65,75,55,981
San Francisco,104,0,491,867,34,299,126,1817
San Francisco,105,5,121,1168,29,162,78,1563
San Francisco,106,0,690,1926,89,411,548,3664
San Francisco,107,0,2409,4268,9628,1167,9150,26622
San Francisco,108,0,1075,2257,553,286,259,4430
San Francisco,109,0,2545,1185,376,103,1538,5747
San Francisco,110,0,2802,2723,1031,116,173,6845
San Francisco,111,0,1861,2388,1225,234,1167,6875
San Francisco,112,0,249,294,134,41,68,786
San Francisco,113,0,250,423,114,15,118,920
San Francisco,114,0,245,443,51,342,166,1247
San Francisco,115,0,191,322,18,11,15,557
San Francisco,116,0,1997,1219,316,665,767,4964
San Francisco,117,0,428,428,34,9,27,926
San Francisco,118,0,220,345,4,53,18,640
San Francisco,119,0,25,272,6,82,16,401
San Francisco,120,0,50,371,21,51,129,622
San Francisco,121,0,128,161,52,55,37,433
San Francisco,122,0,439,429,59,33,92,1052
San Francisco,123,0,228,1035,102,160,125,1650
San Francisco,124,0,26,154,2,91,19,292
San Francisco,125,0,30,164,0,9,21,224
San Francisco,126,0,41,163,4,0,30,238
San Francisco,127,0,47,396,11,102,45,601
San Francisco,128,0,164,280,10,34,48,536
San Francisco,129,0,70,122,6,1,41,240
San Francisco,130,12,214,346,2,172,18,764
San Francisco,131,0,64,168,79,6,45,362
San Francisco,132,0,64,320,42,139,13,578
San Francisco,133,0,103,1638,18,54,121,1934
San Francisco,134,0,111,494,28,36,75,744
San Francisco,135,0,67,389,9,63,36,564
San Francisco,136,0,75,632,2,0,49,758
San Francisco,137,0,22,246,1,32,75,376
San Francisco,138,0,102,1055,28,195,966,2346
San Francisco,139,10,171,532,51,68,124,956
San Francisco,140,0,4,187,24,31,17,263
San Francisco,141,0,44,218,18,12,34,326
San Francisco,142,4,1465,1091,2095,869,2791,8315
San Francisco,143,0,64,536,54,25,134,813
San Francisco,144,0,192,417,4,0,12,625
San Francisco,145,0,70,389,21,0,262,742
San Francisco,146,0,16,51,14,0,0,81
San Francisco,147,4,123,380,432,24,490,1453
San Francisco,148,0,101,383,563,17,761,1825
San Francisco,149,0,472,259,9,5,157,902
San Francisco,150,0,360,656,152,210,567,1945
San Francisco,151,0,4,90,2,24,3,123
San Francisco,152,0,434,228,2,5,28,697
San Francisco,153,0,10,167,26,1,23,227
San Francisco,154,0,66,371,12,107,10,566
San Francisco,155,0,40,288,0,11,37,376
San Francisco,156,0,2,172,3,2,6,185
San Francisco,157,0,1,149,16,1,0,167
San Francisco,158,0,6,370,0,0,7,383
San Francisco,159,0,10,217,0,20,22,269
San Francisco,160,0,49,215,3,5,15,287
San Francisco,161,0,38,301,1,12,34,386
San Francisco,162,0,52,309,18,59,46,484
San Francisco,163,0,30,295,4,5,36,370
San Francisco,164,0,3516,388,26,68,45,4043
San Francisco,165,0,62,787,3,151,60,1063
San Francisco,166,0,36,753,12,18,103,922
San Francisco,167,0,39,340,6,11,78,474
San Francisco,168,0,94,438,17,84,99,732
San Francisco,169,0,140,662,29,26,95,952
San Francisco,170,0,352,1163,56,107,120,1798
San Francisco,171,13,31,150,56,113,19,382
San Francisco,172,5,43,274,8,98,82,510
