TAZ1454,OPRKCST,PRKCST
1005,0.0,0.0
999,24.30112043898629,0.0
998,15.823985402130607,0.0
1000,6.7817080294845455,0.0
1001,0.0,0.0
997,0.0,0.0
996,9.60741970843644,0.0
993,0.0,0.0
992,0.0,0.0
977,0.0,0.0
976,40.12510584111689,0.0
975,15.258843066340228,0.0
979,73.46850365274925,67.81708029484545
978,0.0,0.0
990,0.0,0.0
989,0.0,0.0
988,0.0,0.0
987,0.0,0.0
965,0.0,0.0
966,0.0,0.0
985,0.0,0.0
986,0.0,62.16565693694167
984,0.0,0.0
983,0.0,0.0
982,0.0,0.0
981,9.04227737264606,74.59878832433
980,0.0,0.0
970,98.3347664275259,110.20275547912387
971,110.20275547912387,106.81190146438158
968,110.76789781491424,122.6358868665122
969,97.76962409173552,133.37359124652937
967,71.77307664537811,55.38394890745712
946,42.38567518427841,68.38222263063584
945,40.12510584111689,130.5478795675775
972,45.776529199020686,101.72562044226818
941,0.0,0.0
942,50.86281022113409,0.0
939,29.952543796890076,41.25539051269765
940,10.172562044226817,39.559963505326515
973,45.776529199020686,0.0
974,41.25539051269765,0.0
916,0.0,0.0
915,0.0,0.0
914,0.0,0.0
919,0.0,0.0
913,0.0,0.0
912,0.0,0.0
920,0.0,0.0
921,0.0,0.0
922,0.0,0.0
937,0.0,0.0
938,0.0,0.0
943,0.0,74.59878832433
944,42.38567518427841,0.0
934,16.954270073711363,0.0
935,6.216565693694166,0.0
936,0.0,0.0
931,0.0,0.0
932,0.0,0.0
933,10.172562044226817,0.0
947,6.216565693694166,0.0
926,0.0,0.0
928,14.12855839475947,0.0
927,15.258843066340228,0.0
929,0.0,0.0
930,0.0,0.0
924,0.0,0.0
923,0.0,0.0
910,0.0,0.0
909,0.0,0.0
908,0.0,0.0
906,6.7817080294845455,0.0
905,0.0,0.0
925,18.6496970810825,0.0
896,0.0,0.0
897,0.0,0.0
898,0.0,0.0
904,0.0,0.0
903,0.0,0.0
902,0.0,0.0
907,0.0,0.0
911,0.0,0.0
885,0.0,0.0
901,0.0,0.0
886,0.0,0.0
889,0.0,0.0
890,0.0,0.0
900,0.0,0.0
899,0.0,0.0
895,0.0,0.0
894,0.0,0.0
876,0.0,0.0
877,0.0,0.0
878,0.0,0.0
892,0.0,0.0
893,0.0,0.0
891,0.0,0.0
888,0.0,0.0
887,0.0,0.0
884,0.0,0.0
883,0.0,0.0
882,0.0,0.0
881,0.0,0.0
880,0.0,0.0
879,0.0,0.0
1035,0.0,0.0
1036,113.02846715807576,0.0
1039,0.0,0.0
1038,0.0,0.0
1037,0.0,0.0
1034,0.0,0.0
1030,0.0,0.0
1031,0.0,0.0
1033,0.0,0.0
1032,0.0,0.0
1029,0.0,0.0
1028,0.0,0.0
1027,14.693700730549848,0.0
1026,0.0,0.0
1025,0.0,0.0
1014,0.0,0.0
1024,0.0,0.0
1023,1.6954270073711364,18.6496970810825
1022,2.260569343161515,0.0
1021,40.12510584111689,98.3347664275259
1020,11.867989051597954,42.38567518427841
1019,0.0,127.15702555283522
1007,35.603967154793864,0.0
1008,127.72216788862559,130.5478795675775
