"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,87022,153377,164330,84560,4377,94728,32697,15150,14176,24999,434720,4439,10087,84370,38412,27022,16377,209059,100723,36,30094,78431,4065,8946,6013,10951
2,106122,217514,222417,127755,20414,95198,20657,17117,20038,48310,126445,8864,20586,109308,47808,35851,6705,14119,92781,32,2030,10778,6931,6281,1076,4897
3,129433,342928,349927,187988,64234,75613,27426,24434,24962,52611,179976,15915,43328,150096,88904,51684,9929,31152,83270,23,26835,28767,8650,11572,20879,6992
4,50392,134811,135910,69554,35850,19016,10358,10186,10644,19204,31531,5645,17362,50969,34667,27267,2466,3369,23494,53,571,1578,7098,24504,5982,1099
5,102867,304844,306424,158190,74207,34494,20531,23245,24807,34284,143955,14966,47878,108435,81754,53391,12242,33602,45899,435,39463,12314,11622,1741,5446,1575
6,86284,224341,226374,113849,54400,36905,14188,14283,18018,39795,104994,12345,38535,78229,58617,38648,8611,40571,33739,351,7378,14344,11026,3359,7684,2032
7,82217,231344,233747,114631,59130,27123,13399,14591,15493,38734,169001,12815,44245,80964,61023,34700,8717,41727,44152,662,12671,61072,9655,1312,3892,2398
8,75162,187859,201156,98249,48719,33100,12382,10414,12530,39836,173809,8499,34656,76362,48627,33012,7272,44443,84697,166,10884,26347,11199,15778,16461,13293
9,117112,302120,303287,176712,56309,69057,16452,19479,25777,55404,392706,19690,43310,145337,63182,31768,11097,139776,47643,42,111180,82968,9733,2587,7908,1166
10,124535,343253,344164,168799,90643,40618,19095,21183,23608,60649,155010,16177,68768,107845,97950,53424,14992,23387,60043,93,46902,9593,17405,9969,23996,902
11,114154,317806,329585,174227,66976,53248,29245,26952,24206,33751,179438,17237,58653,133597,80363,39735,13101,40779,72290,179,12089,41000,14119,32746,16181,11780
12,118892,419161,421517,212293,97791,24469,21838,23422,28109,45523,105289,21664,78329,149230,111950,60344,11400,13414,46988,110,21198,12179,22021,1882,7166,2348
