ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,ZERO,hhlds,gqpop
1,1,1,1,58,107,118,51,0,54,34,7,13,5,20.3,1.0,16.9055823253764,0.3644859813084112,18898,0,0,8,77,21,237,14842,2099,12,578,1130,197.79981752663255,222.10093796561887,0,0,0,0,5.59951,3,0,58,11
2,1,1,1,176,318,355,157,0,164,106,16,39,16,31.1,1.0,28.457147349502,0.3633633633633634,24466,0,0,27,225,64,164,15933,3149,11,1307,3902,206.84209489927864,222.10093796561887,0,0,255,11,5.59116,1,0,176,37
3,1,1,1,256,431,472,195,0,256,125,55,22,53,14.7,1.0,3.408840010080798,0.05219206680584551,1901,32,103,241,66,25,43,1172,410,1,24,251,0.0,203.4512408845364,0,0,481,0,5.60296,1,0,256,41
4,1,1,1,127,199,225,116,4,122,47,13,20,50,19.3,1.6414852407481,20.922335301684804,0.24651162790697675,25963,11,9,89,81,17,785,15477,2924,15,719,6043,186.496970810825,222.10093796561887,0,6,0,0,5.54465,2,0,127,26
5,1,1,1,508,661,745,396,8,577,271,52,46,148,52.7,1.1611226642047967,24.9410767660097,0.2717948717948718,13020,24,20,294,290,133,2360,4702,3622,7,686,1643,0.0,222.10093796561887,0,21,0,0,5.68261,1,0,508,84
6,1,1,1,2027,2765,3211,2149,0,2286,695,453,346,542,29.0,7.170351693085296,14.4798242839529,0.16796753044021231,3277,14,241,1672,830,342,111,470,2523,2,91,80,155.41414234235415,168.97755840132328,0,0,0,0,5.01837,1,0,2027,446
7,1,1,1,3157,4419,5517,2537,58,3401,2084,634,316,118,45.0,13.3111008870898,24.879441742133107,0.26124567474048443,6997,150,259,1857,1270,950,211,1259,5073,3,42,409,144.67643796233696,170.107843072904,0,0,0,0,5.27951,1,0,3157,1098
8,1,1,1,4919,7970,11162,3286,74,5191,3523,894,375,107,51.0,9.8044182988473,22.3754047611428,0.3283911039871769,3686,212,573,3165,3100,2635,45,553,2732,1,78,277,154.84900000656378,165.0215620507906,0,0,0,0,4.669,2,0,4919,3192
9,1,1,1,6416,9525,10943,6065,114,6252,3182,1533,831,884,112.0,11.218707351769895,58.622506834658815,0.17376767290790981,24973,123,791,4582,3310,1354,122,951,5205,2,8334,10359,149.76271898445037,135.6341605896909,0,0,1170,65,4.82516,2,0,6416,1418
10,1,1,1,4305,6991,8249,4318,323,4022,1139,962,859,1338,73.5,11.195568685771484,40.04153747329599,0.1662262156448203,22136,239,665,4322,1276,853,155,2004,9773,12,577,9615,132.80844891073903,139.59015694022358,0,0,1891,511,4.32252,3,0,4305,1258
11,1,1,1,2209,3938,4724,2924,112,2447,1155,350,331,373,81.0,13.256227769468698,47.43540417028649,0.14204429993903678,10962,95,292,2307,1579,481,1279,2803,5153,4,295,1428,140.72044161180432,169.54270073711365,0,65,690,62,4.81965,3,0,2209,786
12,1,1,1,648,999,1021,825,46,955,94,132,73,352,53.3,1.0,22.534954811467205,0.11493123772102161,14643,70,22,395,403,90,487,6416,5674,5,465,1596,127.15702555283522,222.10093796561887,0,0,4191,4390,5.24453,3,0,648,22
13,1,1,1,85,108,110,68,29,58,27,4,5,49,26.5,1.0,21.735249604792408,0.20588235294117646,17139,1,0,25,54,19,112,12570,1613,4,926,1914,238.49006570353984,222.10093796561887,0,0,2597,3269,5.49303,3,0,85,2
14,1,1,1,624,800,814,481,210,428,198,32,43,349,30.6,2.453213596625,26.0,0.20103761348897536,27025,11,2,192,397,150,71,17363,811,6,5601,3173,213.62380292876315,222.10093796561887,0,0,0,0,5.5959,3,0,624,14
15,1,1,1,252,428,456,325,18,289,64,57,43,83,28.5,3.0,18.906638334235,0.06697459584295612,15790,22,34,222,129,11,290,7918,1147,4,3187,3244,243.01120438986283,214.18894526455355,0,0,0,0,5.48383,3,0,252,28
16,1,1,1,5360,8698,8870,7376,230,5727,650,672,1128,2893,123.4,17.7560730399476,88.75283240826519,0.09059076019428443,38303,137,315,5903,1606,617,811,19695,1833,6,2219,13739,171.23812774448476,163.32613504341947,0,0,0,0,4.79045,2,0,5360,172
17,1,1,1,4559,7476,7791,5188,128,4408,970,686,825,2077,152.3,24.3357279192821,68.70060422236688,0.1490275322051023,11572,461,373,4403,1436,1015,295,7288,682,8,749,2550,168.97755840132328,129.9827372317871,1,0,0,0,4.27822,1,0,4559,315
