TAZ1454,hispanic,white_nonh,black_nonh,asian_nonh,other_nonh,TOTPOP,COUNTY,County_Name
1,2,28,0,37,42,118,1,San Francisco
2,12,86,0,97,131,355,1,San Francisco
3,14,91,0,119,175,472,1,San Francisco
4,29,59,2,23,86,225,1,San Francisco
5,145,247,11,61,229,745,1,San Francisco
6,404,833,27,530,906,3211,1,San Francisco
7,681,967,208,797,906,5517,1,San Francisco
8,1807,1025,645,2216,1065,11162,1,San Francisco
9,2090,1661,528,1698,1822,10943,1,San Francisco
10,993,1131,353,1922,1289,8249,1,San Francisco
11,311,778,567,1067,1618,4724,1,San Francisco
12,103,166,24,267,235,1021,1,San Francisco
13,2,36,0,18,48,110,1,San Francisco
14,61,202,0,183,83,814,1,San Francisco
15,29,53,2,171,180,456,1,San Francisco
16,639,1689,212,2750,1699,8870,1,San Francisco
17,436,1719,193,2013,2175,7791,1,San Francisco
18,335,265,22,231,446,1572,1,San Francisco
19,254,421,118,402,583,1919,1,San Francisco
20,353,1025,269,1152,1997,4583,1,San Francisco
21,368,573,185,1731,1569,4920,1,San Francisco
22,53,511,17,361,343,1746,1,San Francisco
23,25,324,0,714,874,1884,1,San Francisco
24,0,27,17,548,478,915,1,San Francisco
25,69,49,58,1472,894,2759,1,San Francisco
26,42,53,12,632,690,1395,1,San Francisco
27,78,293,31,1094,1282,2597,1,San Francisco
28,31,794,41,631,1194,2688,1,San Francisco
29,546,1131,71,1094,1251,5082,1,San Francisco
30,802,1655,311,1188,1462,6474,1,San Francisco
31,640,647,103,543,1030,3846,1,San Francisco
32,300,1104,189,1045,1701,4529,1,San Francisco
33,256,1389,62,818,1750,4363,1,San Francisco
34,339,1725,7,479,1913,4695,1,San Francisco
35,162,1057,174,852,1918,4004,1,San Francisco
36,174,383,3,2231,1938,4595,1,San Francisco
37,226,448,62,846,1224,2787,1,San Francisco
38,340,1519,24,606,1755,4319,1,San Francisco
39,234,1354,2,531,1763,3828,1,San Francisco
40,224,1797,113,267,2083,4324,1,San Francisco
41,287,844,285,814,1609,3842,1,San Francisco
42,471,419,282,106,871,2421,1,San Francisco
43,162,2440,6,279,2553,4967,1,San Francisco
44,297,2174,9,581,2515,5357,1,San Francisco
45,165,1931,3,265,2056,4253,1,San Francisco
46,427,2263,98,949,2630,6286,1,San Francisco
47,239,1247,0,171,1145,2789,1,San Francisco
48,132,1471,60,492,1917,3484,1,San Francisco
49,114,1475,1,319,1684,3360,1,San Francisco
50,411,1940,13,295,1970,4099,1,San Francisco
51,110,2064,23,148,1942,3880,1,San Francisco
52,522,1307,41,119,1602,3950,1,San Francisco
53,9,22,0,6,15,288,1,San Francisco
54,291,1985,82,1250,3117,6211,1,San Francisco
55,321,818,0,676,1435,3058,1,San Francisco
56,22,40,21,26,53,71,1,San Francisco
57,114,965,14,317,1188,2422,1,San Francisco
58,365,926,159,1491,2397,5152,1,San Francisco
59,518,1718,33,2160,3410,7840,1,San Francisco
60,102,797,0,843,1531,3164,1,San Francisco
61,456,853,27,1391,2080,4750,1,San Francisco
62,484,2021,19,1647,3511,7298,1,San Francisco
63,173,1046,42,1442,2502,5239,1,San Francisco
64,387,1606,99,1509,2937,6462,1,San Francisco
65,268,1395,32,1014,2208,4656,1,San Francisco
66,294,1104,8,911,1848,4312,1,San Francisco
67,320,1504,2,789,2188,4845,1,San Francisco
68,125,705,80,719,1360,2957,1,San Francisco
69,570,2467,142,1138,3670,8070,1,San Francisco
70,488,1985,50,907,2678,5882,1,San Francisco
71,115,1628,36,561,1910,4111,1,San Francisco
72,194,916,105,125,1084,2117,1,San Francisco
73,133,1203,353,671,1804,3711,1,San Francisco
74,237,1081,80,909,1153,3687,1,San Francisco
75,83,788,78,553,1112,2505,1,San Francisco
76,283,541,118,605,1249,3013,1,San Francisco
77,577,971,333,963,1243,4410,1,San Francisco
78,240,682,766,1184,2407,5273,1,San Francisco
79,240,956,84,544,1508,3253,1,San Francisco
80,355,1369,264,326,1564,3839,1,San Francisco
81,861,2244,255,957,3388,7984,1,San Francisco
82,142,1248,23,237,1238,2907,1,San Francisco
83,212,1604,47,350,1628,3886,1,San Francisco
84,246,1783,22,592,2264,4868,1,San Francisco
85,186,1387,164,385,1584,3460,1,San Francisco
86,468,1700,518,871,2957,6163,1,San Francisco
87,430,2062,131,215,2327,4832,1,San Francisco
88,206,1967,177,303,2321,4715,1,San Francisco
89,406,3025,57,492,3347,7273,1,San Francisco
90,307,1167,58,916,1874,4142,1,San Francisco
91,266,1511,144,841,2312,4927,1,San Francisco
92,379,982,198,553,1222,2586,1,San Francisco
93,621,2746,99,803,3272,7446,1,San Francisco
94,142,1179,36,220,1360,2760,1,San Francisco
95,254,1002,3,211,1345,2911,1,San Francisco
96,79,919,39,174,1210,2360,1,San Francisco
97,269,1454,0,311,1652,3460,1,San Francisco
98,234,1711,0,384,1962,4128,1,San Francisco
99,295,1411,20,318,1558,3509,1,San Francisco
100,1050,691,17,388,1054,3525,1,San Francisco
101,1634,1018,111,592,1653,5558,1,San Francisco
102,447,1940,107,517,2106,5310,1,San Francisco
103,285,1918,77,573,2528,5209,1,San Francisco
104,223,1152,39,417,1602,3414,1,San Francisco
105,772,1368,285,683,2120,5903,1,San Francisco
106,1624,1405,301,841,2251,6943,1,San Francisco
107,615,550,39,498,1068,3615,1,San Francisco
108,113,184,184,808,1065,2419,1,San Francisco
109,397,1825,207,2020,2570,7415,1,San Francisco
110,482,759,860,2063,3265,7560,1,San Francisco
111,291,1184,41,892,2153,4811,1,San Francisco
112,179,526,1,366,964,1923,1,San Francisco
113,502,1789,203,649,2275,5474,1,San Francisco
114,340,1201,77,663,1987,4134,1,San Francisco
115,361,607,69,160,759,1757,1,San Francisco
116,842,1081,460,340,1785,4212,1,San Francisco
117,1024,750,74,392,1274,3749,1,San Francisco
118,1716,650,34,282,887,4157,1,San Francisco
119,396,325,90,194,625,1813,1,San Francisco
120,407,774,60,241,1072,2650,1,San Francisco
121,411,1086,33,425,1579,3539,1,San Francisco
122,597,1987,46,341,2359,5621,1,San Francisco
123,861,1187,31,215,1427,3706,1,San Francisco
124,472,934,89,187,1502,3392,1,San Francisco
125,514,809,34,270,1121,2821,1,San Francisco
126,999,644,150,759,1576,3906,1,San Francisco
127,274,1634,23,362,1999,4164,1,San Francisco
128,635,1609,70,787,2217,5356,1,San Francisco
129,333,1440,120,633,2112,4488,1,San Francisco
130,352,1277,212,485,2064,4236,1,San Francisco
131,524,1917,14,1322,3187,6466,1,San Francisco
132,326,1034,190,766,2030,4458,1,San Francisco
133,548,1398,115,1390,2881,6134,1,San Francisco
134,1760,824,79,1675,2777,6751,1,San Francisco
135,1195,492,31,1589,1884,5196,1,San Francisco
136,658,586,88,730,1415,2935,1,San Francisco
137,856,532,78,1633,2081,4864,1,San Francisco
138,1107,479,62,3657,4046,8312,1,San Francisco
139,455,313,174,2019,2208,4160,1,San Francisco
140,314,267,197,1361,1621,3343,1,San Francisco
141,1009,185,333,577,954,2832,1,San Francisco
142,14,52,40,152,245,1010,1,San Francisco
143,70,32,158,115,317,623,1,San Francisco
144,683,26,1025,327,1336,3404,1,San Francisco
145,651,27,1123,276,1326,3530,1,San Francisco
146,113,157,174,279,620,1264,1,San Francisco
147,658,204,486,713,1396,3534,1,San Francisco
148,664,88,585,612,1174,3175,1,San Francisco
149,340,378,359,1477,1729,4188,1,San Francisco
150,438,231,245,1333,1673,3764,1,San Francisco
151,88,72,36,713,767,1435,1,San Francisco
152,443,459,66,1334,1754,3935,1,San Francisco
153,404,515,116,1502,1997,3761,1,San Francisco
154,519,82,3,1581,1507,3361,1,San Francisco
155,364,97,215,1126,1335,2871,1,San Francisco
156,307,106,102,921,985,2276,1,San Francisco
157,365,65,114,541,658,1851,1,San Francisco
158,135,52,67,221,299,815,1,San Francisco
159,833,253,103,1398,1475,3968,1,San Francisco
160,1137,283,31,1254,1520,4170,1,San Francisco
161,858,457,13,961,1386,3581,1,San Francisco
162,730,411,22,1792,2080,4181,1,San Francisco
163,469,260,14,1987,1834,4046,1,San Francisco
164,847,381,26,3285,3254,6906,1,San Francisco
165,1164,291,0,2626,2625,6241,1,San Francisco
166,840,858,192,3504,4088,7850,1,San Francisco
167,841,551,546,2064,2612,6077,1,San Francisco
168,791,890,331,2908,3853,8259,1,San Francisco
169,421,1481,17,1436,3363,6636,1,San Francisco
170,428,1829,62,913,2769,5523,1,San Francisco
171,107,730,12,397,1194,2367,1,San Francisco
172,454,970,35,1459,2449,5299,1,San Francisco
173,151,757,29,1006,1846,3479,1,San Francisco
174,487,1540,64,1462,2925,5885,1,San Francisco
175,159,1189,44,826,1983,4013,1,San Francisco
176,419,1160,10,626,1607,3772,1,San Francisco
177,592,1609,153,2291,3919,8033,1,San Francisco
178,440,1053,6,2110,3018,6629,1,San Francisco
179,336,1742,58,2289,3566,7560,1,San Francisco
180,475,924,58,1033,1784,3981,1,San Francisco
181,162,1055,11,1628,2436,4763,1,San Francisco
182,385,1331,40,1779,3544,7206,1,San Francisco
183,367,1248,2,2109,3198,6736,1,San Francisco
184,449,985,160,3862,4864,8964,1,San Francisco
185,258,1123,80,3226,4228,7676,1,San Francisco
186,516,1358,19,2623,3922,7486,1,San Francisco
187,59,610,32,1370,2021,3704,1,San Francisco
188,604,526,157,685,744,2402,1,San Francisco
189,1101,890,389,1497,1707,6380,1,San Francisco
190,239,292,63,409,267,1912,1,San Francisco
191,333,907,0,1033,1914,3917,2,San Mateo
192,1656,995,149,1655,1849,6822,2,San Mateo
193,962,975,97,2039,2823,6799,2,San Mateo
194,378,450,76,3685,3639,6823,2,San Mateo
195,434,629,43,2277,2863,5647,2,San Mateo
196,608,508,125,2595,3360,7127,2,San Mateo
197,507,299,320,2695,3041,5512,2,San Mateo
198,610,323,117,1781,1519,4635,2,San Mateo
199,392,266,54,878,1014,2409,2,San Mateo
200,561,307,6,795,1094,2722,2,San Mateo
201,1542,363,51,2988,3146,7336,2,San Mateo
202,1434,373,12,2801,2516,6667,2,San Mateo
203,938,99,38,1596,1517,4248,2,San Mateo
204,699,458,55,2248,2593,5394,2,San Mateo
205,1813,444,290,2034,2740,7240,2,San Mateo
206,323,508,121,1388,1880,3678,2,San Mateo
207,563,103,40,2060,2304,4604,2,San Mateo
208,579,1314,0,1261,2212,5283,2,San Mateo
209,1639,1136,25,1904,1739,7766,2,San Mateo
210,1516,193,86,332,544,3285,2,San Mateo
211,3034,858,72,1022,1993,8016,2,San Mateo
212,1136,271,50,827,1395,4203,2,San Mateo
213,1216,1563,52,1472,2904,7086,2,San Mateo
214,970,936,1,1596,2637,6024,2,San Mateo
215,978,509,124,2018,1985,5641,2,San Mateo
216,515,665,31,648,1100,2964,2,San Mateo
217,782,620,12,1224,1758,4180,2,San Mateo
218,308,175,44,1735,1819,3935,2,San Mateo
219,240,312,112,3257,2987,6441,2,San Mateo
220,818,764,71,1568,2088,5668,2,San Mateo
221,1090,654,35,1011,1617,4936,2,San Mateo
222,504,1060,14,625,1781,3966,2,San Mateo
223,473,1330,103,510,1705,4295,2,San Mateo
224,283,1226,3,412,1288,3333,2,San Mateo
225,411,1414,3,224,1635,3550,2,San Mateo
226,512,2587,51,345,2989,6440,2,San Mateo
227,474,1882,0,655,1665,5268,2,San Mateo
228,42,74,17,169,233,378,2,San Mateo
229,745,944,83,1641,2317,5297,2,San Mateo
230,990,830,87,3306,3145,8024,2,San Mateo
231,300,471,88,2432,2416,4965,2,San Mateo
232,676,1069,46,1176,2489,5171,2,San Mateo
233,894,1606,73,1420,2578,7449,2,San Mateo
234,326,384,30,925,882,3132,2,San Mateo
235,467,961,1,553,1469,3378,2,San Mateo
236,571,1613,346,794,2448,5891,2,San Mateo
237,2931,603,4,904,1742,7556,2,San Mateo
238,1057,284,16,785,1137,3030,2,San Mateo
239,0,0,0,0,0,0,2,San Mateo
240,772,749,35,1298,2101,4786,2,San Mateo
241,338,825,4,969,1646,3659,2,San Mateo
242,108,484,0,897,1331,2596,2,San Mateo
243,125,433,11,1103,1263,2990,2,San Mateo
244,522,1184,67,1372,2605,5529,2,San Mateo
245,88,504,15,1246,1739,3378,2,San Mateo
246,307,2284,32,2118,4406,8114,2,San Mateo
247,199,1350,16,629,1900,3874,2,San Mateo
248,255,880,94,518,1545,3260,2,San Mateo
249,708,2236,0,845,2899,6497,2,San Mateo
250,288,1794,25,703,2523,4938,2,San Mateo
251,546,1620,19,883,2246,5411,2,San Mateo
252,200,1982,27,1143,3511,6305,2,San Mateo
253,224,1106,0,165,1278,2618,2,San Mateo
254,141,1681,9,1145,2835,5288,2,San Mateo
255,269,1346,23,398,1698,3502,2,San Mateo
256,360,1077,56,991,1697,4371,2,San Mateo
257,436,835,29,522,1628,3734,2,San Mateo
258,1232,934,81,1031,2117,5503,2,San Mateo
259,1006,1006,63,1019,1189,5430,2,San Mateo
260,2914,711,93,979,1929,7396,2,San Mateo
261,1630,566,0,575,1333,4561,2,San Mateo
262,863,798,45,728,1870,4136,2,San Mateo
263,543,535,0,427,1147,2699,2,San Mateo
264,430,862,26,720,1518,3407,2,San Mateo
265,183,873,101,641,1176,3171,2,San Mateo
266,247,1261,60,2937,3670,8241,2,San Mateo
267,327,733,40,920,1585,3619,2,San Mateo
268,130,506,72,1113,1736,3330,2,San Mateo
269,127,558,55,1566,1725,4055,2,San Mateo
270,104,723,27,870,1416,3224,2,San Mateo
271,305,987,5,1767,1895,5326,2,San Mateo
272,102,423,1,736,1123,2092,2,San Mateo
273,103,716,71,1190,1811,3918,2,San Mateo
274,864,1092,173,961,1836,4736,2,San Mateo
275,476,1104,95,1022,1971,4537,2,San Mateo
276,246,483,7,735,1193,2828,2,San Mateo
277,1089,1107,26,766,1829,4821,2,San Mateo
278,1278,837,50,1674,2516,6597,2,San Mateo
279,745,1130,28,736,1967,4727,2,San Mateo
280,201,1102,0,636,1677,3428,2,San Mateo
281,521,1308,7,783,1942,4581,2,San Mateo
282,189,732,28,469,1165,2576,2,San Mateo
283,270,1074,11,545,1700,3328,2,San Mateo
284,1717,604,13,599,1133,4433,2,San Mateo
285,214,874,16,467,1328,2741,2,San Mateo
286,323,2183,97,1260,3390,7389,2,San Mateo
287,240,838,24,476,1337,2764,2,San Mateo
288,699,1775,54,1427,2834,7414,2,San Mateo
289,446,1861,54,1113,2791,6362,2,San Mateo
290,169,942,16,754,1634,3459,2,San Mateo
291,206,852,2,822,1679,3271,2,San Mateo
292,101,769,27,511,1163,2432,2,San Mateo
293,1076,2131,4,112,2199,5605,2,San Mateo
294,309,3067,0,140,2985,5950,2,San Mateo
295,1032,1315,15,221,1395,3948,2,San Mateo
296,1509,2957,27,180,3185,7630,2,San Mateo
297,725,1652,0,121,1941,4062,2,San Mateo
298,444,3072,5,343,3185,6356,2,San Mateo
299,203,1525,0,101,1528,3006,2,San Mateo
300,71,1316,0,129,1286,2536,2,San Mateo
301,736,1925,207,429,2810,5901,2,San Mateo
302,297,2137,10,356,2347,4820,2,San Mateo
303,423,1560,143,500,2197,4611,2,San Mateo
304,167,2129,37,543,2462,4929,2,San Mateo
305,103,648,34,268,836,1837,2,San Mateo
306,218,1279,20,682,1840,3679,2,San Mateo
307,317,1574,23,673,2513,4894,2,San Mateo
308,269,1594,13,570,2255,4590,2,San Mateo
309,811,2776,57,1097,4201,8856,2,San Mateo
310,154,522,3,341,772,1743,2,San Mateo
311,98,1001,10,1249,2187,4152,2,San Mateo
312,316,1936,33,2199,3470,7972,2,San Mateo
313,1686,704,68,413,737,4441,2,San Mateo
314,2994,314,127,158,661,5822,2,San Mateo
315,865,1005,149,1027,2035,5094,2,San Mateo
316,772,620,15,136,845,2707,2,San Mateo
317,727,1779,28,266,2291,5114,2,San Mateo
318,248,1005,22,369,1477,2836,2,San Mateo
319,312,1313,81,202,1624,3087,2,San Mateo
320,1575,1565,186,428,2134,6046,2,San Mateo
321,173,1207,11,204,1476,2979,2,San Mateo
322,751,1502,44,543,1970,4582,2,San Mateo
323,1718,1113,188,720,1858,5947,2,San Mateo
324,1513,591,32,208,709,3857,2,San Mateo
325,1300,982,120,628,1799,5164,2,San Mateo
326,1119,156,60,65,311,2273,2,San Mateo
327,3093,349,11,189,544,4826,2,San Mateo
328,631,830,0,189,889,2746,2,San Mateo
329,2103,364,62,110,502,3848,2,San Mateo
330,2321,534,30,238,905,4683,2,San Mateo
