TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
1,21025,256,16292,2028,4,672,1773
2,30754,82,21349,3032,8,1470,4813
3,2479,53,1469,551,0,3,403
4,26724,609,17451,3050,0,593,5021
5,15921,2681,6913,3804,0,831,1692
6,3786,75,502,3055,0,41,113
7,6805,510,1486,4639,0,10,160
8,4488,43,770,2779,0,49,847
9,7284,163,894,4132,0,10,2085
10,28660,168,5079,11572,7,874,10960
11,12976,2220,4004,4548,3,344,1857
12,19719,1373,10323,5537,0,856,1630
13,21790,177,17475,1421,2,441,2274
14,32937,53,22225,520,0,6806,3333
15,18207,394,9913,1127,9,4028,2736
16,39305,632,21989,1790,0,1403,13491
17,17137,245,6507,1432,0,2693,6260
18,9935,296,3768,2318,0,691,2862
19,14078,1162,8630,1112,0,457,2717
20,8138,402,3221,1763,0,859,1893
21,12848,277,5531,2836,23,1991,2190
22,16929,315,12033,2488,13,225,1855
23,8627,148,5178,947,0,686,1668
24,18596,659,8672,2857,5,349,6054
25,2109,200,363,1482,0,34,30
26,5480,48,3002,1142,0,175,1113
27,1598,131,61,1380,0,24,2
28,986,9,223,684,0,36,34
29,1701,18,660,990,0,30,3
30,1311,127,265,839,0,15,65
31,2434,19,475,1898,0,12,30
32,2586,304,299,1895,0,15,73
33,1686,105,374,1079,0,48,80
34,1290,161,249,807,0,44,29
35,656,28,369,250,3,5,1
36,2604,291,285,1932,11,59,26
37,3175,120,904,1775,1,166,209
38,1896,263,609,704,0,184,136
39,680,27,112,512,3,11,15
40,2728,243,974,1037,12,422,40
41,6597,998,2632,2580,0,290,97
42,743,6,125,444,0,70,98
43,1784,329,312,910,0,195,38
44,1439,99,467,765,0,26,82
45,3480,265,823,1950,2,150,290
46,2007,33,823,1023,0,63,65
47,3072,123,1015,1743,0,31,160
48,1036,96,234,589,0,84,33
49,1049,2,162,864,0,7,14
50,2378,455,405,1366,0,24,128
51,606,14,62,387,0,53,90
52,6823,384,2201,2222,1,421,1594
53,1205,6,34,1130,0,0,35
54,844,201,73,485,0,48,37
55,289,36,33,195,0,5,20
56,3323,20,177,3124,0,0,2
57,302,0,38,238,0,11,15
58,915,71,99,693,0,19,33
59,1096,33,132,790,1,41,99
60,603,11,32,535,0,1,24
61,825,24,282,492,0,4,23
62,1485,131,204,1043,0,50,57
63,794,82,177,414,0,5,116
64,735,139,66,460,0,3,67
65,1668,228,331,948,3,31,127
66,1689,306,198,1047,16,46,76
67,875,84,70,666,0,14,41
68,911,50,277,535,0,0,49
69,8605,319,303,7931,0,25,27
70,2302,500,563,1045,0,21,173
71,2497,147,486,1782,21,22,39
72,1308,83,256,938,0,7,24
73,1661,284,201,1071,0,25,80
74,3424,226,463,2675,0,24,36
75,4597,480,869,3192,0,7,49
76,3099,60,394,855,0,10,1780
77,2159,181,127,1782,0,36,33
78,1219,2,93,1117,0,5,2
79,9902,207,514,4970,0,370,3841
80,647,17,263,345,0,8,14
81,16979,72,619,16182,0,20,86
82,1491,348,444,629,0,17,53
