ZONE,SD,COUNTY,telecommuteConstant_prev,auto,no tour,non-auto,time-off,telecommute,working,telecommute_rate,auto_share,max_telecommute_rate,telecommuteConstant,CALIB_ITER
1,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
2,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
3,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
4,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
5,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
6,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
7,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
8,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
9,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
10,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
11,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
12,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
13,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
14,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
15,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
16,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
17,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
18,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
19,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
20,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
21,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
22,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
23,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
24,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
25,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
26,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
27,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
28,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
29,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
30,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
31,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
32,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
33,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
34,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
35,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
36,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
37,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
38,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
39,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
40,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
41,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
42,1,1,0,32480,75780,286535,42600.07338,33179.92662,352194.9266,0.094208985,0.092221658,0.273293893,0,1
43,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
44,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
45,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
46,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
47,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
48,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
49,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
50,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
51,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
52,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
53,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
54,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
55,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
56,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
57,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
58,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
59,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
60,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
61,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
62,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
63,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
64,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
65,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
66,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
67,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
68,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
69,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
70,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
71,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
72,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
73,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
74,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
75,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
76,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
77,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
78,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
79,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
80,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
81,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
82,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
83,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
84,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
85,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
86,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
87,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
88,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
89,2,1,0,24530,15270,41470,8769.381486,6500.618514,72500.61851,0.089662939,0.338341941,0.273293893,0,1
90,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
91,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
92,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
93,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
94,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
95,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
96,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
97,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
98,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
99,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
100,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
101,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
102,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
103,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
104,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
105,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
106,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
107,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
108,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
109,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
110,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
111,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
112,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
113,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
114,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
115,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
116,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
117,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
118,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
119,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
120,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
121,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
122,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
123,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
124,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
125,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
126,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
127,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
128,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
129,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
130,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
131,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
132,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
133,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
134,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
135,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
136,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
137,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
138,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
139,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
140,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
141,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
142,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
143,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
144,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
145,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
146,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
147,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
148,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
149,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
150,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
151,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
152,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
153,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
154,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
155,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
156,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
157,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
158,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
159,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
160,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
161,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
162,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
163,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
164,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
165,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
166,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
167,3,1,0,68445,45785,119670,25238.81296,20546.18704,208661.187,0.098466741,0.328019796,0.273293893,0,1
168,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
169,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
170,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
171,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
172,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
173,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
174,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
175,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
176,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
177,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
178,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
179,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
180,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
181,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
182,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
183,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
184,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
185,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
186,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
187,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
188,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
189,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
190,4,1,-0.8,10030,9515,10475,3239.286726,6275.713274,26780.71327,0.234337047,0.374523258,0.273293893,-0.75,1
191,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
192,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
193,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
194,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
195,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
196,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
