ZONE,SD,COUNTY,telecommuteConstant,CALIB_ITER
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
14,1,1,0,0
15,1,1,0,0
16,1,1,0,0
17,1,1,0,0
18,1,1,0,0
19,1,1,0,0
20,1,1,0,0
21,1,1,0,0
22,1,1,0,0
23,1,1,0,0
24,1,1,0,0
25,1,1,0,0
26,1,1,0,0
27,1,1,0,0
28,1,1,0,0
29,1,1,0,0
30,1,1,0,0
31,1,1,0,0
32,1,1,0,0
33,1,1,0,0
34,1,1,0,0
35,1,1,0,0
36,1,1,0,0
37,1,1,0,0
38,1,1,0,0
39,1,1,0,0
40,1,1,0,0
41,1,1,0,0
42,1,1,0,0
43,2,1,0,0
44,2,1,0,0
45,2,1,0,0
46,2,1,0,0
47,2,1,0,0
48,2,1,0,0
49,2,1,0,0
50,2,1,0,0
51,2,1,0,0
52,2,1,0,0
53,2,1,0,0
54,2,1,0,0
55,2,1,0,0
56,2,1,0,0
57,2,1,0,0
58,2,1,0,0
59,2,1,0,0
60,2,1,0,0
61,2,1,0,0
62,2,1,0,0
63,2,1,0,0
64,2,1,0,0
65,2,1,0,0
66,2,1,0,0
67,2,1,0,0
68,2,1,0,0
69,2,1,0,0
70,2,1,0,0
71,2,1,0,0
72,2,1,0,0
73,2,1,0,0
74,2,1,0,0
75,2,1,0,0
76,2,1,0,0
77,2,1,0,0
78,2,1,0,0
79,2,1,0,0
80,2,1,0,0
81,2,1,0,0
82,2,1,0,0
83,2,1,0,0
84,2,1,0,0
85,2,1,0,0
86,2,1,0,0
87,2,1,0,0
88,2,1,0,0
89,2,1,0,0
90,3,1,0,0
91,3,1,0,0
92,3,1,0,0
93,3,1,0,0
94,3,1,0,0
95,3,1,0,0
96,3,1,0,0
97,3,1,0,0
98,3,1,0,0
99,3,1,0,0
100,3,1,0,0
101,3,1,0,0
102,3,1,0,0
103,3,1,0,0
104,3,1,0,0
105,3,1,0,0
106,3,1,0,0
107,3,1,0,0
108,3,1,0,0
109,3,1,0,0
110,3,1,0,0
111,3,1,0,0
112,3,1,0,0
113,3,1,0,0
114,3,1,0,0
115,3,1,0,0
116,3,1,0,0
117,3,1,0,0
118,3,1,0,0
119,3,1,0,0
120,3,1,0,0
121,3,1,0,0
122,3,1,0,0
123,3,1,0,0
124,3,1,0,0
125,3,1,0,0
126,3,1,0,0
127,3,1,0,0
128,3,1,0,0
129,3,1,0,0
130,3,1,0,0
131,3,1,0,0
132,3,1,0,0
133,3,1,0,0
134,3,1,0,0
135,3,1,0,0
136,3,1,0,0
137,3,1,0,0
138,3,1,0,0
139,3,1,0,0
140,3,1,0,0
141,3,1,0,0
142,3,1,0,0
143,3,1,0,0
144,3,1,0,0
145,3,1,0,0
146,3,1,0,0
147,3,1,0,0
148,3,1,0,0
149,3,1,0,0
150,3,1,0,0
151,3,1,0,0
152,3,1,0,0
153,3,1,0,0
154,3,1,0,0
155,3,1,0,0
156,3,1,0,0
157,3,1,0,0
158,3,1,0,0
159,3,1,0,0
160,3,1,0,0
161,3,1,0,0
162,3,1,0,0
163,3,1,0,0
164,3,1,0,0
165,3,1,0,0
166,3,1,0,0
167,3,1,0,0
168,4,1,-0.45,0
169,4,1,-0.45,0
170,4,1,-0.45,0
171,4,1,-0.45,0
172,4,1,-0.45,0
173,4,1,-0.45,0
174,4,1,-0.45,0
175,4,1,-0.45,0
176,4,1,-0.45,0
177,4,1,-0.45,0
178,4,1,-0.45,0
179,4,1,-0.45,0
180,4,1,-0.45,0
181,4,1,-0.45,0
182,4,1,-0.45,0
183,4,1,-0.45,0
184,4,1,-0.45,0
185,4,1,-0.45,0
186,4,1,-0.45,0
187,4,1,-0.45,0
188,4,1,-0.45,0
189,4,1,-0.45,0
190,4,1,-0.45,0
191,5,2,-0.7,0
192,5,2,-0.7,0
193,5,2,-0.7,0
194,5,2,-0.7,0
195,5,2,-0.7,0
196,5,2,-0.7,0
197,5,2,-0.7,0
198,5,2,-0.7,0
199,5,2,-0.7,0
200,5,2,-0.7,0
201,5,2,-0.7,0
202,5,2,-0.7,0
203,5,2,-0.7,0
204,5,2,-0.7,0
205,5,2,-0.7,0
206,5,2,-0.7,0
207,5,2,-0.7,0
208,5,2,-0.7,0
209,5,2,-0.7,0
210,5,2,-0.7,0
211,5,2,-0.7,0
212,5,2,-0.7,0
213,5,2,-0.7,0
214,5,2,-0.7,0
215,5,2,-0.7,0
216,5,2,-0.7,0
217,5,2,-0.7,0
218,5,2,-0.7,0
219,5,2,-0.7,0
220,5,2,-0.7,0
221,5,2,-0.7,0
222,5,2,-0.7,0
223,5,2,-0.7,0
224,5,2,-0.7,0
225,5,2,-0.7,0
226,5,2,-0.7,0
227,5,2,-0.7,0
228,5,2,-0.7,0
229,5,2,-0.7,0
230,5,2,-0.7,0
231,5,2,-0.7,0
232,5,2,-0.7,0
233,5,2,-0.7,0
234,5,2,-0.7,0
235,5,2,-0.7,0
236,5,2,-0.7,0
237,5,2,-0.7,0
238,5,2,-0.7,0
239,5,2,-0.7,0
240,5,2,-0.7,0
241,5,2,-0.7,0
242,5,2,-0.7,0
243,5,2,-0.7,0
244,5,2,-0.7,0
245,5,2,-0.7,0
246,5,2,-0.7,0
247,5,2,-0.7,0
248,5,2,-0.7,0
249,6,2,-0.7,0
250,6,2,-0.7,0
251,6,2,-0.7,0
252,6,2,-0.7,0
253,6,2,-0.7,0
254,6,2,-0.7,0
255,6,2,-0.7,0
256,6,2,-0.7,0
257,6,2,-0.7,0
258,6,2,-0.7,0
259,6,2,-0.7,0
260,6,2,-0.7,0
261,6,2,-0.7,0
262,6,2,-0.7,0
263,6,2,-0.7,0
264,6,2,-0.7,0
265,6,2,-0.7,0
266,6,2,-0.7,0
267,6,2,-0.7,0
268,6,2,-0.7,0
269,6,2,-0.7,0
270,6,2,-0.7,0
271,6,2,-0.7,0
272,6,2,-0.7,0
273,6,2,-0.7,0
274,6,2,-0.7,0
275,6,2,-0.7,0
276,6,2,-0.7,0
277,6,2,-0.7,0
278,6,2,-0.7,0
279,6,2,-0.7,0
280,6,2,-0.7,0
281,6,2,-0.7,0
282,6,2,-0.7,0
283,6,2,-0.7,0
284,6,2,-0.7,0
285,6,2,-0.7,0
286,6,2,-0.7,0
287,6,2,-0.7,0
288,6,2,-0.7,0
289,6,2,-0.7,0
290,6,2,-0.7,0
291,6,2,-0.7,0
292,6,2,-0.7,0
293,6,2,-0.7,0
294,6,2,-0.7,0
295,6,2,-0.7,0
296,6,2,-0.7,0
297,7,2,-0.7,0
298,7,2,-0.7,0
299,7,2,-0.7,0
300,7,2,-0.7,0
301,7,2,-0.7,0
302,7,2,-0.7,0
303,7,2,-0.7,0
304,7,2,-0.7,0
305,7,2,-0.7,0
306,7,2,-0.7,0
307,7,2,-0.7,0
308,7,2,-0.7,0
309,7,2,-0.7,0
310,7,2,-0.7,0
311,7,2,-0.7,0
312,7,2,-0.7,0
313,7,2,-0.7,0
314,7,2,-0.7,0
315,7,2,-0.7,0
316,7,2,-0.7,0
317,7,2,-0.7,0
318,7,2,-0.7,0
319,7,2,-0.7,0
320,7,2,-0.7,0
321,7,2,-0.7,0
322,7,2,-0.7,0
323,7,2,-0.7,0
324,7,2,-0.7,0
325,7,2,-0.7,0
326,7,2,-0.7,0
327,7,2,-0.7,0
328,7,2,-0.7,0
329,7,2,-0.7,0
330,7,2,-0.7,0
331,7,2,-0.7,0
332,7,2,-0.7,0
333,7,2,-0.7,0
334,7,2,-0.7,0
335,7,2,-0.7,0
336,7,2,-0.7,0
337,7,2,-0.7,0
338,7,2,-0.7,0
339,7,2,-0.7,0
340,7,2,-0.7,0
341,7,2,-0.7,0
342,7,2,-0.7,0
343,7,2,-0.7,0
344,7,2,-0.7,0
345,7,2,-0.7,0
346,7,2,-0.7,0
347,8,3,-0.8,0
348,8,3,-0.8,0
349,8,3,-0.8,0
350,8,3,-0.8,0
351,8,3,-0.8,0
352,8,3,-0.8,0
353,8,3,-0.8,0
354,8,3,-0.8,0
355,8,3,-0.8,0
356,8,3,-0.8,0
357,8,3,-0.8,0
358,8,3,-0.8,0
359,8,3,-0.8,0
360,8,3,-0.8,0
361,8,3,-0.8,0
362,8,3,-0.8,0
