Station Code,Station Name,GTFS_stop_id
RM,Richmond,RICH
EN,El Cerrito Del Norte,DELN
EP,El Cerrito Plaza,PLZA
NB,North Berkeley,NBRK
BK,Berkeley,DBRK
AS,Ashby,ASHB
MA,MacArthur,MCAR
19,19th Street Oakland,19TH
12,12th Street/Oakland City Center,12TH
LM,Lake Merritt,LAKE
FV,Fruitvale,FTVL
CL,Coliseum,COLS
SL,San Leandro,SANL
BF,Bayfair,BAYF
HY,Hayward,HAYW
SH,South Hayward,SHAY
UC,Union City,UCTY
FM,Fremont,FRMT
CN,Concord,CONC
PH,Pleasant Hill,PHIL
WC,Walnut Creek,WCRK
LF,Lafayette,LAFY
OR,Orinda,ORIN
RR,Rockridge,ROCK
OW,West Oakland,WOAK
EM,Embarcadero,EMBR
MT,Montgomery Street,MONT
PL,Powell Street,POWL
CC,Civic Center,CIVC
16,16th Street Mission,16TH
24,24th Street Mission,24TH
GP,Glen Park,GLEN
BP,Balboa Park,BALB
DC,Daly City,DALY
CM,Colma,COLM
CV,Castro Valley,CAST
ED,Dublin/Pleasanton,DUBL
NC,North Concord,NCON
WP,Pittsburg/Bay Point,PITT
SS,South San Francisco,SSAN
SB,San Bruno,SBRN
SO,San Francisco International Airport,SFIA
MB,Millbrae,MILBR
WD,West Dublin/Pleasanton,WDUB
OA,Oakland International Airport,OAKL
WS,Warm Springs,WARM
AN,Antioch,ANTC
PC,Pittsburg Center,PCTR
ML,Milpitas,MLPT
BE,Berryessa,BERY
