model_name,target,model_type,features,n_features,description,tags,r2,adj_r2,aic,bic,n_obs,mean_observed,mean_predicted,total_observed,total_predicted,bias,total_bias,mae,rmse,rank_rmse,rank_mae,rank_bic,rank_adj_r2,overall_rank_score
TM-1.7 - Heavy Truck - Freight - Attraction,"HT_FR_CA_OFF_attraction +  HT_FR_CA_AM_attraction +  HT_FR_CA_MID_attraction +  HT_FR_CA_PM_attraction +  HT_FR_EXT_OFF_attraction + HT_FR_EXT_AM_attraction + HT_FR_EXT_MID_attraction +   HT_FR_EXT_PM_attraction
",ols,"TOTEMP, np.sqrt(MWTEMPN), RETEMPN, FPSEMPN * CIACRE / 1_000_000, MWTEMPN / CIACRE",5,Large garage TM1.6 model specs. Lines 95 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1 1,"attraction, heavy, freight",0.662162503,0.660996742,10739.26938,10765.67975,1454,7.817104231,7.884479688,11366.06955,11464.03347,-0.067375457,98,4.569847662,9.685514355,1,2,1,1,5
TM-1.6 - Heavy Truck - Freight - Attraction,"HT_FR_CA_OFF_attraction +  HT_FR_CA_AM_attraction +  HT_FR_CA_MID_attraction +  HT_FR_CA_PM_attraction +  HT_FR_EXT_OFF_attraction + HT_FR_EXT_AM_attraction + HT_FR_EXT_MID_attraction +   HT_FR_EXT_PM_attraction
",ols,TOTEMP,1,Large garage TM1.6 model specs. Lines 95 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1 1,"attraction, heavy, freight",0.547849624,0.54753844,11155.03741,11160.31948,1454,7.817104231,6.295401156,11366.06955,9153.513281,1.521703075,-2212.556271,4.467162879,11.20495746,2,1,2,2,7
TM-1.7 - Heavy Truck - Freight - Production,"HT_FR_CA_OFF_production +  HT_FR_CA_AM_production +  HT_FR_CA_MID_production +  HT_FR_CA_PM_production +  HT_FR_EXT_OFF_production + HT_FR_EXT_AM_production + HT_FR_EXT_MID_production +   HT_FR_EXT_PM_production
",ols,"AGREMPN * MWTEMPN / 1_000_000, AGREMPN * CIACRE / 1_000_000, np.sqrt(OTHEMPN), MWTEMPN * CIACRE / 1_000_000",4,Large garage TM1.6 model specs. Lines 89-90 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"production, heavy, freight",0.266434088,0.264410458,14881.10982,14902.23811,1454,7.817104609,7.565698283,11366.0701,11000.5253,0.251406326,-366,7.844157044,40.27016701,1,1,1,1,4
TM-1.6 - Heavy Truck - Freight - Production,"HT_FR_CA_OFF_production +  HT_FR_CA_AM_production +  HT_FR_CA_MID_production +  HT_FR_CA_PM_production +  HT_FR_EXT_OFF_production + HT_FR_EXT_AM_production + HT_FR_EXT_MID_production +   HT_FR_EXT_PM_production
",ols,"RETEMPN, FPSEMPN, HEREMPN, OTHEMPN, AGREMPN, MWTEMPN",6,Large garage TM1.6 model specs. Lines 89-90 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"production, heavy, freight",0.200583149,0.197270648,15010.10303,15041.79547,1454,7.817104609,8.477734392,11366.0701,12326.62581,-0.660629783,960.5557049,9.212356168,42.03881923,2,2,2,2,8
TM-1.7 - Heavy Truck - Non-Freight - Attraction,HT_NF_CA_OFF_attraction + HT_NF_CA_AM_attraction + HT_NF_CA_MID_attraction + HT_NF_CA_PM_attraction,ols,"TOTEMP, np.sqrt(FPSEMPN), np.sqrt(HEREMPN), HEREMPN * CIACRE / 1_000_000, RETEMPN",5,Large non-garage TM1.6 model specs. Line 80 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, heavy, non-freight",0.870909671,0.870464224,9553.320712,9579.73108,1454,11.38950446,11.41327637,16560.33949,16594.90384,-0.023771902,35,3.420279718,6.441803946,1,1,1,1,4
TM-1.6 - Heavy Truck - Non-Freight - Attraction,HT_NF_CA_OFF_attraction + HT_NF_CA_AM_attraction + HT_NF_CA_MID_attraction + HT_NF_CA_PM_attraction,ols,TOTEMP,1,Large non-garage TM1.6 model specs. Line 80 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, heavy, non-freight",0.775637359,0.775482946,10349.02109,10354.30316,1454,11.38950446,8.059608932,16560.33949,11718.67139,3.329895533,-4841.668104,4.816231275,8.492507133,2,2,2,2,8
TM-1.7 - Heavy Truck - Non-Freight - Production,HT_NF_CA_OFF_production + HT_NF_CA_AM_production + HT_NF_CA_MID_production + HT_NF_CA_PM_production,ols,"RETEMPN, FPSEMPN, RETEMPN / TOTEMP, FPSEMPN / TOTEMP, np.sqrt(TOTEMP)",5,Large non-garage TM1.6 model specs. Line 74 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, heavy, non-freight",0.866350113,0.865888933,9604.652406,9631.062774,1454,11.38950728,11.40290745,16560.34358,16579.82743,-0.01340017,19,3.389805109,6.556523485,1,1,1,1,4
TM-1.6 - Heavy Truck - Non-Freight - Production,HT_NF_CA_OFF_production + HT_NF_CA_AM_production + HT_NF_CA_MID_production + HT_NF_CA_PM_production,ols,TOTEMP,1,Large non-garage TM1.6 model specs. Line 74 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, heavy, non-freight",0.775571147,0.775416688,10350.31171,10355.59378,1454,11.38950728,8.061653108,16560.34358,11721.64362,3.327854168,-4838.699961,4.816516866,8.49627709,2,2,2,2,8
TM-1.7 - Small Truck - Freight - Attraction,"LT_FR_CA_OFF_attraction +  LT_FR_CA_AM_attraction + LT_FR_CA_MID_attraction + LT_FR_CA_PM_attraction 
",ols,"np.sqrt(MWTEMPN), HEREMPN * CIACRE / 1_000_000, RETEMPN, FPSEMPN, FPSEMPN * CIACRE / 1_000_000",5,Small garage TM1.6 model specs. Line 93in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"attraction, small, freight",0.631597466,0.630326235,6247.795252,6274.20562,1454,1.518472796,1.517440447,2207.859445,2206.35841,0.001032349,-2,0.981527363,2.067020042,1,2,1,1,5
TM-1.6 - Small Truck - Freight - Attraction,"LT_FR_CA_OFF_attraction +  LT_FR_CA_AM_attraction + LT_FR_CA_MID_attraction + LT_FR_CA_PM_attraction 
",ols,TOTEMP,1,Small garage TM1.6 model specs. Line 93in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"attraction, small, freight",0.525372906,0.525046253,6608.170873,6613.452947,1454,1.518472796,1.259914809,2207.859445,1831.916132,0.258557987,-375.9433128,0.948185814,2.346170913,2,1,2,2,7
TM-1.7 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",ols,"RETEMPN, FPSEMPN * CIACRE / 1_000_000, HEREMPN, OTHEMPN, AGREMPN",5,Small garage TM1.6 model specs. Lines 83-84 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,,0.174834026,0.171986663,11455.9827,11482.39307,1454,1.518472848,1.520218607,2207.859521,2210.397855,-0.001745759,3,2.068621274,12.39253199,1,1,1,1,4
TM-1.6 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",ols,"RETEMPN, FPSEMPN, HEREMPN, OTHEMPN, AGREMPN, MWTEMPN",6,Small garage TM1.6 model specs. Lines 83-84 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,,0.135198604,0.131615173,11526.1976,11557.89004,1454,1.518472848,1.743771256,2207.859521,2535.443406,-0.225298407,327.5838844,2.2482981,12.68666827,2,2,2,2,8
TM-1.7 - Small Truck - Non-Freight - Attraction,LT_NF_CA_OFF_attraction + LT_NF_CA_AM_attraction + LT_NF_CA_MID_attraction + LT_NF_CA_PM_attraction,ols,"HHPOP, np.sqrt(HEREMPN), np.sqrt(RETEMPN)",3,Small non-garage TM1.6 model specs. Line 78 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, small, non-freight",0.894969222,0.894752067,17657.4828,17673.32902,1454,272.0186445,272.9106944,395515.1092,396812.1497,-0.892049872,1297,74.27315128,104.6932787,1,1,1,1,4
TM-1.6 - Small Truck - Non-Freight - Attraction,LT_NF_CA_OFF_attraction + LT_NF_CA_AM_attraction + LT_NF_CA_MID_attraction + LT_NF_CA_PM_attraction,ols,TOTEMP,1,Small non-garage TM1.6 model specs. Line 78 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, small, non-freight",0.28326352,0.282770239,20445.8241,20451.10617,1454,272.0186445,87.75660132,395515.1092,127598.0983,184.2620432,-267917.0109,220.9815759,273.4892528,2,2,2,2,8
TM-1.7 - Small Truck - Non-Freight - Production,LT_NF_CA_OFF_production + LT_NF_CA_AM_production + LT_NF_CA_MID_production + LT_NF_CA_PM_production,ols,"TOTHH, np.sqrt(TOTEMP), RETEMPN / TOTEMP, FPSEMPN / TOTEMP, HEREMPN / TOTEMP, AGREMPN / TOTEMP, MWTEMPN / CIACRE, OTHEMPN / CIACRE",8,Small non-garage TM1.6 model specs. Line 72 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, small, non-freight",0.881616126,0.880961166,17845.96634,17888.22293,1454,272.0186301,271.9851781,395515.0881,395466.449,0.033451966,-49,80.20203949,111.3203024,1,1,1,1,4
TM-1.6 - Small Truck - Non-Freight - Production,LT_NF_CA_OFF_production + LT_NF_CA_AM_production + LT_NF_CA_MID_production + LT_NF_CA_PM_production,ols,TOTEMP,1,Small non-garage TM1.6 model specs. Line 72 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, small, non-freight",0.282443706,0.281949861,20451.9564,20457.23847,1454,272.0186301,87.76432449,395515.0881,127609.3278,184.2543056,-267905.7603,221.1212513,274.0665871,2,2,2,2,8
TM-1.7 - Medium Truck - Freight - Attraction,"MT1_FR_CA_OFF_attraction +  MT1_FR_CA_AM_attraction +  MT1_FR_CA_MID_attraction +  MT1_FR_CA_PM_attraction + MT1_FR_EXT_OFF_attraction + MT1_FR_EXT_AM_attraction + MT1_FR_EXT_MID_attraction + MT1_FR_EXT_PM_attraction + MT2_FR_CA_OFF_attraction + MT2_FR_CA_AM_attraction + MT2_FR_CA_MID_attraction + MT2_FR_CA_PM_attraction + MT2_FR_EXT_OFF_attraction +  MT2_FR_EXT_AM_attraction + MT2_FR_EXT_MID_attraction + MT2_FR_EXT_PM_attraction
",ols,"np.sqrt(MWTEMPN), HEREMPN * CIACRE / 1_000_000, FPSEMPN, RETEMPN, FPSEMPN * CIACRE / 1_000_000",5,Medium garage TM1.6 model specs. Line 94 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"attraction, medium, freight",0.665620932,0.664467105,11195.70145,11222.11181,1454,8.997269544,9.037851444,13082.02992,13141.036,-0.040581899,59,5.376799521,11.33152638,1,2,1,1,5
TM-1.6 - Medium Truck - Freight - Attraction,"MT1_FR_CA_OFF_attraction +  MT1_FR_CA_AM_attraction +  MT1_FR_CA_MID_attraction +  MT1_FR_CA_PM_attraction + MT1_FR_EXT_OFF_attraction + MT1_FR_EXT_AM_attraction + MT1_FR_EXT_MID_attraction + MT1_FR_EXT_PM_attraction + MT2_FR_CA_OFF_attraction + MT2_FR_CA_AM_attraction + MT2_FR_CA_MID_attraction + MT2_FR_CA_PM_attraction + MT2_FR_EXT_OFF_attraction +  MT2_FR_EXT_AM_attraction + MT2_FR_EXT_MID_attraction + MT2_FR_EXT_PM_attraction
",ols,TOTEMP,1,Medium garage TM1.6 model specs. Line 94 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"attraction, medium, freight",0.548727033,0.548416453,11623.60646,11628.88853,1454,8.997269544,7.409194791,13082.02992,10772.96923,1.588074754,-2309.060692,5.253731607,13.16401995,2,1,2,2,7
TM-1.7 - Medium Truck - Freight - Production,"MT1_FR_CA_OFF_production +  MT1_FR_CA_AM_production +  MT1_FR_CA_MID_production +  MT1_FR_CA_PM_production + MT1_FR_EXT_OFF_production + MT1_FR_EXT_AM_production + MT1_FR_EXT_MID_production + MT1_FR_EXT_PM_production + MT2_FR_CA_OFF_production + MT2_FR_CA_AM_production + MT2_FR_CA_MID_production + MT2_FR_CA_PM_production + MT2_FR_EXT_OFF_production +  MT2_FR_EXT_AM_production + MT2_FR_EXT_MID_production + MT2_FR_EXT_PM_production
",ols,"MWTEMPN * AGREMPN / 1_000_000, MWTEMPN * CIACRE / 1_000_000, AGREMPN, np.sqrt(CIACRE)",4,Medium garage TM1.6 model specs. Lines 86-87 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"production, medium, freight",0.24184944,0.23975799,15560.39466,15581.52296,1454,8.997270097,8.986323056,13082.03072,13066.11372,0.010947042,-16,10.5089339,50.86640492,1,1,1,1,4
TM-1.6 - Medium Truck - Freight - Production,"MT1_FR_CA_OFF_production +  MT1_FR_CA_AM_production +  MT1_FR_CA_MID_production +  MT1_FR_CA_PM_production + MT1_FR_EXT_OFF_production + MT1_FR_EXT_AM_production + MT1_FR_EXT_MID_production + MT1_FR_EXT_PM_production + MT2_FR_CA_OFF_production + MT2_FR_CA_AM_production + MT2_FR_CA_MID_production + MT2_FR_CA_PM_production + MT2_FR_EXT_OFF_production +  MT2_FR_EXT_AM_production + MT2_FR_EXT_MID_production + MT2_FR_EXT_PM_production
",ols,"RETEMPN, FPSEMPN, HEREMPN, OTHEMPN, AGREMPN, MWTEMPN",6,Medium garage TM1.6 model specs. Lines 86-87 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"production, medium, freight",0.180896005,0.177501928,15676.83111,15708.52356,1454,8.997270097,9.788817694,13082.03072,14232.94093,-0.791547597,1150.910205,11.28825186,52.8716466,2,2,2,2,8
TM-1.7 - Medium Truck - Non-Freight - Attraction,"MT1_NF_CA_OFF_attraction +  MT1_NF_CA_AM_attraction +  MT1_NF_CA_MID_attraction +  MT1_NF_CA_PM_attraction +  MT2_NF_CA_OFF_attraction +  MT2_NF_CA_AM_attraction +  MT2_NF_CA_MID_attraction +  MT2_NF_CA_PM_attraction
",ols,"HHPOP, np.sqrt(TOTEMP)",2,Medium non-garage TM1.6 model specs. Line 79 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, medium, non-freight",0.900453319,0.900316203,13441.54001,13452.10415,1454,66.02768992,66.33911695,96004.26114,96457.07604,-0.311427029,453,17.53511378,24.58038277,1,1,1,1,4
TM-1.6 - Medium Truck - Non-Freight - Attraction,"MT1_NF_CA_OFF_attraction +  MT1_NF_CA_AM_attraction +  MT1_NF_CA_MID_attraction +  MT1_NF_CA_PM_attraction +  MT2_NF_CA_OFF_attraction +  MT2_NF_CA_AM_attraction +  MT2_NF_CA_MID_attraction +  MT2_NF_CA_PM_attraction
",ols,TOTEMP,1,Medium non-garage TM1.6 model specs. Line 79 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, medium, non-freight",0.359065323,0.358624212,16147.32545,16152.60752,1454,66.02768992,23.8279096,96004.26114,34645.78056,42.19978032,-61358.48058,50.44309677,62.37091771,2,2,2,2,8
TM-1.7 - Medium Truck - Non-Freight - Production,"MT1_NF_CA_OFF_production +  MT1_NF_CA_AM_production +  MT1_NF_CA_MID_production +  MT1_NF_CA_PM_production +  MT2_NF_CA_OFF_production +  MT2_NF_CA_AM_production +  MT2_NF_CA_MID_production +  MT2_NF_CA_PM_production
",ols,"TOTHH, np.sqrt(TOTEMP), RETEMPN / TOTEMP, HEREMPN / TOTEMP, MWTEMPN / TOTEMP, OTHEMPN / TOTEMP",6,Medium non-garage TM1.6 model specs. Line 73 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, medium, non-freight",0.889882873,0.889426587,13600.54401,13632.23645,1454,66.027696,66.36320935,96004.26998,96492.1064,-0.335513354,488,18.705949,25.89049147,1,1,1,1,4
TM-1.6 - Medium Truck - Non-Freight - Production,"MT1_NF_CA_OFF_production +  MT1_NF_CA_AM_production +  MT1_NF_CA_MID_production +  MT1_NF_CA_PM_production +  MT2_NF_CA_OFF_production +  MT2_NF_CA_AM_production +  MT2_NF_CA_MID_production +  MT2_NF_CA_PM_production
",ols,TOTEMP,1,Medium non-garage TM1.6 model specs. Line 73 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, medium, non-freight",0.358088912,0.357647129,16153.80819,16159.09027,1454,66.027696,23.83045076,96004.26998,34649.47541,42.19724524,-61354.79457,50.47666151,62.51011496,2,2,2,2,8
