TAZ1454,LT_FR_CA_OFF_production,LT_FR_CA_OFF_attraction,LT_FR_CA_AM_production,LT_FR_CA_AM_attraction,LT_FR_CA_MID_production,LT_FR_CA_MID_attraction,LT_FR_CA_PM_production,LT_FR_CA_PM_attraction,MT1_FR_CA_OFF_production,MT1_FR_CA_OFF_attraction,MT1_FR_CA_AM_production,MT1_FR_CA_AM_attraction,MT1_FR_CA_MID_production,MT1_FR_CA_MID_attraction,MT1_FR_CA_PM_production,MT1_FR_CA_PM_attraction,MT2_FR_CA_OFF_production,MT2_FR_CA_OFF_attraction,MT2_FR_CA_AM_production,MT2_FR_CA_AM_attraction,MT2_FR_CA_MID_production,MT2_FR_CA_MID_attraction,MT2_FR_CA_PM_production,MT2_FR_CA_PM_attraction,HT_FR_CA_OFF_production,HT_FR_CA_OFF_attraction,HT_FR_CA_AM_production,HT_FR_CA_AM_attraction,HT_FR_CA_MID_production,HT_FR_CA_MID_attraction,HT_FR_CA_PM_production,HT_FR_CA_PM_attraction,MT1_FR_EXT_OFF_production,MT1_FR_EXT_OFF_attraction,MT1_FR_EXT_AM_production,MT1_FR_EXT_AM_attraction,MT1_FR_EXT_MID_production,MT1_FR_EXT_MID_attraction,MT1_FR_EXT_PM_production,MT1_FR_EXT_PM_attraction,MT2_FR_EXT_OFF_production,MT2_FR_EXT_OFF_attraction,MT2_FR_EXT_AM_production,MT2_FR_EXT_AM_attraction,MT2_FR_EXT_MID_production,MT2_FR_EXT_MID_attraction,MT2_FR_EXT_PM_production,MT2_FR_EXT_PM_attraction,HT_FR_EXT_OFF_production,HT_FR_EXT_OFF_attraction,HT_FR_EXT_AM_production,HT_FR_EXT_AM_attraction,HT_FR_EXT_MID_production,HT_FR_EXT_MID_attraction,HT_FR_EXT_PM_production,HT_FR_EXT_PM_attraction,LT_NF_CA_OFF_production,LT_NF_CA_OFF_attraction,LT_NF_CA_AM_production,LT_NF_CA_AM_attraction,LT_NF_CA_MID_production,LT_NF_CA_MID_attraction,LT_NF_CA_PM_production,LT_NF_CA_PM_attraction,MT1_NF_CA_OFF_production,MT1_NF_CA_OFF_attraction,MT1_NF_CA_AM_production,MT1_NF_CA_AM_attraction,MT1_NF_CA_MID_production,MT1_NF_CA_MID_attraction,MT1_NF_CA_PM_production,MT1_NF_CA_PM_attraction,MT2_NF_CA_OFF_production,MT2_NF_CA_OFF_attraction,MT2_NF_CA_AM_production,MT2_NF_CA_AM_attraction,MT2_NF_CA_MID_production,MT2_NF_CA_MID_attraction,MT2_NF_CA_PM_production,MT2_NF_CA_PM_attraction,HT_NF_CA_OFF_production,HT_NF_CA_OFF_attraction,HT_NF_CA_AM_production,HT_NF_CA_AM_attraction,HT_NF_CA_MID_production,HT_NF_CA_MID_attraction,HT_NF_CA_PM_production,HT_NF_CA_PM_attraction
1,1.1796687,2.486907,0.7657908,1.6157005,1.1515565,2.4397228,0.734278,1.5577929,6.657431,11.669618,4.331912,7.593562,6.545522,11.4903555,4.1851735,7.3468313,2.1213126,3.7490342,1.3792747,2.4372537,2.077674,3.6788363,1.3277338,2.3513918,4.2119265,13.158772,2.7398896,8.562666,4.1339307,12.958784,2.642488,8.285473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.164543,28.517544,18.31957,18.545225,27.7972,28.142712,17.763233,17.98676,6.395744,6.4762506,4.161332,4.2134767,6.314606,6.391803,4.0364923,4.08771,10.119781,10.157352,6.5816655,6.6033254,9.988945,10.024027,6.383239,6.4069543,17.970741,18.069624,11.686586,11.751342,17.734623,17.832733,11.335705,11.3950405
2,2.471459,5.022863,1.6039273,3.2626462,2.4108706,4.925654,1.5372392,3.1438515,14.085553,24.089682,9.164907,15.6729765,13.84116,23.70694,8.850542,15.156326,4.488755,7.6189303,2.9174695,4.9512124,4.3926926,7.4711494,2.8055086,4.7729616,9.056548,27.18084,5.8922586,17.68639,8.883442,26.754656,5.680359,17.107975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.744854,64.31549,41.45706,41.830437,62.914276,63.47442,40.20587,40.57121,14.333615,14.472791,9.327902,9.410807,14.149448,14.282726,9.045935,9.128973,22.042034,22.055206,14.333738,14.346108,21.751362,21.767958,13.901659,13.908566,38.67452,38.769444,25.148777,25.214628,38.16893,38.261803,24.394447,24.45596
3,0.13300002,0.20850307,0.086,0.13590199,0.12910001,0.204803,0.081999995,0.13130191,0.8191031,1.098012,0.53180206,0.7137078,0.800403,1.0794127,0.5104019,0.6896077,0.2287,0.2822061,0.148,0.18370399,0.22210002,0.277106,0.14119999,0.17740394,0.8620031,1.1964121,0.559702,0.77770764,0.84240305,1.1760126,0.53760195,0.75110775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.662121,12.788411,8.236545,8.319134,12.495319,12.623696,7.9890394,8.068532,2.693347,2.7218769,1.7505308,1.7703885,2.6588464,2.68778,1.7000299,1.7189894,2.6727262,2.6803901,1.741517,1.7474928,2.6380258,2.6464896,1.6860166,1.6913934,4.2098417,4.234089,2.741727,2.754091,4.1568413,4.176886,2.6571264,2.6701903
4,0.8573577,1.4321401,0.55587107,0.9306257,0.8354118,1.4059786,0.53284824,0.8977666,4.1543846,6.347084,2.7033672,4.129075,4.0800724,6.2490344,2.6107268,3.9954002,1.5291872,2.0362093,0.99359345,1.3220959,1.4952697,1.9965947,0.9552604,1.2741688,3.510282,6.742016,2.2831254,4.3864923,3.4447954,6.6380596,2.203962,4.2454586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.594826,26.620996,17.296879,17.314709,26.248577,26.273056,16.774632,16.790674,5.9171057,5.927706,3.8501189,3.8548255,5.8449287,5.850697,3.7342908,3.7394764,8.640718,8.543659,5.6187906,5.557844,8.529171,8.435978,5.4475937,5.3907156,14.967888,14.829085,9.731459,9.641206,14.772151,14.637047,9.441824,9.352311
5,1.1616547,3.5059068,0.75353694,2.279007,1.1328003,3.4431713,0.7224594,2.200163,5.921404,15.727045,3.851791,10.232801,5.815615,15.500091,3.718329,9.908871,2.2101464,5.0768366,1.4367287,3.30174,2.1635633,4.9902544,1.3815608,3.188861,5.8954763,16.252314,3.834513,10.574077,5.790062,16.017668,3.7016747,10.240611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.911514,51.649292,33.111496,33.592777,50.246643,50.976566,32.110817,32.578568,11.477195,11.644054,7.463277,7.5742636,11.329169,11.493871,7.240899,7.345418,16.079323,16.114763,10.456367,10.478597,15.868867,15.907332,10.141958,10.164936,28.43814,28.5544,18.49012,18.56714,28.064774,28.181643,17.937746,18.009785
6,3.6805367,0.41730615,2.395524,0.27130398,3.622836,0.41020596,2.3162231,0.26190397,15.229208,2.061723,9.905069,1.3401134,15.010706,2.0260215,9.593468,1.2941133,4.4644275,0.5183093,2.904618,0.33710602,4.394327,0.5096091,2.8106172,0.3255058,17.029118,2.224025,11.075479,1.4455149,16.785618,2.1864252,10.727575,1.3962156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.090164,68.78196,44.280556,44.73237,67.200645,67.88243,42.94683,43.383575,14.845453,15.001875,9.654566,9.756539,14.651852,14.806267,9.36336,9.462523,3.6233354,3.6354845,2.3588228,2.3684916,3.5761342,3.5869825,2.2857223,2.2933908,6.0115595,6.0440784,3.909639,3.9291854,5.932559,5.963579,3.791638,3.8126876
7,0.1793,0.7523058,0.116,0.488904,0.17420001,0.73840606,0.1107,0.4714035,0.99590933,3.8525236,0.647606,2.5057206,0.97560894,3.791234,0.62250566,2.4230175,0.3452,1.1737118,0.22400004,0.76230747,0.3364,1.1509124,0.2146,0.7345078,1.1951094,4.078727,0.777406,2.6532238,1.1710091,4.0142365,0.7483057,2.5660193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.91103,84.74679,54.56954,55.112755,82.81291,83.63625,52.924103,53.450665,18.351114,18.539354,11.935304,12.058397,18.111412,18.296448,11.573799,11.694303,4.585545,4.58288,2.9834292,2.9799895,4.524944,4.522979,2.8930283,2.8901908,7.8325777,7.841973,5.0929503,5.0960827,7.731676,7.738175,4.940249,4.945784
8,0.16690001,0.4239062,0.108,0.27550402,0.16209999,0.41570595,0.103099994,0.26550397,0.94160306,2.4201133,0.611602,1.5723076,0.9209031,2.3739176,0.58750194,1.5156082,0.33630002,0.63070613,0.21800002,0.40920404,0.3274,0.61730605,0.20860001,0.3936036,1.1378094,2.723916,0.73940605,1.770108,1.113309,2.6719208,0.71110576,1.7061089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08011,129.33562,83.29393,84.1098,126.40758,127.645325,80.783394,81.576096,27.922882,28.20469,18.161114,18.342073,27.558376,27.8358,17.612804,17.789478,3.2545319,3.2443893,2.121521,2.1137915,3.2137315,3.2024913,2.05432,2.0478935,5.317153,5.3092804,3.4601345,3.452988,5.248252,5.2408814,3.353833,3.3462882
9,0.3184,1.631025,0.20599999,1.0593153,0.3094,1.5997242,0.1966,1.021116,1.7723093,6.9194555,1.151206,4.502838,1.7335091,6.8142457,1.1064057,4.3593373,0.5832,2.1396308,0.37800002,1.3906193,0.5677,2.1001313,0.3615,1.3415192,2.0760095,7.266864,1.348906,4.72754,2.031609,7.15545,1.2965057,4.5756435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.82431,165.45377,106.54043,107.60165,161.68137,163.29407,103.32777,104.357315,35.85032,36.21764,23.315601,23.555712,35.38311,35.746735,22.61059,22.848122,9.507394,9.493144,6.183961,6.1777754,9.381593,9.368151,5.996459,5.989979,16.302162,16.305452,10.602606,10.608257,16.08996,16.094843,10.282703,10.28677
10,0.7337063,1.0458181,0.47580403,0.6804119,0.715106,1.0286182,0.4560038,0.6567115,3.4234247,4.94545,2.226416,3.2155342,3.359124,4.86515,2.1469154,3.1077304,1.1423094,1.2974182,0.74140596,0.8437117,1.115909,1.2758182,0.7114057,0.8150113,4.6055365,5.233358,2.996224,3.4020374,4.524336,5.1491547,2.8907232,3.288235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.47226,115.604164,74.44568,75.18324,112.97224,114.09359,72.201035,72.916466,25.014633,25.271109,16.27158,16.438473,24.690628,24.94061,15.781574,15.940378,8.470383,8.44827,5.512455,5.498377,8.360582,8.337472,5.3425527,5.3278813,14.339942,14.327943,9.326593,9.315673,14.1520405,14.141951,9.04259,9.036864
